Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
139,2831.0,5,5,2,1992,Downtown,Fair,No,642495
140,3416.0,6,5,2,1957,Rural,Excellent,Yes,609186
141,1853.0,2,1,1,2018,Rural,Excellent,Yes,312125
142,1693.0,3,3,2,2001,Downtown,Good,Yes,365990
143,1896.0,2,2,1,1996,Suburban,Excellent,Yes,387581
144,1194.0,1,1,1,1977,Downtown,Good,No,291685
145,1064.0,2,2,2,1995,Downtown,Good,No,243971
146,1773.0,2,1,2,1953,Downtown,Excellent,No,282455
147,1859.0,3,3,1,1957,Suburban,Good,Yes,388760
148,2684.0,3,2,1,2010,Suburban,Good,Yes,560555
149,1998.0,3,2,2,1966,Downtown,Good,No,405512
150,2150.0,4,4,2,1983,Downtown,Excellent,No,493025
151,2089.0,3,3,2,1969,Rural,Good,Yes,350757
152,1790.0,3,3,1,1983,Downtown,Fair,Yes,406780
153,1853.0,3,3,1,1992,Downtown,Excellent,No,437554
154,1963.0,3,3,1,1959,Suburban,Excellent,Yes,389506
155,2137.0,3,3,1,1979,Rural,Fair,Yes,331078
156,2244.0,5,5,1,1974,Downtown,Good,Yes,516346
157,2314.0,3,3,1,2006,Suburban,Fair,Yes,441572
158,2518.0,4,4,2,2012,Suburban,Good,No,480080
159,1271.0,3,3,1,2020,Downtown,Good,No,352011
160,1590.0,5,5,2,1996,Suburban,Excellent,Yes,405225
161,1372.0,1,1,1,1952,Downtown,Good,Yes,260820
162,2138.0,4,3,1,1995,Suburban,Good,Yes,445846
163,1668.0,2,1,1,1985,Suburban,Good,Yes,320329
164,2195.0,3,4,1,1975,Suburban,Excellent,Yes,429917
165,925.0,1,1,1,1959,Downtown,Good,No,198786
166,1928.0,2,2,2,1983,Rural,Excellent,Yes,349201
167,1868.0,3,2,2,1957,Downtown,Good,Yes,399693
168,1842.0,2,2,1,2004,Downtown,Fair,Yes,396495
169,1443.0,3,3,1,1959,Downtown,Good,Yes,344542
170,1691.0,3,3,2,2006,Suburban,Good,Yes,356004
171,1686.0,3,2,2,1994,Suburban,Good,Yes,407485
172,1451.0,2,2,1,1999,Downtown,Fair,No,312851
173,2522.0,4,4,2,2013,Suburban,Fair,Yes,534662
174,1971.0,3,2,2,1951,Downtown,Excellent,Yes,392241
175,1952.0,2,2,2,1994,Suburban,Good,No,359730
176,1139.0,2,1,2,2011,Downtown,Excellent,No,307834
177,2334.0,3,3,2,1963,Suburban,Good,Yes,431362
178,1271.0,1,1,2,1964,Downtown,Good,No,219445
179,2289.0,2,1,1,1963,Rural,Good,Yes,342597
180,2130.0,4,3,2,1980,Downtown,Good,Yes,447755
181,1931.0,3,3,2,1978,Downtown,Good,Yes,435512
182,1663.0,4,4,2,1976,Downtown,Good,No,365659
183,1837.0,4,4,2,1958,Rural,Fair,No,313465
184,2727.0,4,4,1,1969,Rural,Good,Yes,465072
185,2025.0,3,3,1,2007,Downtown,Good,Yes,500738
186,2012.0,5,4,1,1998,Suburban,Excellent,No,479400
187,3411.0,6,5,1,2006,Rural,Excellent,Yes,691486
188,2846.0,5,5,1,1965,Suburban,Excellent,Yes,546688
189,3032.0,5,5,2,1957,Suburban,Excellent,No,560259
190,1722.0,2,2,1,2016,Downtown,Good,No,377790
191,1835.0,3,2,2,1968,Downtown,Good,No,394165
192,3449.0,5,5,2,2016,Rural,Excellent,No,650893
193,2868.0,3,2,1,1985,Rural,Good,Yes,442348
194,1949.0,2,2,1,2009,Suburban,Good,No,345858
195,1421.0,2,1,2,1985,Downtown,Fair,No,315435
196,1695.0,2,2,2,1960,Downtown,Good,Yes,348952
197,1555.0,3,2,2,2000,Suburban,Good,Yes,331283
198,2514.0,3,3,2,2004,Rural,Excellent,Yes,459618
199,3258.0,5,5,2,2003,Rural,Good,Yes,620395
200,1104.0,2,2,2,1966,Suburban,Good,No,179729
201,2967.0,5,5,2,2011,Suburban,Excellent,No,610658
202,2049.0,3,2,2,1991,Downtown,Fair,Yes,424113
203,1416.0,3,3,2,1973,Downtown,Good,Yes,307044
204,2926.0,5,5,1,1966,Rural,Fair,No,487887
205,2202.0,5,4,2,1997,Suburban,Excellent,Yes,549332
206,2092.0,3,4,1,2019,Downtown,Excellent,Yes,485696
207,1993.0,3,3,2,1956,Downtown,Good,Yes,407121
208,1500.0,2,2,1,1963,Suburban,Excellent,Yes,242049
209,1835.0,3,3,1,1960,Downtown,Good,Yes,381871
210,1518.0,3,3,1,1961,Downtown,Excellent,Yes,334817
211,2241.0,5,5,1,1954,Suburban,Excellent,Yes,462272
212,1836.0,4,4,1,1954,Suburban,Excellent,Yes,397740
213,3074.0,4,3,2,1969,Suburban,Fair,Yes,504429
214,2016.0,4,4,1,2003,Downtown,Excellent,Yes,502521
215,1830.0,2,2,1,2004,Suburban,Excellent,No,342777
216,1066.0,2,2,1,2007,Downtown,Good,No,244232
217,1446.0,2,2,2,1979,Downtown,Excellent,Yes,365324
218,2417.0,5,5,1,1973,Suburban,Good,Yes,468841
219,2320.0,3,3,1,1952,Suburban,Excellent,No,400729
220,3352.0,6,5,1,1997,Rural,Fair,Yes,596544
221,2595.0,3,2,2,2020,Suburban,Excellent,Yes,519570
222,2685.0,4,3,1,1971,Suburban,Good,No,475478
223,1731.0,2,2,1,1963,Downtown,Fair,No,317276
224,1044.0,1,1,1,1997,Downtown,Good,No,220826
225,1522.0,3,2,2,1978,Downtown,Fair,Yes,328902
226,2024.0,5,5,1,1999,Downtown,Good,No,493367
227,2569.0,6,5,2,1959,Rural,Good,Yes,479560
228,1801.0,3,3,1,2020,Downtown,Good,No,447657
229,2409.0,5,5,1,1976,Rural,Good,Yes,473457
230,1685.0,3,3,1,1977,Suburban,Good,Yes,367254
231,2138.0,4,4,1,1958,Suburban,Excellent,No,452017
232,2355.0,4,4,1,2020,Suburban,Fair,Yes,494039
233,1872.0,3,3,1,1975,Suburban,Excellent,Yes,405419
234,2082.0,4,3,1,1957,Suburban,Excellent,No,405779
235,1224.0,2,2,2,1951,Downtown,Good,Yes,297598
236,2760.0,5,5,2,2006,Suburban,Good,Yes,526816
237,1482.0,2,2,1,2001,Downtown,Excellent,Yes,357795
238,2181.0,4,4,2,2007,Downtown,Fair,No,488544
239,2964.0,4,4,2,1952,Suburban,Fair,No,513108
240,1568.0,3,3,2,1957,Downtown,Good,Yes,344638
241,1995.0,5,4,1,2008,Rural,Excellent,No,376469
242,1348.0,3,3,2,1951,Rural,Fair,Yes,214449
243,1717.0,4,4,1,2011,Rural,Good,No,367050
244,1050.0,2,1,2,1998,Downtown,Excellent,Yes,282422
245,2151.0,4,4,1,1969,Downtown,Excellent,Yes,487229
246,2669.0,5,5,1,1978,Rural,Good,No,525736
247,2395.0,5,5,1,1966,Suburban,Fair,Yes,468750
248,1268.0,1,1,1,1971,Rural,Excellent,Yes,197612
249,1881.0,2,2,2,1955,Rural,Good,Yes,285207
250,3132.0,6,5,1,2011,Rural,Fair,No,583487
251,1715.0,3,3,2,1980,Downtown,Fair,Yes,379819
252,1541.0,2,2,1,2011,Downtown,Excellent,Yes,392791
253,2939.0,4,4,1,1961,Rural,Good,Yes,458629
254,2254.0,3,3,2,1961,Downtown,Excellent,Yes,462151
255,1512.0,2,1,2,2012,Downtown,Excellent,Yes,337001
256,2235.0,5,4,1,1965,Suburban,Good,No,434421
257,2716.0,5,5,1,1974,Rural,Good,No,495809
258,3396.0,6,5,2,1971,Suburban,Good,Yes,640152
259,1150.0,2,2,1,1967,Suburban,Good,Yes,204774
260,1873.0,4,4,2,1994,Downtown,Good,Yes,437565
261,2143.0,4,4,2,2017,Suburban,Excellent,Yes,531907
262,2940.0,6,5,1,1961,Rural,Good,No,551785
263,1337.0,2,2,1,1998,Downtown,Excellent,Yes,329029
264,2176.0,3,3,1,1982,Suburban,Good,Yes,399328
265,3027.0,6,5,1,2012,Rural,Good,No,570918
266,3756.0,6,5,2,1967,Suburban,Good,Yes,721656
267,2604.0,4,3,2,2003,Suburban,Good,No,448347
268,1776.0,3,3,2,1976,Suburban,Excellent,Yes,357583
269,1430.0,3,3,2,1974,Downtown,Good,No,336399
270,1419.0,1,1,1,1983,Downtown,Good,No,285946
271,1523.0,3,3,2,2009,Rural,Fair,No,269869
272,2402.0,4,3,1,2003,Rural,Good,No,417418
273,3040.0,6,5,2,1954,Rural,Good,Yes,546518
274,1835.0,4,3,1,1985,Rural,Good,Yes,332662
275,2724.0,6,5,2,2003,Suburban,Excellent,No,556429
276,2444.0,5,5,2,1985,Suburban,Good,Yes,502784
277,1833.0,4,4,1,2018,Suburban,Excellent,Yes,448994
278,2129.0,5,5,1,1988,Suburban,Good,Yes,412793
279,2999.0,5,5,2,2019,Suburban,Good,Yes,625853
280,2567.0,4,3,1,1953,Suburban,Fair,Yes,471242
281,2605.0,5,4,2,2014,Rural,Good,Yes,495266
282,1505.0,3,3,2,1989,Downtown,Good,No,341597
283,1631.0,3,3,1,1986,Downtown,Good,Yes,361580
284,1395.0,3,2,1,2016,Downtown,Fair,Yes,348160
285,1148.0,2,1,2,1980,Suburban,Fair,Yes,203812
286,2417.0,3,2,1,1996,Downtown,Good,Yes,523713
287,2278.0,5,5,1,1976,Suburban,Excellent,No,484076
288,2399.0,4,4,2,2000,Suburban,Good,Yes,433934
289,1577.0,4,4,2,1969,Downtown,Good,Yes,398443
290,1832.0,2,2,1,1962,Suburban,Fair,No,337776
291,1526.0,2,1,1,2012,Downtown,Good,Yes,362411
292,960.0,2,2,2,1993,Downtown,Good,Yes,294885
293,3966.0,6,5,2,1973,Rural,Good,Yes,702474
294,1106.0,2,2,2,1952,Downtown,Good,No,258519
295,1187.0,2,2,1,1959,Downtown,Fair,Yes,279987
296,1980.0,3,3,2,2014,Suburban,Fair,Yes,428159
297,2844.0,4,4,2,1998,Suburban,Good,Yes,556266
298,1606.0,3,2,2,2007,Downtown,Fair,Yes,330575
299,1582.0,2,2,2,1951,Suburban,Fair,Yes,237464
300,2102.0,3,3,1,2015,Downtown,Good,Yes,445566
301,1892.0,4,4,2,1980,Downtown,Excellent,Yes,395284
302,2469.0,3,2,1,2017,Suburban,Good,No,447910
303,2558.0,5,5,1,1986,Suburban,Good,No,544723
304,3397.0,6,5,2,1973,Suburban,Good,Yes,609668
305,3293.0,4,4,2,1993,Suburban,Excellent,No,630076
306,2188.0,3,3,2,1990,Rural,Good,Yes,395185
307,3012.0,3,3,2,2000,Suburban,Fair,Yes,542493
308,1753.0,2,2,1,1991,Downtown,Good,No,389337
309,2450.0,5,5,2,1989,Suburban,Fair,No,485782
310,923.0,1,1,1,1997,Downtown,Good,No,259553
311,2115.0,4,4,2,1953,Suburban,Good,Yes,400389
312,1275.0,1,1,1,2009,Downtown,Excellent,No,310331
313,1931.0,4,4,2,1988,Downtown,Good,Yes,447539
314,3243.0,5,4,1,1954,Rural,Excellent,No,521668
315,1355.0,2,2,2,1955,Rural,Excellent,No,177786
316,2189.0,4,4,2,1963,Suburban,Fair,Yes,429181
317,2761.0,4,4,1,2019,Suburban,Good,No,574253
318,1525.0,2,2,2,1961,Downtown,Good,Yes,321846
319,1892.0,4,4,2,2011,Downtown,Good,Yes,479063
320,1740.0,3,2,2,1976,Downtown,Good,Yes,335615
321,2371.0,5,5,2,2003,Suburban,Excellent,Yes,542985
322,2064.0,4,4,1,1961,Suburban,Excellent,No,358495
323,1592.0,3,2,1,1957,Suburban,Good,No,251580
324,1151.0,1,1,1,1965,Downtown,Good,Yes,273150
325,3026.0,5,5,1,2001,Rural,Excellent,No,568906
326,2210.0,4,4,1,1975,Suburban,Excellent,No,446161
327,2131.0,5,4,2,1957,Suburban,Excellent,Yes,460061
328,1988.0,4,4,1,1994,Suburban,Fair,No,419418
329,2047.0,4,4,1,1968,Suburban,Good,Yes,402634
330,2019.0,4,4,1,1966,Downtown,Fair,No,425903
331,1466.0,2,2,2,2014,Downtown,Good,Yes,353353
332,1529.0,3,2,2,1978,Suburban,Fair,Yes,258324
333,1897.0,3,3,1,1963,Downtown,Good,Yes,387972
334,1518.0,2,2,2,1966,Downtown,Good,No,314545
335,1613.0,2,1,1,1962,Downtown,Fair,Yes,297275
336,2243.0,4,4,2,2012,Downtown,Good,Yes,507097
337,2588.0,5,5,2,1982,Rural,Good,Yes,504478
338,2345.0,2,2,1,1978,Suburban,Good,No,395194
339,1611.0,4,4,2,1986,Suburban,Fair,Yes,363013
340,1512.0,2,1,2,1995,Downtown,Good,Yes,291869
341,2505.0,3,2,1,1973,Suburban,Excellent,Yes,470382
342,1422.0,3,3,2,1963,Suburban,Fair,Yes,252355
343,1680.0,3,4,1,1954,Downtown,Fair,No,344611
344,2250.0,5,5,1,2002,Suburban,Good,No,453949
345,1617.0,3,3,1,1979,Downtown,Excellent,Yes,415079
346,2719.0,6,5,1,2009,Suburban,Good,Yes,628360
347,2367.0,4,3,1,1977,Suburban,Good,No,431756
348,2191.0,4,3,2,1975,Downtown,Good,Yes,459993
349,1203.0,2,2,1,1967,Downtown,Good,No,286555
350,2268.0,5,5,1,1985,Suburban,Fair,No,471995
351,2242.0,3,3,2,1957,Suburban,Good,No,383101
352,1958.0,3,3,2,1967,Rural,Excellent,Yes,358210
353,2678.0,4,4,2,2007,Suburban,Good,Yes,583883
354,2530.0,3,3,2,1981,Downtown,Excellent,No,490105
355,1593.0,3,4,2,1998,Downtown,Excellent,Yes,402932
356,2453.0,3,3,2,1997,Suburban,Fair,No,460298
357,1634.0,3,3,2,2020,Downtown,Excellent,Yes,483896
358,1843.0,4,3,2,2014,Suburban,Fair,No,389541
359,1508.0,2,2,1,1982,Rural,Good,Yes,209404
360,1847.0,4,4,1,1999,Suburban,Fair,Yes,408919
361,1043.0,1,1,2,1953,Downtown,Fair,Yes,190671
362,3052.0,6,5,1,1985,Suburban,Good,No,604784
363,2142.0,4,4,1,1977,Suburban,Good,No,381877
364,2027.0,2,2,2,1952,Suburban,Good,Yes,301249
365,3133.0,6,5,2,1955,Rural,Good,Yes,544902
366,1151.0,2,1,1,1994,Downtown,Fair,No,297189
367,2140.0,3,3,2,1972,Rural,Fair,Yes,314710
368,2641.0,3,3,2,1956,Rural,Good,Yes,406987
369,2012.0,3,3,2,2010,Downtown,Good,Yes,418566
370,1801.0,3,3,2,2014,Downtown,Excellent,Yes,456381
371,1699.0,3,3,2,1955,Downtown,Good,Yes,367330
372,1631.0,3,3,2,1973,Downtown,Excellent,Yes,352828
373,1760.0,3,2,1,1986,Downtown,Good,Yes,418425
374,2301.0,4,4,2,1994,Suburban,Good,Yes,420361
375,1188.0,1,1,2,2000,Downtown,Good,Yes,315853
376,1618.0,3,3,2,1994,Downtown,Good,Yes,419887
377,1956.0,2,2,2,2012,Rural,Good,Yes,349776
378,1632.0,3,3,1,1978,Downtown,Excellent,No,400495
379,2312.0,3,3,2,1974,Rural,Good,Yes,380479
380,2616.0,4,4,1,1959,Downtown,Excellent,Yes,502661
381,1584.0,4,4,1,1984,Downtown,Excellent,Yes,424605
382,1498.0,2,2,1,2004,Suburban,Excellent,Yes,291312
383,2133.0,4,4,1,1974,Suburban,Excellent,Yes,446548
384,2912.0,5,5,2,1994,Rural,Good,Yes,510324
385,3037.0,6,5,1,1961,Suburban,Good,No,593505
386,2246.0,3,3,1,1953,Rural,Good,Yes,366362
387,967.0,1,1,2,2016,Downtown,Good,No,261746
388,1927.0,4,4,1,1966,Downtown,Good,Yes,439155
389,1510.0,2,1,1,2014,Suburban,Excellent,Yes,376266
390,2338.0,3,2,1,2002,Rural,Good,Yes,427443
391,2445.0,4,4,1,2006,Rural,Good,Yes,502126
392,2165.0,4,4,1,1977,Suburban,Fair,Yes,401554
393,1876.0,4,4,1,1965,Downtown,Good,No,394007
394,1858.0,2,2,2,1970,Suburban,Fair,Yes,260032
395,1491.0,3,3,1,1991,Downtown,Excellent,No,360039
396,2591.0,5,4,1,2003,Rural,Good,No,476465
397,2690.0,5,5,2,1981,Rural,Fair,Yes,499227
398,2249.0,5,5,1,1987,Suburban,Fair,Yes,458548
399,2418.0,4,4,2,2019,Suburban,Good,Yes,525792
400,2622.0,4,5,1,1987,Suburban,Good,Yes,535895
401,1757.0,3,3,1,2003,Downtown,Good,Yes,401265
402,2872.0,5,5,2,2009,Rural,Fair,Yes,515239
403,1409.0,2,1,1,1996,Suburban,Good,Yes,280527
404,2630.0,5,4,1,1961,Rural,Good,Yes,462475
405,1792.0,3,3,2,2002,Downtown,Good,No,386894
406,3037.0,5,5,1,1982,Rural,Good,No,526636
407,1323.0,2,1,2,1977,Downtown,Good,No,239272
408,1336.0,3,3,2,1952,Downtown,Good,Yes,325055
409,2256.0,2,2,1,1975,Rural,Excellent,Yes,388321
410,1815.0,3,3,2,2003,Downtown,Good,Yes,422411
411,2014.0,3,3,2,1989,Downtown,Good,Yes,455686
412,2356.0,3,3,2,2015,Rural,Fair,Yes,421281
413,3145.0,5,5,2,2017,Rural,Good,No,620116
414,2262.0,4,3,2,1996,Suburban,Fair,No,395313
415,2138.0,4,4,1,1951,Suburban,Good,Yes,411860
416,2094.0,2,2,2,1991,Suburban,Excellent,Yes,425280
417,1899.0,4,3,1,1983,Downtown,Good,Yes,467303
418,1730.0,2,2,1,1970,Downtown,Fair,Yes,362450
419,3338.0,6,5,2,1993,Suburban,Fair,Yes,619300
420,1774.0,3,3,1,1951,Suburban,Good,Yes,287294
421,2459.0,3,3,2,2008,Suburban,Fair,Yes,462003
422,1935.0,4,4,1,1965,Suburban,Fair,No,375009
423,1252.0,2,2,2,1969,Downtown,Excellent,Yes,328192
424,2195.0,2,2,1,1975,Suburban,Good,No,339998
425,1655.0,4,4,1,1965,Downtown,Good,Yes,406824
426,3659.0,6,5,1,2019,Suburban,Excellent,Yes,676841
427,2108.0,3,3,2,1972,Suburban,Fair,Yes,366022
428,1922.0,3,3,1,1991,Rural,Excellent,Yes,386975
429,1709.0,3,2,2,1986,Downtown,Good,Yes,349300
430,770.0,1,1,1,2021,Downtown,Excellent,No,214032
431,1563.0,3,3,1,1955,Downtown,Good,No,314530
432,2208.0,3,3,1,1986,Suburban,Excellent,Yes,445599
433,2597.0,4,4,1,1971,Suburban,Excellent,Yes,481496
434,1989.0,3,3,2,1955,Downtown,Good,No,386754
435,1399.0,4,3,2,1981,Downtown,Excellent,Yes,367125
436,2125.0,3,2,1,1966,Suburban,Good,Yes,408414
437,1294.0,3,3,2,1987,Downtown,Good,Yes,321478
438,1923.0,3,3,2,1966,Rural,Good,No,308855
439,2355.0,4,3,1,1986,Suburban,Good,No,445980
440,1091.0,2,2,1,1972,Downtown,Fair,Yes,244055
441,1434.0,2,2,2,1998,Downtown,Good,No,340472
442,2003.0,4,3,1,2010,Rural,Good,No,398391
443,1820.0,4,4,1,1998,Downtown,Excellent,Yes,452208
444,2321.0,4,4,1,2010,Downtown,Excellent,Yes,552919
445,1819.0,4,4,2,1981,Rural,Good,Yes,325828
446,1488.0,2,1,1,2012,Rural,Good,No,263518
447,2525.0,4,3,1,1956,Rural,Good,Yes,419548
448,2208.0,3,3,1,1971,Suburban,Fair,No,373552
449,1687.0,3,3,1,1955,Downtown,Fair,Yes,358374
450,1421.0,2,2,1,2010,Downtown,Good,No,345069
451,2100.0,4,4,2,1963,Suburban,Good,Yes,443010
