brand,year,mileage,engine_size,price
Hyundai,2015,114422,1.8,44345
BMW,2022,53179,2.7,39922
Mazda,2016,126170,3.8,23457
Mazda,2019,145328,2.4,9008
Chevrolet,2017,59947,3.8,7686
Toyota,2018,136589,3.2,29199
Kia,2023,130334,3.4,28575
Chevrolet,2013,92138,3.8,20335
Chevrolet,2013,19676,2.9,13460
Nissan,2016,146853,3.1,7378
Hyundai,2021,89192,2.9,42610
Mazda,2019,105612,3.4,10261
Hyundai,2019,69758,2.1,24501
Ford,2020,54962,3.4,43638
Nissan,2018,50528,3.3,35860
Kia,2020,144340,3.0,10271
Hyundai,2011,111212,1.5,32023
Honda,2022,53139,3.4,26020
BMW,2020,149299,1.7,7066
Ford,2015,48701,3.9,33603
Toyota,2019,100238,1.6,8550
Kia,2019,76925,3.3,13412
Ford,2017,67425,2.3,29144
BMW,2022,114724,3.3,38350
Nissan,2014,50229,2.7,29293
BMW,2014,90478,3.0,25804
Chevrolet,2017,30268,1.6,28162
BMW,2010,67448,3.9,34167
Chevrolet,2015,147301,1.4,36181
Nissan,2019,50292,3.8,23810
Volkswagen,2022,11300,2.9,13380
Chevrolet,2018,44934,2.1,17736
Toyota,2021,70873,3.1,22025
BMW,2015,149517,3.1,36068
BMW,2016,6867,3.3,9793
Toyota,2013,99117,1.4,42704
Honda,2021,140714,4.0,9123
Mazda,2019,135230,3.0,11816
Volkswagen,2010,107190,2.4,8667
Kia,2018,13352,2.9,40614
Chevrolet,2021,138108,1.9,16311
Toyota,2015,19722,2.0,24838
Nissan,2012,53324,1.6,6018
Chevrolet,2013,64085,3.7,30132
Mazda,2019,113003,2.1,30122
Nissan,2021,133501,3.3,8492
Ford,2015,96487,2.1,6594
BMW,2015,7281,1.8,6944
Ford,2021,101231,1.7,13879
Chevrolet,2018,137673,3.6,15325
Mazda,2013,114976,1.7,34331
Volkswagen,2014,137371,1.6,7958
Chevrolet,2014,63054,1.4,42992
Toyota,2012,100684,2.4,19513
Hyundai,2011,118052,3.9,15448
Chevrolet,2017,101633,3.8,34764
BMW,2019,106185,1.7,5910
BMW,2018,121505,1.4,16326
Chevrolet,2019,89118,3.4,10290
Nissan,2020,139404,2.2,36101
Hyundai,2022,114970,3.6,22717
Toyota,2018,68455,2.0,21058
Chevrolet,2023,105481,2.7,43904
Nissan,2014,43809,1.5,30599
BMW,2020,100264,3.7,37930
BMW,2018,85068,1.9,31474
Mazda,2013,44828,2.2,40450
Chevrolet,2011,96181,2.6,26565
Hyundai,2012,50329,2.1,41606
Honda,2010,20956,1.5,30743
Hyundai,2014,68756,1.5,25879
BMW,2010,108250,3.9,35559
BMW,2021,85604,2.2,17831
Ford,2020,92745,2.3,13549
BMW,2010,67809,3.8,15277
Toyota,2023,92964,3.6,22062
Kia,2020,9089,3.2,21829
Chevrolet,2020,35788,3.1,20806
Hyundai,2022,97959,3.5,39408
Kia,2016,84535,1.8,11159
Nissan,2011,79478,3.1,29629
Honda,2017,139322,1.7,29317
Toyota,2015,60714,1.7,26228
Hyundai,2013,90358,2.0,41750
Kia,2018,85037,3.2,22155
Honda,2019,60509,3.7,28076
Ford,2017,15768,3.2,28952
Toyota,2022,129751,2.5,20312
Toyota,2019,69684,2.7,11831
Ford,2012,125834,3.3,32370
Chevrolet,2012,124678,3.0,16712
Ford,2013,23167,2.8,21692
Toyota,2023,53505,2.0,15385
Toyota,2018,10117,3.0,24238
Kia,2018,45706,1.4,10580
BMW,2014,146405,2.9,24874
Honda,2021,19922,3.5,42192
Ford,2018,89053,1.9,39128
Honda,2015,62861,1.7,38550
Ford,2017,7477,3.9,19920
Nissan,2020,91878,3.6,12014
Toyota,2017,11137,2.2,17050
BMW,2021,40644,1.9,38751
Kia,2019,103346,2.3,20038
BMW,2016,133823,2.5,30369
BMW,2013,144667,3.5,14973
BMW,2013,51261,2.0,5771
Honda,2015,113712,3.3,12312
Ford,2023,93266,3.8,20488
Volkswagen,2018,110153,2.4,22097
Nissan,2016,142758,1.5,32254
Hyundai,2014,68039,3.6,40946
BMW,2014,64737,3.2,40938
Chevrolet,2017,99649,1.8,42769
Honda,2015,55029,3.0,32312
Kia,2010,39654,3.5,13590
Hyundai,2010,88032,1.9,31668
Volkswagen,2018,77988,2.0,27841
Chevrolet,2017,134694,1.9,42029
Volkswagen,2015,31474,4.0,24970
Hyundai,2022,102409,2.0,26495
BMW,2010,126483,2.1,9976
Chevrolet,2023,19426,1.5,43359
Volkswagen,2011,131689,4.0,42562
Kia,2019,35541,2.0,32232
Ford,2012,125646,3.3,31814
Toyota,2019,79916,1.5,32395
Ford,2021,130475,3.4,38004
Hyundai,2012,82340,3.4,41540
Honda,2011,96092,1.6,13723
Toyota,2021,141037,1.7,25308
Nissan,2011,127400,2.2,40472
Kia,2015,72468,2.3,30153
Nissan,2016,19213,3.4,41757
Chevrolet,2013,29839,1.6,7481
Toyota,2010,35325,3.1,32077
Nissan,2015,96583,2.0,37536
Nissan,2016,15207,2.4,8198
Volkswagen,2013,100971,1.4,11134
Ford,2015,108318,2.2,42290
Volkswagen,2018,22684,1.8,26904
Toyota,2013,8373,2.7,11564
Toyota,2021,95685,1.8,34107
Hyundai,2023,113033,3.6,8662
Volkswagen,2019,104687,3.7,7329
Mazda,2013,20178,3.6,34080
Ford,2019,30956,4.0,28966
Toyota,2021,123225,3.8,24357
Hyundai,2014,45692,2.1,15608
Volkswagen,2012,49119,2.2,12589
Ford,2019,96635,2.8,8707
Volkswagen,2011,9991,2.4,16860
Nissan,2018,10202,3.9,37667
Hyundai,2022,132492,2.3,28923
Ford,2010,25316,3.3,36716
BMW,2014,34695,2.9,25380
Chevrolet,2014,139694,3.9,13151
Chevrolet,2017,120152,3.3,10732
Ford,2015,62132,2.2,14285
Volkswagen,2015,6610,1.9,12017
Hyundai,2015,131092,3.6,17132
Chevrolet,2013,100862,3.8,38182
Hyundai,2010,7602,3.6,19392
Chevrolet,2012,97295,3.3,26933
Nissan,2022,60625,2.2,16393
Volkswagen,2022,90720,2.7,15833
Nissan,2019,111464,3.8,17337
Chevrolet,2021,85934,1.8,13123
BMW,2020,20903,2.7,38576
BMW,2015,147381,2.3,41337
Nissan,2014,13070,3.2,5205
BMW,2019,126378,3.0,11233
Chevrolet,2010,38217,2.9,31482
Ford,2014,134301,2.1,5169
Nissan,2011,99961,1.8,6423
Honda,2010,66305,3.4,34861
Volkswagen,2013,20106,4.0,38164
BMW,2015,38837,1.8,16450
BMW,2016,9017,1.6,28815
Toyota,2018,34420,3.3,18398
Mazda,2014,106123,2.3,40124
Nissan,2017,18582,2.0,34386
Kia,2017,84403,2.8,19070
BMW,2020,112686,3.2,21114
Volkswagen,2018,86483,2.0,13471
Honda,2012,82468,4.0,42064
BMW,2012,147057,2.3,9586
Honda,2018,142447,2.2,6994
Chevrolet,2016,20805,2.5,42161
Chevrolet,2013,22107,3.3,13639
Mazda,2010,78071,3.7,32738
Ford,2016,11846,2.2,13012
Kia,2019,74685,1.7,11204
Toyota,2015,34925,2.1,20158
Mazda,2012,58989,1.6,38219
Hyundai,2023,118333,3.0,21235
Toyota,2014,73748,3.3,8864
Nissan,2012,101080,2.5,29774
Volkswagen,2017,102601,3.9,28351
Hyundai,2014,97601,3.3,11119
Hyundai,2019,27694,2.4,30750
Mazda,2019,142114,1.7,24495
Ford,2015,144085,2.7,17658
Mazda,2011,36285,2.7,15232
Nissan,2017,47446,2.8,17764
BMW,2018,57679,3.2,9153
BMW,2012,95184,2.1,40363
Ford,2022,8754,1.4,36996
Nissan,2015,16187,3.5,13905
Ford,2015,119311,3.5,15478
Honda,2011,71082,3.8,27911
BMW,2019,110654,3.9,36911
Hyundai,2017,116693,1.8,13087
Kia,2014,105272,2.3,23132
Volkswagen,2020,9516,3.6,23732
Nissan,2020,71795,3.8,8948
Toyota,2017,28376,1.4,19938
Ford,2023,94676,2.4,38349
Volkswagen,2022,89853,1.7,19040
Toyota,2023,73045,3.4,35713
Volkswagen,2017,49968,3.3,23785
Kia,2021,148336,3.4,38408
Toyota,2012,132560,2.4,17920
Mazda,2014,31365,2.5,44093
Chevrolet,2016,68913,2.1,20484
Mazda,2014,101100,2.3,21493
BMW,2015,61350,4.0,8457
Chevrolet,2011,21588,1.5,33393
Mazda,2017,135804,2.2,44075
Chevrolet,2014,98606,3.5,15342
Chevrolet,2015,77585,2.4,34075
Hyundai,2010,61989,3.9,44979
Ford,2019,9737,2.3,43027
Ford,2011,55257,3.6,18093
Hyundai,2020,86563,3.5,18980
Volkswagen,2013,15015,1.4,37562
Honda,2020,64991,2.4,7460
Volkswagen,2018,41965,2.1,23166
Toyota,2015,119776,2.6,13161
Toyota,2017,68386,2.6,28376
Chevrolet,2011,132583,3.8,13723
Mazda,2019,113702,1.9,31270
Mazda,2014,57337,1.9,18342
Ford,2021,17573,1.7,23655
Nissan,2021,22248,3.3,22910
Volkswagen,2022,111550,3.8,41394
BMW,2010,124359,2.4,15748
Kia,2013,97192,1.6,26866
Mazda,2019,21941,1.8,5709
Kia,2010,83554,1.7,15143
Chevrolet,2020,149160,2.9,37485
Kia,2020,91211,2.1,40854
BMW,2018,21124,3.7,26971
Hyundai,2011,8819,1.8,32403
BMW,2016,100822,3.8,17008
Kia,2012,16164,2.3,11636
BMW,2023,37701,3.7,38693
Honda,2011,120295,3.9,24292
Chevrolet,2022,112747,4.0,36645
Volkswagen,2013,41603,3.5,39237
Hyundai,2016,127857,1.7,30576
Mazda,2016,9235,1.5,25752
Toyota,2018,129558,3.3,11038
Volkswagen,2021,17015,3.7,6048
Toyota,2022,19601,1.8,42620
Chevrolet,2012,12509,3.8,32461
Hyundai,2016,45975,3.0,36989
Ford,2015,46520,1.7,41308
Mazda,2019,40693,1.8,12957
Honda,2016,31959,1.6,10840
Ford,2016,5909,1.8,23947
Chevrolet,2019,85041,3.3,39873
Volkswagen,2014,108312,2.0,7219
Honda,2018,136190,2.9,35992
BMW,2016,73649,3.3,26940
Kia,2016,114556,3.7,16538
Honda,2021,109457,2.9,26333
Chevrolet,2023,85301,2.9,10688
Nissan,2012,23480,3.8,41174
Kia,2010,12944,2.2,31923
Toyota,2023,40022,1.9,44832
Mazda,2023,95625,3.7,36740
Toyota,2014,53707,1.6,26561
Honda,2017,33708,1.9,14483
Toyota,2014,63823,2.5,21415
Chevrolet,2019,43399,2.3,7478
BMW,2012,129420,3.2,6961
Volkswagen,2018,123431,1.6,43488
Mazda,2011,25838,2.6,27578
Toyota,2012,49035,3.5,26288
Toyota,2021,35294,3.2,9990
Honda,2013,133557,3.0,11740
Volkswagen,2019,79233,2.0,35148
Ford,2010,141700,2.4,40879
Toyota,2020,108217,1.9,35261
Chevrolet,2013,115367,2.7,8025
Nissan,2013,75254,2.9,43052
Mazda,2018,24060,3.0,34611
Toyota,2017,136168,3.7,27865
Chevrolet,2011,88883,1.6,15100
Chevrolet,2022,100932,2.4,15763
Mazda,2016,127455,2.9,22812
Ford,2015,16058,2.9,30629
Chevrolet,2016,148290,1.5,25776
Nissan,2020,65325,1.9,44758
Chevrolet,2013,95540,3.6,6947
Chevrolet,2023,51622,2.7,21989
Chevrolet,2023,49741,2.5,11575
BMW,2014,51908,3.7,40704
BMW,2015,121455,1.6,40546
Ford,2018,108468,3.8,27031
Toyota,2011,96628,1.5,17171
Chevrolet,2020,71875,2.9,17779
Volkswagen,2018,53316,2.8,44843
Toyota,2019,148358,3.1,39702
Ford,2010,68539,1.5,24090
Hyundai,2013,34235,2.8,5729
Toyota,2021,30552,1.7,15186
Toyota,2014,18629,1.8,18211
Kia,2018,51489,2.0,19191
Honda,2015,109770,3.0,11570
Kia,2013,100461,2.4,44764
Nissan,2011,108767,1.6,44807
BMW,2014,148915,2.2,31924
BMW,2017,102571,1.6,9134
Honda,2017,28988,3.1,20326
Mazda,2015,120958,2.8,13782
Mazda,2020,103219,2.5,26464
Ford,2010,38301,3.8,8223
Honda,2017,85513,2.7,38708
Toyota,2013,144023,3.7,24747
Mazda,2023,96607,2.9,34547
Chevrolet,2011,80101,2.4,28043
Volkswagen,2010,33715,2.8,26184
Toyota,2016,57975,1.8,26386
Nissan,2011,42109,3.2,43552
Chevrolet,2022,81870,4.0,19897
Chevrolet,2013,119372,2.0,41721
Honda,2013,130085,2.2,7611
Ford,2022,24369,2.5,35981
Nissan,2019,115150,2.7,29277
Mazda,2010,65216,3.3,39574
Honda,2011,118886,1.8,6653
Mazda,2010,69305,2.2,39236
Honda,2015,23506,2.8,6404
Honda,2022,77232,2.9,42150
Honda,2012,8981,2.8,7593
Ford,2010,87391,2.5,16844
Honda,2021,24789,3.2,41801
Hyundai,2017,136380,1.9,28930
Volkswagen,2023,98046,2.1,35091
Mazda,2021,99908,2.6,36725
Toyota,2023,31497,3.2,30869
Kia,2013,101060,1.6,34514
Nissan,2019,149438,1.7,43366
BMW,2016,42649,3.4,43112
Ford,2019,91117,2.1,18913
Toyota,2011,29105,3.9,41278
Chevrolet,2015,24843,3.9,38826
Hyundai,2015,115250,3.2,15266
BMW,2016,131000,3.3,26124
Kia,2021,111643,3.1,16338
Toyota,2010,125606,1.9,22330
BMW,2023,135258,2.7,13934
Toyota,2021,26457,3.5,36323
Hyundai,2010,55222,3.4,39163
Kia,2011,98857,3.7,40011
Chevrolet,2023,91245,3.7,39422
Honda,2020,73907,2.1,17200
Mazda,2011,5157,3.3,40343
Chevrolet,2014,86568,3.1,40444
Honda,2010,63266,3.7,18609
Ford,2020,139390,1.9,23835
Volkswagen,2011,126399,3.3,33861
Nissan,2015,110525,2.5,26875
Nissan,2012,79493,2.4,11587
Mazda,2013,73148,1.5,22704
Kia,2010,148092,3.9,6408
Hyundai,2014,83309,3.2,36247
Kia,2013,35247,2.9,26813
Hyundai,2017,5443,2.1,20388
Kia,2012,43741,3.1,28239
Volkswagen,2019,7910,3.9,6217
Ford,2010,49169,1.8,43637
Ford,2023,105105,4.0,11807
Honda,2022,22309,2.5,29638
BMW,2019,99499,3.9,33471
Ford,2014,100441,3.0,32117
Ford,2023,119360,2.2,40085
Chevrolet,2010,63095,2.4,41788
Chevrolet,2020,7922,2.2,23090
Honda,2014,63006,2.3,22536
BMW,2018,32771,3.1,26365
Mazda,2014,145848,1.4,13831
Chevrolet,2011,42772,3.9,44562
Mazda,2022,58371,3.4,15387
Toyota,2011,127947,3.8,28630
Chevrolet,2019,80494,3.3,39011
Volkswagen,2018,141647,2.7,28368
BMW,2021,133345,1.9,23835
Honda,2023,56105,2.7,13126
Toyota,2014,56720,3.3,14806
BMW,2020,117498,3.6,12273
Volkswagen,2017,59080,2.2,14312
BMW,2019,86393,2.7,44389
Volkswagen,2013,37309,3.0,25303
Volkswagen,2011,132984,2.9,7608
Mazda,2013,38368,1.5,22829
Kia,2021,98278,2.7,8799
Toyota,2020,82670,3.5,20770
BMW,2013,130689,3.5,14540
