price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,zipcode
823290,5,4.1,4527,14338,1.0,98105
1873260,3,4.2,3037,6676,1.0,98106
1263475,3,2.8,3209,10517,2.0,98103
1423343,5,2.3,3457,17416,2.5,98107
1049238,6,4.0,3164,16849,2.5,98109
911882,4,4.2,2289,10822,3.0,98103
1978434,1,3.8,4602,3843,3.0,98103
429989,6,1.1,3734,3397,1.0,98108
465515,2,3.4,818,8009,2.5,98101
93585,3,2.4,2677,3738,1.5,98101
1469945,4,1.8,2656,13991,3.0,98102
114044,4,3.8,3053,15597,2.5,98101
1010061,2,2.1,928,17876,2.0,98106
492296,2,4.7,4839,8295,3.0,98109
159556,4,2.2,2985,1269,1.0,98108
1625557,2,3.2,4902,14902,1.0,98103
1980267,4,4.3,1400,16589,1.0,98101
817595,6,2.6,2120,14459,1.0,98106
250235,2,4.3,3898,12899,2.5,98107
75939,6,3.9,1248,14968,2.5,98102
1251482,6,4.7,4789,19573,3.0,98109
592335,2,2.3,2911,18945,1.5,98104
1386825,4,1.4,1527,18127,1.0,98107
125766,5,2.7,4744,6791,1.5,98102
458923,4,4.1,3632,19663,1.0,98102
1513768,1,2.8,3341,19874,3.0,98106
618550,2,2.0,1640,6702,2.0,98102
437261,3,1.1,737,9504,1.0,98103
860208,2,2.3,3032,9095,2.0,98109
735440,1,3.9,2254,9328,1.0,98107
1751240,6,1.6,2110,10387,1.5,98105
1034346,3,2.4,3618,8760,1.0,98108
1553165,3,1.1,4939,18563,1.5,98104
187848,4,3.9,1987,19348,2.0,98107
667075,5,4.5,3694,2804,2.5,98107
177948,4,3.3,745,12054,2.0,98109
1677880,3,1.1,1777,16380,2.5,98107
452690,3,1.9,2828,17433,3.0,98102
549046,5,2.8,2056,15961,3.0,98103
501269,2,3.4,2057,14572,3.0,98109
71959,5,3.0,2722,9996,3.0,98104
1759466,6,4.7,2832,14650,1.0,98104
1848792,4,4.8,804,9607,2.0,98109
1888756,2,1.4,3422,8607,1.5,98106
278576,4,1.6,1292,14565,1.0,98109
1065602,5,2.4,906,12690,1.0,98109
1636409,2,2.7,4927,19022,3.0,98103
964091,5,3.3,2852,17226,1.0,98106
215838,6,4.1,2537,9986,1.5,98106
1434250,1,1.5,3466,9754,2.0,98104
1978565,3,4.2,3216,9007,3.0,98101
111087,2,3.4,3320,13530,3.0,98103
1063343,3,4.9,3542,11420,1.5,98107
1691704,1,3.6,4502,6842,1.0,98107
168451,2,3.9,1860,6469,1.5,98107
1546176,3,1.8,1553,12495,2.5,98109
1936013,3,4.1,939,5701,2.0,98101
489792,2,1.3,4853,8560,2.0,98102
89353,3,3.6,1282,12518,1.5,98103
243075,3,1.2,3110,1085,2.0,98102
1312859,2,1.5,2314,9237,2.0,98102
1413453,3,1.4,733,3083,1.0,98103
115318,3,1.2,2573,9201,3.0,98107
815313,4,2.3,2931,12507,3.0,98105
1581266,6,5.0,4988,17372,3.0,98109
466880,4,2.4,961,10242,1.5,98108
641460,1,4.0,2251,14714,1.5,98102
790976,4,1.5,1338,12914,3.0,98105
831239,4,2.8,3709,12923,2.5,98101
1191840,1,1.7,3284,1571,2.5,98103
820746,3,1.8,4705,8235,1.0,98105
863168,3,1.4,1851,9208,1.5,98109
275281,4,2.7,705,16936,3.0,98109
1070545,1,1.3,1594,18924,2.5,98103
1735723,3,4.6,4805,11833,3.0,98106
948613,5,2.8,684,5048,2.0,98106
1492646,2,4.4,3292,2078,2.5,98109
1450804,2,4.9,4994,18769,3.0,98106
1530415,6,3.7,3229,15824,1.5,98103
319536,2,4.6,813,14330,1.5,98107
367824,4,1.5,727,1130,2.0,98101
1356002,2,4.3,3593,19929,2.0,98103
227789,2,2.1,4457,8452,1.0,98103
1611729,5,2.9,4595,7791,3.0,98101
792452,3,3.6,3239,19807,2.5,98101
887291,5,4.6,1426,5740,2.5,98108
175657,4,4.6,3836,12327,2.5,98108
1333743,2,1.4,3621,15874,1.0,98109
731669,3,2.5,2608,8481,3.0,98106
1579247,6,4.2,2855,10533,2.0,98108
1817670,6,3.8,1036,14137,1.0,98104
1169043,2,1.1,4670,13759,2.0,98105
1282310,2,2.8,1941,9985,1.0,98108
1721370,6,4.3,3899,12998,1.0,98102
159751,6,4.0,3852,8437,2.5,98104
1479626,4,2.6,3646,4544,1.0,98101
861774,2,3.9,1108,19918,2.5,98108
1791093,6,3.2,1111,3856,2.5,98102
511079,1,4.7,1520,6880,2.5,98102
418452,6,3.3,740,9845,1.5,98105
156081,3,2.6,2552,7191,2.5,98101
1033237,3,4.5,2102,14999,3.0,98106
1711909,1,1.2,2904,6413,3.0,98108
608986,4,4.6,4989,19794,1.0,98107
160078,2,3.8,1914,8656,2.0,98106
1965631,2,4.8,868,16968,3.0,98101
72671,6,2.0,2576,13337,2.0,98109
1516976,3,3.8,1946,1681,2.5,98107
1454104,4,4.2,508,2118,2.0,98103
1709066,4,3.8,4016,13506,2.5,98104
101663,4,1.8,4929,3974,1.5,98103
1114284,6,2.1,2777,18686,1.0,98104
1976914,2,3.3,892,2900,2.0,98101
361955,4,2.8,2351,2082,2.0,98103
1232459,6,3.9,1278,13047,2.0,98105
1416970,6,2.5,3931,11022,1.0,98105
162547,1,4.4,2198,19184,1.5,98109
960681,5,2.7,3754,16807,1.0,98105
1657618,4,1.2,4982,12355,3.0,98101
1849678,5,1.1,3771,8989,1.0,98105
1860578,2,3.6,3752,6013,3.0,98107
192483,6,3.2,4111,10200,2.0,98104
708271,4,3.2,3112,14249,1.5,98107
264835,3,4.2,2345,2102,2.5,98102
451896,2,2.5,4008,17817,1.5,98102
134896,1,5.0,4392,16861,3.0,98107
527095,1,4.8,3611,11976,1.5,98103
121295,5,1.1,4817,16723,2.0,98107
793974,6,4.6,2366,12272,1.0,98103
937121,5,3.7,1552,17767,3.0,98106
1371831,3,3.0,1426,18246,3.0,98107
1398224,3,3.3,4272,14945,3.0,98105
1755738,1,4.4,3542,13140,2.0,98107
1106731,4,4.8,4725,10537,1.5,98104
1565448,1,3.2,2595,12812,3.0,98101
875816,1,1.7,4340,17180,2.5,98108
424705,3,3.6,1326,6499,3.0,98102
1670118,5,1.3,3987,1989,1.5,98109
1906926,3,3.5,1269,7989,1.5,98106
1708845,6,4.2,4470,15595,2.5,98105
604594,3,2.4,956,5678,1.0,98106
197718,3,1.3,1572,13181,3.0,98101
1407563,1,3.8,3275,8269,1.5,98104
695263,4,2.4,2983,12481,2.5,98106
1457321,1,2.0,2798,4367,2.5,98106
1058239,2,3.8,3471,10109,2.0,98106
157512,3,4.9,4429,12367,1.5,98107
197443,3,4.0,4900,14444,1.5,98109
1569163,2,3.0,2142,19952,1.5,98109
423616,3,3.4,1517,8227,2.0,98103
707409,3,1.6,4542,13563,2.5,98104
736976,6,4.3,1963,10563,2.5,98101
1464447,3,3.4,2011,15367,1.0,98101
425037,2,4.9,3973,13461,2.5,98104
1094107,1,4.9,4971,16724,1.5,98106
857364,3,2.4,4138,2886,2.0,98103
167796,4,5.0,2221,10708,1.0,98105
1390575,2,4.8,1186,8704,2.5,98109
1291082,5,3.6,4966,17544,2.0,98101
1040198,6,2.3,3983,12054,3.0,98101
748376,2,4.0,4750,9516,2.5,98102
319544,1,2.1,4132,18021,2.0,98106
430002,2,3.5,3777,3042,1.5,98109
748002,5,1.1,4439,14886,3.0,98108
1638015,6,3.5,3444,17468,1.0,98105
640978,4,4.8,3999,18121,1.0,98108
1627363,5,1.9,3418,13260,1.5,98105
1629159,2,4.1,1944,5784,2.0,98103
957317,5,2.2,587,7382,3.0,98107
438215,2,3.8,2029,12310,2.5,98106
371184,4,3.8,3739,2487,1.5,98107
1897191,4,1.7,3685,4436,1.5,98105
1521091,1,3.4,512,18087,1.5,98108
718234,4,4.4,3428,8098,1.5,98108
428480,3,2.5,819,1724,2.5,98105
82711,5,3.8,4887,1090,1.5,98107
841971,5,3.7,2183,19153,1.0,98104
551157,2,2.0,2949,1676,1.0,98107
234423,4,4.7,4753,11419,1.5,98106
566349,1,3.3,883,5204,2.0,98102
1802290,1,2.4,4993,5796,1.0,98102
962495,1,1.7,1596,19758,3.0,98107
1756493,6,2.9,1469,5780,2.0,98107
874792,3,3.9,3020,9872,1.5,98103
1835954,4,3.5,3751,7067,2.5,98103
183272,1,3.9,4174,15913,2.0,98102
817836,3,4.2,693,2291,3.0,98106
1036001,5,2.8,3344,10974,2.0,98106
752335,2,3.1,1752,19703,1.0,98109
857789,4,4.9,1294,8066,1.0,98106
1741985,4,4.9,3222,9429,2.5,98108
1176081,6,2.7,2126,17288,2.0,98105
52869,5,3.7,3341,17687,2.5,98108
831474,4,2.1,590,19010,2.0,98102
504351,6,1.6,4177,17087,1.5,98109
1410828,6,4.1,4672,2253,2.0,98106
686584,6,2.7,4019,17026,2.0,98105
668467,4,1.7,1820,10118,1.5,98102
1188848,4,4.0,3959,2998,3.0,98101
88467,4,4.7,2869,10634,1.0,98103
1908336,3,4.7,2968,14207,2.0,98108
1086685,6,3.4,3093,16504,2.5,98107
927844,3,2.9,2157,3401,1.5,98109
530047,2,1.6,3877,8296,3.0,98107
1757923,4,4.2,4537,7852,1.0,98105
1157447,5,4.8,845,1860,1.0,98101
989903,1,4.6,4381,10470,2.5,98104
178391,2,4.0,2164,17864,3.0,98105
489430,1,1.0,4373,14932,2.5,98109
1067026,1,2.6,3272,15757,1.0,98105
1709280,4,2.6,1149,2971,2.0,98109
1955279,5,4.6,3206,6820,1.5,98105
1929072,1,1.3,2412,16640,1.5,98109
306687,6,3.1,4185,11203,2.5,98106
1824027,1,1.5,2309,3162,2.0,98101
157450,2,3.6,3760,17930,1.0,98104
221890,5,4.2,2612,12054,1.5,98103
488741,5,3.6,1982,3686,1.5,98109
331974,1,4.2,1175,19502,2.5,98101
1498685,5,3.4,975,9585,3.0,98107
166381,2,1.8,825,15945,1.5,98101
1571701,2,2.5,3763,11848,2.5,98106
1670197,2,4.8,2635,5633,1.0,98102
184508,6,2.2,4753,14487,1.5,98107
1828226,4,1.3,1796,17559,2.5,98102
1961221,1,2.5,781,7156,3.0,98103
1497687,5,2.5,1156,5765,2.0,98105
1249386,2,2.9,2710,5319,1.5,98105
1391466,1,3.2,3745,4525,2.5,98106
1672241,1,5.0,1400,1483,2.0,98107
890477,4,4.0,4926,7337,3.0,98107
410032,6,1.1,643,9503,1.5,98101
1096811,5,3.9,3869,6405,2.5,98106
1468175,6,4.3,4433,7710,2.0,98101
1759536,5,4.6,2987,6336,1.0,98106
1848596,2,2.7,3035,14728,1.0,98109
929611,2,2.3,1913,1517,2.5,98104
1270412,1,4.4,1543,9455,2.0,98102
779903,5,4.1,3083,5936,1.0,98104
95714,5,3.1,4174,9407,1.5,98107
1024339,6,1.5,1149,7469,2.5,98103
1725810,2,3.6,3791,3599,3.0,98106
1994624,3,1.3,3421,11000,1.5,98102
680271,1,1.4,672,5439,2.5,98102
1565536,5,2.3,3521,15214,1.0,98101
1810427,4,2.5,2548,2127,3.0,98102
174123,4,2.8,4578,11747,1.5,98107
986093,3,2.4,3596,19745,2.0,98105
1404204,2,1.1,3427,17730,3.0,98104
1181565,2,1.6,2394,7965,1.0,98107
1396932,2,1.5,4476,15344,3.0,98109
879957,6,2.7,3762,7962,1.0,98108
228274,4,1.8,908,9456,2.5,98102
737995,2,2.2,4049,12437,1.5,98101
1423928,4,2.9,3875,17761,2.5,98109
1918836,3,1.9,4522,7937,3.0,98103
461927,1,2.0,1077,4810,2.5,98109
839852,6,4.3,4107,12391,1.5,98107
1981760,5,3.2,4677,3074,3.0,98106
181373,3,4.4,1102,12347,2.5,98103
1537028,4,3.1,4255,10431,2.5,98103
165294,3,4.6,4569,16377,2.5,98101
1085362,5,2.0,1487,19218,2.0,98105
1558027,6,3.5,4736,12304,3.0,98105
698307,1,3.0,2815,11187,1.5,98101
115726,5,4.7,4734,16715,3.0,98107
191564,6,2.7,3618,8220,3.0,98108
1476388,4,4.4,1583,10484,2.5,98102
318246,5,3.3,3108,5889,1.0,98108
1804272,3,3.8,2087,10817,2.5,98101
168015,2,4.5,1584,13534,1.0,98101
1839250,3,5.0,2249,9380,2.0,98105
304079,4,3.9,3666,8667,2.0,98108
600929,1,2.3,2155,4505,1.0,98109
739944,5,2.2,4046,4220,2.5,98107
738105,1,2.2,539,15599,2.5,98108
563758,4,1.4,1850,16301,3.0,98105
1033609,5,1.2,2494,18087,3.0,98106
1464466,6,3.3,2953,16793,2.0,98107
1067703,6,4.2,1243,10601,3.0,98109
495101,3,1.1,3782,1839,3.0,98103
86631,3,3.3,4633,11821,3.0,98107
1865153,4,2.5,2864,19949,2.0,98101
1171567,6,4.6,1606,1533,3.0,98109
1102590,5,1.6,3927,13760,1.0,98106
1371813,6,3.3,1129,17045,1.5,98103
1116646,3,4.9,2756,13894,1.5,98102
1920785,4,2.4,4485,15242,3.0,98105
1155534,6,4.0,991,11225,3.0,98103
1180650,4,4.5,4653,2341,3.0,98102
1633593,6,1.7,1982,2621,1.0,98102
1853649,1,5.0,2449,4537,2.0,98102
1274665,6,4.2,2943,1672,1.5,98105
247392,3,1.6,3633,17746,2.5,98103
208823,5,2.2,4017,4079,3.0,98106
1073904,3,3.5,2634,2383,2.5,98103
1728728,3,4.5,2361,3287,1.0,98105
1491578,3,1.8,1110,13793,2.0,98108
1832005,4,3.9,1647,1628,2.5,98108
548863,2,2.1,2830,2649,3.0,98104
417654,2,4.2,3061,8477,3.0,98107
629036,1,3.7,1328,3844,1.0,98101
580089,3,3.1,2195,11332,3.0,98102
1248838,2,3.6,2704,4260,2.5,98101
1541481,1,4.5,2773,4315,2.0,98104
285362,4,2.5,3380,9008,3.0,98106
1542785,3,4.1,3965,4783,3.0,98102
1652456,5,1.6,765,13088,2.5,98102
847079,4,3.8,1789,17976,2.0,98107
714076,1,4.0,4120,2998,2.5,98108
269963,4,2.8,3891,4056,1.0,98102
530761,5,4.2,972,11159,3.0,98108
1347286,4,3.2,3075,12935,1.5,98104
270984,1,4.7,2396,14165,1.0,98106
1995635,5,1.4,3654,9819,1.5,98102
1955324,5,1.5,1389,17526,2.5,98109
1880931,4,4.4,3999,13044,1.5,98108
314512,5,4.4,2111,7847,2.0,98104
651863,4,2.9,4976,14458,3.0,98103
1367375,3,4.9,685,19004,2.0,98101
1336125,5,3.7,4505,15903,2.0,98105
1692895,4,4.9,3833,4641,2.5,98103
1582875,3,3.1,2726,3056,2.0,98104
1710786,5,1.8,3713,13419,1.5,98102
498982,3,2.8,4515,11124,1.0,98109
1222622,6,4.9,1791,16463,1.0,98104
456619,5,2.5,3173,15582,1.0,98104
1130673,6,4.8,3017,8998,1.5,98105
1046161,1,4.2,4263,12324,3.0,98108
716326,1,2.8,3548,17985,1.5,98108
699150,4,3.2,2654,15233,1.0,98105
1328805,2,3.4,3602,2068,3.0,98104
168834,6,3.7,4118,5365,2.5,98107
1192424,6,1.3,4343,19281,1.5,98103
1151497,1,4.7,1020,10708,2.0,98101
755086,6,3.4,2144,19807,2.0,98103
1749005,2,4.7,1154,13851,2.0,98107
1804236,3,3.5,541,19372,1.5,98106
334821,3,2.7,3411,9140,2.5,98101
105609,2,3.3,4284,10345,3.0,98102
277897,6,4.3,4451,10775,1.5,98103
1024165,6,2.3,2323,8088,1.5,98105
1129600,6,4.8,2808,16170,1.5,98109
1075715,4,2.9,2013,3127,3.0,98108
1168889,5,4.8,4236,11376,2.5,98101
1488533,2,4.5,1780,15950,1.5,98108
234078,2,4.1,3638,1001,1.0,98104
1456005,2,2.9,719,5170,3.0,98105
511243,2,3.3,3894,6079,2.5,98105
1212208,2,4.4,4509,19189,1.0,98103
1047639,6,3.2,4307,12247,1.5,98108
301451,4,4.0,2532,17310,1.0,98103
53051,1,4.2,2129,7395,2.0,98101
1802683,6,3.1,3749,14114,2.5,98105
1475412,6,3.1,960,7613,2.5,98108
1054646,5,1.8,789,8470,2.0,98106
1710099,1,2.0,1635,10121,1.0,98105
1021525,2,4.6,3013,11622,2.5,98101
1820348,1,4.4,723,18279,1.5,98103
239407,4,1.0,2945,4104,2.0,98103
499395,3,4.5,953,2382,2.5,98109
999597,6,1.1,4958,16550,2.5,98108
512894,1,2.8,2546,5113,3.0,98109
1310386,5,1.3,3222,12669,1.0,98102
1007238,4,4.9,4598,1216,2.0,98109
777975,3,4.9,4375,18764,2.5,98108
123523,4,3.4,1190,15340,2.0,98103
1859039,2,2.6,1348,2311,1.5,98108
1193052,3,3.0,3886,10904,3.0,98105
1332417,5,4.0,2968,16944,1.0,98109
853451,3,1.9,1928,18951,1.0,98102
1079225,5,2.8,2815,4692,1.5,98101
920045,2,3.9,4425,12055,2.5,98102
272866,5,2.6,3115,7963,3.0,98102
1185248,4,1.1,1238,14268,1.0,98106
1696711,1,3.0,2718,2131,2.0,98109
1443470,4,3.9,2852,16211,1.5,98109
1833570,6,4.9,3739,4209,1.0,98106
78251,4,1.1,1374,16964,2.5,98103
1726345,3,3.2,834,10697,3.0,98104
1473286,2,2.8,1678,9917,1.0,98105
1648809,6,2.0,1129,1068,2.5,98102
1975860,6,3.6,580,3826,2.5,98109
1130793,6,1.7,1409,1436,1.5,98101
1106884,1,2.1,949,18191,2.5,98101
1366669,5,4.1,3570,19057,1.5,98105
233062,3,2.8,3470,17938,2.0,98104
444366,2,5.0,4578,14254,1.5,98106
794840,1,2.5,2479,9107,1.0,98109
150235,4,2.9,3895,15662,1.5,98101
1173316,2,2.2,1229,18007,3.0,98101
428496,6,1.9,3799,16730,2.0,98107
1951625,2,4.7,3511,14743,1.5,98103
800201,2,4.0,3520,7990,2.0,98103
853328,4,2.3,1513,8741,1.5,98109
1093233,5,3.8,1820,4516,2.5,98105
227247,3,4.9,3764,5908,2.5,98107
1761741,6,1.3,3408,12465,1.0,98106
579525,5,2.1,3543,3909,2.5,98101
1082751,1,1.8,2690,11286,3.0,98104
1118632,6,4.5,2741,12518,2.5,98108
226615,3,1.7,3069,4906,3.0,98107
237628,1,2.2,4004,9476,1.5,98105
688836,4,3.2,1802,16550,1.5,98105
423632,5,3.5,1289,18005,3.0,98109
1232991,6,4.2,3799,13035,1.0,98109
456716,2,2.6,2464,1430,2.5,98106
496438,3,3.1,916,4922,3.0,98109
1652239,6,4.9,3772,14841,2.5,98107
715022,2,2.2,1844,15707,2.0,98106
591252,6,2.0,3237,2381,1.0,98102
1736293,1,3.8,2915,18955,1.5,98103
302764,2,4.1,3145,1331,3.0,98109
764998,2,2.7,3107,4671,2.0,98101
1565458,6,1.9,1304,14185,3.0,98107
790427,4,4.1,3265,16737,3.0,98101
562153,4,3.7,2452,15905,3.0,98107
117215,5,4.5,3897,2396,3.0,98108
1954050,1,4.4,2463,8379,1.5,98103
194356,4,1.8,4905,18763,1.5,98102
253861,6,4.3,3075,8539,1.5,98105
