Income,Credit Score,Loan Amount,Decision
117092,836,103017,Reject
80859,838,144958,Reject
56309,754,96254,Approve
117455,849,100909,Reject
93734,739,108780,Reject
100467,740,123739,Reject
82662,671,130659,Reject
42688,807,81055,Reject
55342,789,113165,Reject
67157,724,51257,Approve
97863,756,38327,Approve
82083,762,120023,Reject
95733,659,91304,Reject
119045,756,44866,Approve
64698,630,64649,Reject
110623,676,29166,Reject
52671,675,116279,Reject
55184,842,102334,Reject
72107,660,29042,Reject
116202,601,141793,Reject
81663,760,31969,Approve
45708,799,71880,Reject
79811,789,92739,Approve
32811,832,83588,Reject
86250,720,24641,Approve
102082,658,48536,Reject
64754,639,99910,Reject
41411,844,34546,Reject
32911,776,135429,Reject
97270,832,34102,Approve
113763,631,118895,Reject
38680,637,119053,Reject
114896,691,120523,Reject
113879,806,29029,Approve
101295,814,67545,Approve
118614,687,31322,Reject
41111,740,129977,Reject
67504,684,127029,Reject
31802,781,139148,Reject
38155,675,32654,Reject
103656,727,76663,Approve
69384,612,95501,Reject
77254,638,79687,Reject
51918,622,27508,Reject
115981,841,137341,Reject
90713,709,67859,Approve
60306,706,120874,Reject
46646,691,42132,Reject
76843,741,85800,Approve
46371,744,138283,Reject
107371,623,36025,Reject
32049,844,131653,Reject
61616,785,136722,Reject
50932,790,137890,Reject
59855,633,126877,Reject
91434,778,97024,Approve
102694,711,127662,Reject
73016,813,128974,Reject
37400,737,85924,Reject
72642,717,140885,Reject
45151,799,87607,Reject
81407,748,44970,Approve
96690,764,67736,Approve
34499,606,99990,Reject
36295,689,27840,Reject
89040,612,49654,Reject
42183,679,97385,Reject
59299,629,72408,Reject
42874,758,105939,Reject
62711,732,95967,Approve
35539,759,42442,Reject
83351,615,85243,Reject
91267,838,26630,Approve
78354,800,67736,Approve
32557,749,33008,Reject
68360,791,67487,Approve
112018,846,88395,Approve
32200,771,22393,Reject
98497,639,114680,Reject
76975,836,75971,Approve
51357,636,99627,Reject
107505,677,107991,Reject
32869,615,120354,Reject
91135,642,88657,Reject
80108,811,94652,Approve
68467,662,90507,Reject
53328,835,130071,Reject
116831,614,146162,Reject
33987,847,49644,Reject
88871,771,109615,Reject
52399,817,113863,Reject
76214,736,56122,Approve
116416,664,122778,Reject
100271,826,23397,Approve
74064,643,74569,Reject
100091,619,138456,Reject
70818,836,124585,Reject
75525,718,97948,Approve
49830,797,72133,Reject
47429,833,68519,Reject
36893,801,91057,Reject
109909,711,49151,Approve
77333,722,23472,Approve
33436,760,71769,Reject
104290,679,25481,Reject
106213,699,58977,Reject
35895,605,39883,Reject
49738,682,108915,Reject
60746,630,44265,Reject
79377,665,72744,Reject
78404,617,126927,Reject
84045,833,140742,Reject
69790,627,43656,Reject
35600,667,29304,Reject
70764,792,106616,Reject
104543,838,65911,Approve
75714,833,63013,Approve
86835,713,97981,Approve
103744,807,60314,Approve
86491,772,42857,Approve
48589,657,139910,Reject
73484,774,48894,Approve
112989,793,137137,Reject
66212,779,58570,Approve
73525,763,86080,Approve
77202,728,59420,Approve
62635,638,101588,Reject
93208,814,141015,Reject
63828,817,76210,Approve
48711,802,47734,Reject
33420,849,120932,Reject
30301,705,56219,Reject
75236,600,127033,Reject
96235,674,86972,Reject
84240,687,142775,Reject
95726,801,75813,Approve
40492,741,31007,Reject
36102,805,48341,Reject
80336,798,116550,Reject
115314,750,121366,Reject
56641,770,69411,Approve
64584,749,93087,Approve
62745,659,98649,Reject
53093,827,68431,Approve
96105,754,122715,Reject
81885,783,24841,Approve
66631,729,60729,Approve
102991,766,102638,Reject
34014,778,123500,Reject
41093,709,104647,Reject
48070,618,96629,Reject
65777,661,93082,Reject
86958,670,77804,Reject
112074,803,117335,Reject
40729,794,72006,Reject
75017,790,41584,Approve
96320,710,138755,Reject
57751,732,144582,Reject
108069,671,80591,Reject
84748,677,149816,Reject
35801,788,39361,Reject
49190,699,148382,Reject
79689,670,100020,Reject
80993,606,67871,Reject
59592,649,132984,Reject
40647,645,34101,Reject
38716,823,62774,Reject
118891,671,121784,Reject
117545,849,62701,Approve
119912,675,33261,Reject
100316,673,33209,Reject
32368,741,48647,Reject
107575,672,28221,Reject
36655,701,67833,Reject
100031,693,105413,Reject
106429,668,45557,Reject
117922,664,118534,Reject
85766,792,27526,Approve
43403,784,123585,Reject
62097,661,145656,Reject
108657,619,21251,Reject
40966,840,52588,Reject
82921,802,74492,Approve
79726,753,26889,Approve
80300,643,131688,Reject
52677,794,130990,Reject
85609,797,114302,Reject
86661,661,136651,Reject
61024,706,49146,Approve
100313,724,72318,Approve
83006,644,148905,Reject
45338,610,120082,Reject
98027,799,93588,Approve
110135,820,118084,Reject
49508,801,57638,Reject
33051,761,21147,Reject
78747,687,22847,Reject
117142,645,148499,Reject
117235,711,105770,Reject
84021,680,80335,Reject
96412,631,104990,Reject
88335,802,53388,Approve
86179,697,84347,Reject
62093,815,119267,Reject
99678,846,59983,Approve
110738,604,63820,Reject
69734,790,136830,Reject
102615,628,46076,Reject
103523,647,50752,Reject
47019,839,80533,Reject
113613,849,36003,Approve
116672,825,92954,Approve
103847,615,37710,Reject
112750,752,85657,Approve
109634,828,57081,Approve
58251,671,70228,Reject
55945,628,113309,Reject
62217,779,103102,Reject
38308,645,132286,Reject
35949,752,119098,Reject
81990,833,128120,Reject
31150,622,40655,Reject
119480,761,28483,Approve
104740,794,118224,Reject
96617,693,60094,Reject
46896,713,61450,Reject
76175,844,137496,Reject
37805,633,138116,Reject
35237,759,45209,Reject
50056,716,66316,Approve
75543,628,138187,Reject
86556,608,38556,Reject
33343,793,47962,Reject
43500,784,35638,Reject
83222,638,58754,Reject
59375,734,122211,Reject
39662,709,106619,Reject
46964,668,92617,Reject
89638,735,74376,Approve
103666,695,33353,Reject
115067,718,105388,Reject
97215,717,91296,Approve
99042,617,33771,Reject
43284,701,86026,Reject
102789,709,147540,Reject
114664,681,24263,Reject
91389,776,27769,Approve
39435,704,45334,Reject
84340,836,103117,Reject
74078,615,52749,Reject
108832,620,31635,Reject
81293,737,85110,Approve
108781,705,21904,Approve
90403,731,90805,Approve
59124,643,50968,Reject
73919,722,21650,Approve
65247,735,32467,Approve
92752,710,121495,Reject
86573,716,118331,Reject
89101,725,66900,Approve
56646,782,108180,Reject
53049,618,55518,Reject
109605,838,112816,Reject
98385,663,88415,Reject
70158,639,24357,Reject
95417,831,113837,Reject
53289,650,30865,Reject
39823,736,134559,Reject
90160,757,88368,Approve
71975,655,121413,Reject
39540,680,114404,Reject
46364,831,146476,Reject
34611,771,81039,Reject
57663,786,127956,Reject
81991,742,116939,Reject
87679,795,91294,Approve
60977,669,22921,Reject
79115,727,119737,Reject
118223,725,24428,Approve
90890,660,126002,Reject
96387,679,93647,Reject
48071,817,138224,Reject
89275,720,108783,Reject
102369,700,135869,Reject
41938,750,133823,Reject
65195,676,72557,Reject
34000,774,115983,Reject
100588,744,134039,Reject
68304,784,32366,Approve
99449,725,66923,Approve
112986,781,50564,Approve
119643,818,138602,Reject
50764,779,130788,Reject
116027,621,146071,Reject
68494,828,95511,Approve
33373,682,138410,Reject
42161,766,130817,Reject
57350,826,22642,Approve
55351,740,125881,Reject
118668,677,33849,Reject
45305,839,122015,Reject
105353,694,39344,Reject
106797,708,41214,Approve
95953,793,58226,Approve
87458,709,111691,Reject
50358,651,136307,Reject
33267,702,42522,Reject
112745,700,145846,Reject
119588,741,26680,Approve
68513,800,32507,Approve
56092,801,137028,Reject
41338,662,94955,Reject
30412,798,69007,Reject
37543,627,136416,Reject
63496,837,138273,Reject
90692,816,69353,Approve
119084,645,124289,Reject
74425,848,108095,Reject
68756,627,88696,Reject
48888,601,64233,Reject
65735,726,70865,Approve
77295,616,27872,Reject
113042,658,27839,Reject
115999,779,35652,Approve
47955,731,26859,Reject
67841,676,53520,Reject
100640,809,98840,Approve
95510,730,69266,Approve
64911,714,133361,Reject
89031,764,140029,Reject
118726,696,89516,Reject
37357,704,59093,Reject
62479,623,71970,Reject
91476,799,69620,Approve
74811,634,20425,Reject
66208,601,93677,Reject
50150,632,70727,Reject
101180,675,95593,Reject
73286,685,69985,Reject
98450,804,117339,Reject
51352,737,67084,Approve
85069,680,133124,Reject
44397,661,89642,Reject
71555,642,105623,Reject
76959,796,21408,Approve
30728,720,105401,Reject
80517,658,75337,Reject
96234,608,124125,Reject
69954,676,128666,Reject
77280,787,59612,Approve
109459,662,59163,Reject
46779,651,147948,Reject
93932,622,127099,Reject
102936,629,35843,Reject
54466,770,69364,Approve
66939,846,48477,Approve
99896,795,117993,Reject
65270,620,141099,Reject
89163,642,133645,Reject
112637,800,81082,Approve
81934,734,47330,Approve
94895,615,114747,Reject
62307,622,57569,Reject
84098,785,118203,Reject
90921,686,68114,Reject
35486,630,87294,Reject
38335,720,84106,Reject
116900,668,58548,Reject
119112,733,82598,Approve
41130,714,114705,Reject
117508,792,31260,Approve
90566,658,52350,Reject
96703,839,61741,Approve
57192,755,118214,Reject
31062,745,148885,Reject
114076,815,65181,Approve
119780,676,146310,Reject
51545,824,103446,Reject
51689,737,20840,Approve
41174,606,82422,Reject
118461,636,37725,Reject
39348,823,32299,Reject
53714,772,70652,Approve
68102,685,115525,Reject
104460,615,110041,Reject
119930,815,91095,Approve
36801,715,124230,Reject
102267,717,52597,Approve
78136,613,28707,Reject
53625,738,68943,Approve
112873,810,129958,Reject
102592,686,83803,Reject
107052,761,132295,Reject
74261,787,129575,Reject
31542,703,125979,Reject
51677,740,127643,Reject
76732,766,113555,Reject
80343,643,108377,Reject
69081,627,105176,Reject
92856,767,120898,Reject
118858,615,121960,Reject
49065,649,118162,Reject
113460,714,95276,Approve
118092,755,136774,Reject
84693,667,23155,Reject
56962,691,43572,Reject
58295,720,141084,Reject
43807,787,79694,Reject
72348,739,86514,Approve
56432,615,96033,Reject
113285,652,64843,Reject
87854,781,104967,Reject
70262,648,55357,Reject
67080,763,136694,Reject
31324,661,43167,Reject
65909,683,91478,Reject
119339,753,38983,Approve
49870,655,55276,Reject
64578,719,65279,Approve
102124,689,79483,Reject
56790,749,143159,Reject
55289,719,103113,Reject
85129,672,91451,Reject
45485,668,111869,Reject
74482,808,22045,Approve
116188,776,109716,Reject
34748,697,126743,Reject
116769,601,62344,Reject
39435,652,29564,Reject
33709,718,31105,Reject
60355,606,76754,Reject
85771,827,134069,Reject
87799,804,40056,Approve
43116,747,83565,Reject
55470,821,133097,Reject
72344,757,67689,Approve
72918,674,52135,Reject
82224,694,125485,Reject
69298,849,52812,Approve
110219,794,136773,Reject
91629,786,90047,Approve
96040,793,42772,Approve
58016,839,100957,Reject
53960,602,112652,Reject
63591,783,27775,Approve
112848,678,112482,Reject
97641,616,74523,Reject
66395,711,30707,Approve
52700,651,33372,Reject
64620,606,126252,Reject
50559,711,115350,Reject
91642,732,81526,Approve
106539,825,85106,Approve
51732,824,108143,Reject
60354,653,73475,Reject
43843,660,141314,Reject
101726,708,148814,Reject
47640,615,143502,Reject
82528,828,77201,Approve
68413,794,47957,Approve
82638,786,115814,Reject
82736,646,76243,Reject
98866,647,143364,Reject
49087,834,129383,Reject
71430,720,93752,Approve
54504,842,95542,Approve
37114,663,53993,Reject
108859,649,54016,Reject
40975,812,45354,Reject
41023,640,68637,Reject
51447,799,139714,Reject
53959,621,104762,Reject
96203,714,146580,Reject
59703,781,124002,Reject
39337,604,103502,Reject
76427,744,24848,Approve
91529,700,62673,Reject
114665,677,31783,Reject
61921,830,84694,Approve
63307,640,131692,Reject
57355,691,81865,Reject
34835,822,121442,Reject
50159,808,73907,Approve
77605,762,70669,Approve
68088,767,30924,Approve
108752,621,90178,Reject
85284,836,90732,Approve
87043,775,96691,Approve
65547,652,97591,Reject
112844,692,40152,Reject
57532,609,124502,Reject
64349,745,28072,Approve
75445,826,101501,Reject
35713,835,127992,Reject
86178,807,64687,Approve
79407,841,117526,Reject
100340,648,41942,Reject
80990,670,128231,Reject
105672,757,132363,Reject
95545,618,67417,Reject
114791,654,136031,Reject
88141,787,112379,Reject
53793,814,81259,Approve
86570,799,25490,Approve
67892,808,41719,Approve
31015,620,69200,Reject
91813,625,58684,Reject
57712,848,38894,Approve
38415,627,50837,Reject
92292,766,140913,Reject
53833,760,129830,Reject
34158,639,72812,Reject
92680,810,87282,Approve
50309,628,110607,Reject
36970,619,93706,Reject
102474,619,118937,Reject
116704,673,76132,Reject
76540,739,98425,Approve
50384,719,80161,Approve
48017,696,39104,Reject
105880,719,134863,Reject
38702,624,35140,Reject
30384,752,113272,Reject
30404,844,143518,Reject
70943,603,28152,Reject
77926,603,68486,Reject
59189,736,105277,Reject
42763,742,122696,Reject
48384,847,58147,Reject
90100,625,107890,Reject
39860,678,28666,Reject
110642,689,113939,Reject
80612,819,128142,Reject
53574,670,54726,Reject
53524,759,124983,Reject
99172,675,68689,Reject
40916,698,66116,Reject
34809,779,125652,Reject
62201,726,91420,Approve
83330,631,97848,Reject
43456,608,143228,Reject
86397,677,127132,Reject
68765,612,105534,Reject
64816,783,23820,Approve
75106,723,24322,Approve
83932,771,58235,Approve
47100,824,130629,Reject
87091,695,123806,Reject
51949,682,79961,Reject
100080,757,141067,Reject
67744,743,70356,Approve
75543,739,145041,Reject
66187,801,124753,Reject
37239,793,145059,Reject
44489,617,44923,Reject
88017,740,135891,Reject
91877,692,108478,Reject
73125,623,53750,Reject
79922,701,117869,Reject
62049,739,127227,Reject
67131,659,133293,Reject
72944,659,108448,Reject
103963,820,141343,Reject
54285,813,148042,Reject
67626,699,41983,Reject
72808,600,131733,Reject
118464,642,107610,Reject
83871,654,132700,Reject
49198,767,129096,Reject
49758,791,25905,Reject
45254,633,75483,Reject
74238,633,45028,Reject
31252,775,89609,Reject
69764,760,72046,Approve
107709,795,22234,Approve
67441,829,100809,Reject
83682,757,93167,Approve
89494,844,75011,Approve
111317,843,143043,Reject
95215,709,136135,Reject
108587,683,32061,Reject
36949,689,69253,Reject
85393,678,146934,Reject
103553,670,109354,Reject
36941,670,64667,Reject
55934,713,109240,Reject
53386,628,78796,Reject
91886,750,114898,Reject
105745,761,132042,Reject
113251,811,84065,Approve
83413,742,96386,Approve
86800,696,50638,Reject
72318,652,102455,Reject
100173,744,43884,Approve
100390,663,117016,Reject
82329,811,50697,Approve
73088,660,103620,Reject
69811,784,125343,Reject
85479,804,144343,Reject
115392,707,115837,Reject
117369,815,27114,Approve
49963,845,50550,Reject
85123,838,130715,Reject
103477,847,27469,Approve
44388,636,67771,Reject
35569,734,26492,Reject
99836,607,122648,Reject
66586,814,21971,Approve
42015,677,66350,Reject
75002,667,29644,Reject
36254,620,111705,Reject
47144,788,84194,Reject
54214,837,102632,Reject
110719,801,121959,Reject
101774,813,133646,Reject
36090,693,32534,Reject
41637,821,32768,Reject
52415,807,42625,Approve
54071,674,124776,Reject
88243,813,48660,Approve
71240,756,109680,Reject
113807,752,95176,Approve
63434,785,40032,Approve
99724,741,84935,Approve
105697,677,57892,Reject
58732,665,112125,Reject
41314,781,94186,Reject
53954,804,88379,Approve
87108,794,44357,Approve
117044,757,102512,Reject
117505,745,20497,Approve
66668,653,22134,Reject
53061,699,38833,Reject
109252,620,90948,Reject
69749,652,52666,Reject
46907,682,76600,Reject
48777,743,89828,Reject
81745,755,112923,Reject
111818,603,117362,Reject
53624,842,20026,Approve
53321,654,32108,Reject
40488,614,144597,Reject
52574,663,34470,Reject
35240,792,49785,Reject
73221,711,22253,Approve
40478,838,84538,Reject
85645,743,84889,Approve
49262,717,40026,Reject
82796,619,72807,Reject
34432,663,82878,Reject
94291,632,64258,Reject
109104,680,114810,Reject
89399,796,66147,Approve
109714,725,65417,Approve
80428,668,127779,Reject
117731,785,133297,Reject
30302,766,21086,Reject
112558,804,44406,Approve
30055,835,120319,Reject
38717,763,106987,Reject
58699,693,95443,Reject
103686,848,92659,Approve
97661,667,132238,Reject
74247,686,111838,Reject
46748,620,27084,Reject
34621,662,143787,Reject
45034,684,105383,Reject
35126,733,73493,Reject
35122,623,42805,Reject
48030,710,81786,Reject
112838,780,34248,Approve
114717,694,90003,Reject
85658,682,45384,Reject
68638,701,22896,Approve
97067,803,30362,Approve
118869,677,105048,Reject
64674,777,106175,Reject
65854,723,127646,Reject
76271,739,76032,Approve
103688,783,81022,Approve
68518,719,103254,Reject
40267,614,110629,Reject
31062,682,108998,Reject
80448,819,103208,Reject
36229,767,28937,Reject
86793,768,67391,Approve
77915,796,131011,Reject
34632,796,114079,Reject
33596,605,107567,Reject
36168,814,147115,Reject
37561,666,58696,Reject
103794,828,73954,Approve
112152,760,102617,Reject
56734,770,31226,Approve
36371,721,36858,Reject
56069,748,130472,Reject
109905,683,115868,Reject
42910,792,76848,Reject
103479,830,132493,Reject
107735,710,59300,Approve
111264,744,61470,Approve
53275,820,45113,Approve
102274,735,128756,Reject
111449,663,72096,Reject
90004,725,42016,Approve
92981,817,146754,Reject
114659,627,90920,Reject
84553,697,37750,Reject
78447,817,37445,Approve
64529,740,114440,Reject
105703,835,55075,Approve
106090,828,36691,Approve
47260,612,114610,Reject
33812,765,94724,Reject
58024,752,45860,Approve
88656,838,50171,Approve
57285,789,49421,Approve
31605,750,62089,Reject
101158,685,51990,Reject
102303,620,85839,Reject
57139,781,26486,Approve
107149,662,91102,Reject
86138,757,107077,Reject
106125,802,89427,Approve
43918,795,29046,Reject
115655,824,49741,Approve
57446,710,79089,Approve
43046,675,25724,Reject
54818,672,68347,Reject
34324,759,149279,Reject
106323,802,42664,Approve
39111,828,90886,Reject
68110,751,127313,Reject
46389,606,99561,Reject
71427,671,113761,Reject
109579,824,29164,Approve
58746,816,122437,Reject
117886,728,94906,Approve
30117,730,134166,Reject
114471,703,52872,Approve
43234,627,110366,Reject
83441,642,109491,Reject
30846,696,79879,Reject
40954,645,67037,Reject
109239,600,42985,Reject
76514,765,108591,Reject
118236,844,110702,Reject
36469,818,77868,Reject
60105,701,126865,Reject
72101,634,97925,Reject
94323,801,39347,Approve
88067,803,61623,Approve
79376,801,36360,Approve
75587,653,135377,Reject
66976,825,34214,Approve
97584,623,47222,Reject
108477,755,92279,Approve
72533,621,120892,Reject
31828,836,54303,Reject
31917,615,149412,Reject
50618,612,34698,Reject
62254,699,120332,Reject
77362,699,49602,Reject
50128,661,136544,Reject
89383,770,34947,Approve
95545,686,72338,Reject
112180,677,55537,Reject
117958,759,42469,Approve
39865,666,26486,Reject
32219,690,92777,Reject
69809,810,116390,Reject
35287,813,39371,Reject
64387,784,126439,Reject
38512,792,52524,Reject
31342,796,132477,Reject
93076,776,147953,Reject
49216,632,85101,Reject
109767,714,42474,Approve
56614,618,98203,Reject
66258,763,99337,Approve
72078,842,127644,Reject
113524,797,67141,Approve
42219,723,135468,Reject
30235,742,24405,Reject
72929,827,22153,Approve
97444,719,45131,Approve
38567,696,39680,Reject
100792,623,105233,Reject
95441,626,73644,Reject
114555,776,124600,Reject
103698,674,120887,Reject
35415,840,48283,Reject
66159,622,113980,Reject
73925,760,121347,Reject
35951,640,80357,Reject
117388,837,142257,Reject
38007,838,107899,Reject
71832,655,130340,Reject
88596,756,135857,Reject
60523,758,39646,Approve
118861,792,59804,Approve
116740,697,36036,Reject
45524,745,26726,Reject
49282,809,122326,Reject
53930,605,61160,Reject
30077,779,38274,Reject
50611,639,110123,Reject
46984,792,107091,Reject
44060,838,30168,Reject
112985,641,35103,Reject
114056,821,111437,Reject
73303,795,50567,Approve
89207,631,146251,Reject
105046,609,130566,Reject
59287,834,98743,Approve
69711,668,124968,Reject
41954,608,43691,Reject
103340,668,140931,Reject
102101,788,89092,Approve
101520,738,60072,Approve
117062,698,74118,Reject
48574,818,53133,Reject
39184,795,142739,Reject
49096,673,35893,Reject
97728,702,101402,Reject
64016,824,20656,Approve
41246,722,61120,Reject
75558,701,100632,Reject
48381,607,77518,Reject
66455,776,100983,Reject
34018,751,39854,Reject
41302,830,73212,Reject
97506,760,107519,Reject
71157,832,69696,Approve
84917,834,116732,Reject
113122,618,97582,Reject
54519,601,124730,Reject
117487,654,120065,Reject
86819,738,86492,Approve
110910,826,77795,Approve
101324,616,44560,Reject
35408,769,109711,Reject
89379,660,126577,Reject
55053,730,135924,Reject
39446,685,106831,Reject
30922,634,100391,Reject
81356,812,140965,Reject
40789,816,135134,Reject
96656,702,71317,Approve
74028,665,103539,Reject
94484,600,136481,Reject
62154,734,146194,Reject
112870,747,98572,Approve
32336,770,127669,Reject
97779,718,124309,Reject
49029,733,99380,Reject
89201,654,20645,Reject
62265,699,53146,Reject
73872,842,137343,Reject
76197,620,59877,Reject
85180,650,149548,Reject
53710,773,72736,Approve
59486,762,64693,Approve
101907,699,103060,Reject
101895,607,40119,Reject
94435,841,67679,Approve
70631,667,147912,Reject
50103,706,112125,Reject
94772,743,102581,Reject
44382,666,140124,Reject
114291,798,33163,Approve
33756,791,110123,Reject
50609,601,107129,Reject
46478,600,118691,Reject
69666,785,50802,Approve
105683,600,72175,Reject
101315,701,113945,Reject
107834,714,30111,Approve
44153,734,130987,Reject
106325,687,79936,Reject
42999,796,85526,Reject
85318,812,145588,Reject
30814,691,41119,Reject
106077,617,110211,Reject
32443,687,81896,Reject
105993,849,132614,Reject
105916,759,133513,Reject
103319,772,146956,Reject
47368,632,141159,Reject
45328,801,55539,Reject
86942,672,122473,Reject
57306,776,109183,Reject
115451,760,75387,Approve
69915,824,112489,Reject
67219,798,62823,Approve
110879,795,89555,Approve
94644,627,106190,Reject
90279,686,124160,Reject
83028,652,67418,Reject
30126,823,113870,Reject
82329,643,68695,Reject
57632,679,81936,Reject
95310,837,148268,Reject
85176,782,131019,Reject
116066,737,36418,Approve
74327,613,46742,Reject
98904,702,99218,Approve
33797,635,68028,Reject
77882,633,130135,Reject
43718,687,97700,Reject
64560,745,27618,Approve
106589,615,88916,Reject
52116,832,74628,Approve
66244,764,109463,Reject
31645,640,100699,Reject
77523,624,105096,Reject
49256,725,34725,Reject
83173,607,61135,Reject
67430,815,136841,Reject
69282,811,90223,Approve
93374,711,131778,Reject
98244,693,65969,Reject
41694,683,115498,Reject
86264,745,87122,Approve
105060,667,28056,Reject
87545,775,131894,Reject
69224,827,90958,Approve
43224,797,105578,Reject
70738,666,80346,Reject
55150,745,20952,Approve
93731,710,115068,Reject
79688,831,140958,Reject
103509,617,123669,Reject
38577,655,137559,Reject
38070,750,32521,Reject
38666,634,30906,Reject
87761,733,146536,Reject
66368,717,88514,Approve
36783,625,132054,Reject
71914,812,149160,Reject
100507,660,62769,Reject
109026,687,51275,Reject
97526,614,63766,Reject
100835,690,148148,Reject
75765,631,32343,Reject
49956,739,97487,Reject
117895,732,100227,Reject
76240,663,97056,Reject
67148,798,137658,Reject
34757,685,123212,Reject
49097,754,96862,Reject
40395,806,50521,Reject
46241,830,120263,Reject
57696,644,123486,Reject
100480,848,20805,Approve
76163,634,55868,Reject
49816,625,54343,Reject
79840,622,97458,Reject
82853,740,94327,Approve
54917,817,55383,Approve
51566,730,129867,Reject
105452,628,35040,Reject
92823,793,45187,Approve
