Age,Income,IsStudent,Purchased
28,41578,0,0
45,61408,0,1
42,84702,0,1
56,99845,1,0
50,30076,0,1
18,34377,0,1
44,24278,0,1
30,79808,0,1
58,48539,1,0
20,26440,1,1
56,41245,1,1
23,37097,1,1
25,88703,0,1
44,82092,0,0
26,16151,1,1
54,36698,0,0
50,32601,1,1
59,41807,0,1
61,60302,0,1
41,100864,1,0
32,23039,0,0
49,62427,1,1
49,86839,0,0
41,73049,0,1
58,34053,1,0
29,112180,0,0
56,116281,0,0
19,101298,0,0
20,104147,1,0
54,70413,1,1
34,80958,0,1
19,46275,0,0
19,41597,1,1
45,92521,1,0
40,109243,0,0
54,83908,0,0
49,96619,1,0
50,70188,0,0
18,49710,1,1
36,106352,0,0
19,90486,0,0
61,64050,0,0
43,64249,1,1
49,49247,0,0
23,85162,0,0
49,41408,0,0
21,91313,1,0
28,85683,0,1
34,20443,0,0
55,15079,0,0
41,111818,0,0
22,53345,0,1
51,27901,0,1
23,82759,0,0
39,115873,1,0
28,57732,1,0
65,94304,1,0
33,32507,0,1
50,96785,1,0
26,50391,0,0
23,49171,0,1
33,66730,0,1
46,22485,0,0
20,110320,0,0
37,105153,0,0
53,52748,0,1
36,18878,0,1
43,16949,0,0
20,100380,0,0
36,35881,0,0
37,66306,0,1
49,102150,0,0
24,104364,0,0
58,24958,0,0
50,74185,1,0
57,23697,0,0
56,102160,0,0
35,30493,1,0
57,57801,0,0
18,36199,0,1
28,80792,0,0
45,49488,0,1
42,45493,0,1
40,64002,1,1
48,38731,0,1
47,22076,0,1
59,16071,0,1
52,114926,1,0
24,82602,1,1
33,106181,0,0
43,56410,0,1
65,114201,0,0
19,69327,0,1
18,109948,0,0
65,76072,0,1
29,112371,1,0
22,56041,0,0
54,68326,0,0
49,53549,0,0
26,68096,0,0
58,70578,0,0
52,61390,1,1
36,61052,0,1
65,58167,1,0
33,69587,0,1
20,76292,0,0
37,107114,0,0
41,90419,0,0
50,57139,0,0
41,102753,0,0
28,25707,0,1
25,28140,1,1
53,26093,0,0
55,97036,0,0
57,119089,0,0
37,87043,0,1
52,113122,0,0
65,20830,0,0
42,45608,0,1
52,117865,0,0
42,62287,1,1
46,105047,1,0
35,48427,0,1
63,99042,0,0
35,43395,1,1
19,107662,0,0
52,110002,0,0
33,32970,1,1
58,85218,0,0
53,91475,1,0
50,89362,0,0
21,38371,0,1
50,110482,0,0
31,104895,1,0
38,34266,0,0
65,118553,0,0
37,34195,1,0
25,42315,1,1
24,98804,1,0
20,90246,0,0
34,56581,1,1
50,60537,0,0
65,94697,0,0
29,112357,1,0
39,90265,0,0
39,107449,0,0
63,37184,0,1
47,38279,1,1
55,41570,0,1
55,58030,0,0
62,77245,0,0
25,70467,0,0
44,50133,1,1
44,93731,0,0
51,58805,0,1
38,58998,1,1
47,32238,0,0
50,96088,0,0
45,83264,0,1
64,63245,1,0
50,38557,0,0
22,85474,0,0
65,111738,0,0
36,80667,0,0
21,106228,1,0
52,100513,1,0
34,80074,0,1
61,73204,0,0
45,113597,1,0
47,107800,0,0
46,40575,0,0
63,95263,1,0
23,91024,0,0
52,35069,0,0
58,39400,0,0
54,39146,1,0
41,21846,0,1
46,55352,1,0
63,38694,1,0
48,36740,1,1
52,64438,1,1
50,45996,0,0
38,78874,1,1
49,112661,0,0
40,74682,1,1
50,59200,0,1
20,37970,0,1
35,25895,0,0
42,53071,1,1
59,67268,0,1
48,37258,0,0
20,103890,1,0
57,111177,0,0
63,72300,0,0
41,76915,0,1
49,23444,0,0
64,90147,0,0
39,91064,1,0
40,81535,0,1
19,18760,0,1
44,51884,0,1
59,117715,1,0
19,102477,0,0
43,41022,0,1
34,69504,0,1
57,58130,1,0
50,58881,1,0
26,77399,0,0
60,51451,0,0
65,66413,0,1
56,107057,0,0
46,77278,0,0
59,44639,0,0
43,49621,0,1
52,111985,1,0
42,28079,0,0
41,21895,0,1
30,108515,0,0
24,67142,0,1
53,27552,0,0
62,107930,0,0
37,63821,1,1
18,112812,1,0
25,48630,1,1
63,85063,0,0
33,27247,1,0
31,32603,0,1
29,117099,0,0
40,60564,0,1
32,15527,0,0
45,71521,1,1
51,83458,0,0
19,20849,0,0
49,110836,0,0
40,108316,1,0
39,65314,1,1
42,60724,0,1
39,108676,0,0
39,32230,1,0
59,107229,0,0
23,87495,0,0
32,116390,0,0
60,57730,0,0
54,100203,0,0
50,106937,0,0
25,18323,0,0
61,15445,1,0
61,97945,0,0
22,24963,0,0
56,65511,0,0
21,30437,0,1
23,31855,0,0
62,96947,1,0
49,25847,0,0
47,18236,0,1
64,76897,0,1
52,28487,0,0
57,92384,1,0
33,77423,0,1
30,28155,1,0
59,26255,1,1
47,16979,0,0
36,36305,0,1
34,89543,0,1
36,50094,1,1
45,50098,0,1
43,104566,0,0
54,48770,0,0
43,24734,0,0
40,86984,1,0
26,54605,0,1
29,92932,0,0
18,70619,0,1
18,42881,0,0
64,78401,0,0
51,46177,0,1
49,55122,0,1
65,50297,0,1
42,51680,0,1
57,98452,0,0
62,66044,1,0
18,111775,1,0
33,59084,0,1
56,49189,0,0
22,28510,1,1
39,105502,0,0
46,37152,1,0
20,99738,1,0
29,41445,0,1
43,91688,0,0
33,86153,0,0
54,16195,0,1
39,119533,1,0
46,74949,1,0
31,40433,0,1
45,20305,0,0
22,73860,0,1
64,88613,0,1
47,63648,0,0
63,78090,1,0
22,111921,0,0
29,57113,0,1
33,118504,0,0
43,57642,0,1
43,48062,0,1
65,86633,0,1
38,119716,0,0
56,56604,1,1
53,21678,0,0
50,47121,0,0
47,63503,1,1
54,101940,1,0
40,86279,0,1
27,31494,0,0
22,59185,1,1
53,24678,0,0
51,52632,0,0
48,61235,0,1
27,16648,0,0
36,96213,0,0
49,103301,0,0
18,82917,1,1
22,31489,1,1
62,92281,1,0
21,20818,0,0
33,48149,0,1
41,42312,1,1
33,52124,0,1
19,119222,0,0
45,16316,0,0
49,85990,0,0
44,75046,0,1
37,93643,0,0
41,84610,1,0
29,101724,0,0
52,112504,1,0
50,79042,1,0
50,38102,0,0
60,46957,1,0
54,27872,0,1
29,65094,0,0
20,62719,0,1
18,88885,0,0
50,34693,0,0
57,65478,0,0
27,113163,0,0
60,58677,0,0
61,75012,0,1
46,25760,0,1
30,26584,0,0
29,17106,1,1
48,28669,0,0
63,40223,1,0
19,75666,0,1
52,50706,0,1
40,83019,0,0
34,76585,0,1
43,42482,1,1
25,75369,0,0
46,49143,0,0
43,39240,0,1
27,25015,0,1
43,97164,1,0
51,78023,0,1
58,66500,1,0
24,78925,0,1
21,105979,0,0
62,111355,0,0
28,95596,0,0
46,107973,1,0
53,64631,0,0
42,91190,0,0
38,78652,1,1
53,66087,0,1
27,94789,0,0
54,69909,0,0
26,26565,0,1
41,42597,0,1
52,108304,0,0
52,80623,1,0
65,24432,0,0
53,89300,1,1
35,80714,0,1
56,106837,0,0
49,64314,1,1
41,115944,1,0
40,56965,0,1
49,112449,0,0
54,99268,1,0
29,82957,1,1
30,58715,1,1
40,68450,0,1
42,101062,0,0
52,76902,0,1
58,43317,1,0
47,81753,0,0
34,50242,0,1
37,15929,1,1
65,114806,0,0
42,113724,1,0
39,28580,0,1
30,119134,0,0
36,110967,0,0
53,35742,0,0
29,32833,0,0
58,111421,0,0
36,86347,0,1
29,89155,1,1
26,104791,0,0
24,105508,0,0
45,28527,0,0
31,73139,0,1
48,113410,1,0
36,84585,0,0
64,56057,0,1
33,82439,1,0
22,59261,0,0
52,85912,0,0
29,15042,1,1
42,37769,1,0
38,82113,0,0
53,92918,0,0
40,37449,1,0
33,53653,0,1
56,43859,1,0
62,23576,1,1
59,60874,0,0
56,92199,0,0
31,51345,0,1
48,85780,0,0
22,115438,0,0
52,84428,1,0
40,107648,0,0
46,19321,0,0
60,20776,1,0
28,31119,0,1
35,45569,0,1
64,53596,0,0
29,67967,0,0
26,48063,1,1
27,113717,0,0
61,37340,0,1
34,90723,0,0
55,70430,1,0
24,21668,1,1
63,95880,0,0
30,23195,1,0
57,97097,0,0
59,117658,0,0
26,72995,1,1
44,102834,0,0
19,53250,0,1
22,31076,0,1
46,30376,0,0
54,116575,0,0
55,70839,0,1
36,79723,0,1
25,58442,0,1
65,20392,0,0
62,42106,0,1
18,94845,1,0
39,39809,0,0
34,15693,1,0
24,114473,1,0
42,109769,0,0
62,74821,0,0
21,89159,0,0
53,89710,0,0
23,26352,0,0
48,67196,0,0
36,86066,0,1
61,19992,1,0
56,68076,1,1
44,38354,0,0
27,18312,0,1
43,60833,0,1
36,19318,0,0
56,114992,1,0
20,81003,1,1
62,42192,0,1
30,115726,0,0
45,104199,0,0
37,111782,1,0
45,52489,0,1
25,55309,0,1
58,43273,1,0
56,62553,1,0
18,44473,1,1
20,76410,0,0
30,28679,0,0
45,107981,0,0
42,60310,1,1
50,98406,1,0
55,75683,1,0
23,40992,0,1
61,44433,1,0
62,91574,0,0
49,40933,0,0
62,60020,0,1
64,44236,0,0
38,73735,0,1
33,24770,1,0
38,84285,1,1
28,50271,0,0
54,88391,0,1
53,38439,0,0
52,110826,0,0
36,26101,0,0
37,107776,1,0
35,97319,0,0
64,59917,1,1
58,107345,1,0
31,98459,0,0
32,95562,0,0
48,56196,1,1
18,38569,0,0
20,56887,1,1
33,35893,1,0
40,102971,0,0
28,70304,1,0
29,117428,0,0
27,47399,1,1
49,40236,0,1
33,107735,1,0
25,100870,0,0
55,113753,1,0
29,64531,0,0
41,95570,0,0
45,111621,0,0
25,24442,1,1
45,71437,0,1
53,75342,0,1
43,93179,1,0
25,50069,1,1
45,88246,0,1
45,53560,1,1
54,73070,0,0
58,57427,1,1
53,75496,1,1
44,79557,0,1
34,87752,0,0
26,92248,0,0
50,85441,0,0
37,63534,1,1
30,119303,0,0
45,42930,1,1
65,111728,0,0
46,104042,1,0
30,22288,1,1
63,110547,1,0
52,96122,0,0
23,76518,0,0
35,47400,0,1
22,16567,0,0
64,62878,0,0
42,63850,1,1
19,16094,0,0
27,26135,0,0
47,94044,0,0
62,60113,0,0
22,73791,0,0
50,24684,1,1
18,107783,0,0
35,86727,1,0
49,98378,0,0
64,73552,1,0
28,23046,0,1
38,19934,1,1
43,74556,0,1
42,61806,0,1
39,16354,0,0
44,119777,1,0
30,110352,1,0
50,68046,0,0
51,80064,0,0
58,72184,0,0
52,17963,0,1
18,42424,0,0
38,95039,0,0
65,18042,1,0
23,110777,1,0
45,22139,0,0
34,26226,0,0
22,95298,0,0
48,98652,0,0
22,53108,0,0
55,85647,0,1
20,83617,1,1
40,44815,1,1
54,22802,0,0
54,57230,0,0
27,78372,1,0
27,69020,1,1
36,98449,0,0
34,32465,1,0
38,22994,0,1
31,18531,0,0
26,24343,0,0
63,74066,1,0
18,114020,0,0
62,21229,0,0
30,109311,1,0
21,107302,1,0
18,97124,1,0
57,103704,0,0
49,59789,1,1
51,59069,0,0
45,117398,0,0
48,102402,0,0
25,24524,0,1
56,103074,0,0
43,101762,1,0
51,78103,0,0
20,23103,0,0
29,73581,0,0
18,98938,0,0
61,69203,0,0
22,30090,1,1
47,30915,1,1
47,56477,1,0
34,71987,0,1
65,114742,0,0
64,68238,0,0
40,102047,1,0
32,30029,0,0
54,111367,0,0
38,104067,0,0
31,68520,0,1
19,85053,0,0
28,66464,0,1
56,36961,1,1
55,41835,1,0
51,42725,0,1
55,40357,0,1
51,16244,1,0
35,82952,0,0
47,63061,0,0
32,21490,1,0
44,92219,0,0
51,20839,0,0
55,39992,0,0
50,59938,0,0
41,71249,0,1
32,59735,0,1
47,118313,0,0
59,65734,0,1
34,62080,0,1
22,89460,0,0
46,96457,0,0
21,39260,0,1
27,74607,0,1
34,76852,0,1
27,43380,0,1
34,99347,0,0
37,86257,0,0
41,56191,0,1
22,19930,1,1
51,19353,0,0
23,22832,0,0
19,64554,0,1
30,103487,1,0
60,69017,0,1
60,72298,0,0
65,66389,0,0
28,88306,0,1
64,40525,1,1
40,97092,1,0
33,95630,0,0
48,88471,0,1
28,83211,1,1
33,46280,0,1
25,26240,0,0
21,80092,1,1
57,84541,0,1
21,77851,1,1
42,21544,0,0
20,72981,0,1
49,32332,0,1
20,41836,1,1
44,29388,0,0
46,16694,0,0
49,101677,1,0
36,103202,0,0
38,64294,0,1
22,53769,0,1
35,54420,0,1
45,117885,0,0
59,52855,0,1
39,16460,1,0
38,117191,0,0
23,62646,1,1
18,56252,0,0
22,24835,1,1
58,25910,0,1
29,97757,0,0
43,106149,0,0
63,111889,0,0
51,119150,0,0
31,23463,0,1
43,28336,0,0
62,41534,0,1
44,17369,0,0
26,40381,1,1
43,100094,1,0
64,102905,0,0
39,114186,0,0
64,111490,0,0
47,40407,1,1
60,77552,1,0
65,50939,0,0
34,107303,0,0
43,82576,0,1
53,103652,0,0
18,41170,0,1
25,86908,0,0
52,37369,0,0
32,88098,0,0
64,59544,1,1
39,20900,0,0
31,55733,0,1
43,102236,0,0
45,15589,0,0
40,75044,1,1
31,80311,0,1
41,72926,0,1
19,85599,0,1
62,100553,0,0
43,98910,1,0
31,103435,0,0
24,64008,0,0
20,81794,0,1
64,94134,0,0
40,17866,0,1
63,67890,0,0
60,56504,0,1
64,110668,1,0
62,68374,0,1
35,44404,0,1
55,80223,0,0
52,15637,0,0
32,105152,0,0
42,118186,0,0
54,30828,0,1
45,68544,1,1
27,106732,0,0
56,116976,1,0
34,60097,1,1
56,47022,1,0
39,47202,0,1
43,43704,1,1
61,106411,1,0
42,38641,0,0
34,52479,0,1
30,93771,0,0
37,37027,0,0
42,113463,0,0
21,57912,0,0
27,107558,1,0
20,86474,0,0
58,57692,1,0
62,113884,0,0
35,47209,0,1
64,72563,0,0
53,71738,0,0
64,52242,1,0
39,24941,0,1
51,22073,0,1
64,52827,1,0
25,61225,0,1
57,52096,1,1
61,65546,0,1
36,81457,0,0
59,83309,0,0
58,84998,1,1
54,101496,0,0
23,45268,1,1
43,100354,1,0
51,57078,0,0
62,16865,0,1
23,111242,1,0
54,43887,0,0
50,64876,0,1
39,111047,0,0
38,48479,1,1
23,55478,1,0
23,41401,0,0
65,43502,0,1
21,28394,1,1
47,113694,0,0
28,24262,1,1
47,19487,0,0
48,42341,1,0
41,28570,1,0
26,72268,0,0
20,44605,0,0
48,86602,0,1
57,117798,0,0
54,41723,0,1
53,84108,0,1
41,93206,0,0
48,75098,0,0
23,108375,1,0
19,63707,0,0
37,64028,0,1
45,108937,0,0
28,71921,1,1
21,75760,0,1
32,25249,0,1
23,82847,0,0
47,112547,1,0
55,58839,1,1
19,54673,0,0
32,18642,0,0
28,21338,0,1
25,66761,1,0
43,24622,0,0
62,63423,0,1
61,57873,0,1
22,119544,1,0
23,62565,0,1
43,22806,0,0
21,15757,0,0
36,107246,0,0
37,36470,0,0
50,21220,0,1
37,106851,0,0
29,69754,0,0
64,108329,0,0
18,94852,0,0
43,37505,0,0
31,43288,0,1
55,89492,0,0
54,34109,0,0
28,18497,0,1
53,72326,0,0
30,24864,0,1
60,112046,1,0
20,108517,0,0
50,102562,0,0
23,89310,0,0
27,36017,0,0
22,16821,0,1
40,65337,1,1
27,60485,0,1
61,98557,0,0
19,71388,1,1
30,25372,0,1
57,115050,0,0
19,108938,0,0
37,86333,0,0
18,31283,0,0
54,55857,0,0
26,66772,0,1
34,74670,1,1
26,88133,1,0
28,110856,1,0
32,46261,1,1
41,72154,0,1
55,21107,0,0
52,106296,0,0
47,50561,1,1
48,91674,0,0
22,50268,0,0
61,46608,1,0
31,28138,1,0
28,52693,1,1
26,98000,0,0
51,36248,0,1
29,117757,0,0
52,33632,0,0
52,62547,0,0
18,27100,0,0
57,62930,0,0
39,81861,0,0
46,91905,1,0
25,68025,1,0
28,90876,0,0
58,93944,0,0
54,65840,0,1
31,34369,0,0
47,33460,1,1
52,106641,1,0
38,111920,1,0
54,16461,0,0
22,57362,1,0
36,113376,0,0
31,43610,0,1
43,119334,0,0
21,35995,1,1
42,99716,0,0
62,22717,0,0
59,93867,0,0
42,94472,0,0
35,79022,0,1
57,68668,0,1
25,66645,0,1
56,44550,0,0
57,101151,0,0
31,18576,0,0
49,55868,0,1
55,113039,1,0
50,61380,0,1
40,20728,0,1
32,47800,0,1
50,25886,0,0
42,94614,1,0
34,84909,0,1
50,62236,0,0
64,60805,0,0
19,47532,0,0
31,115696,0,0
57,43688,1,0
57,26063,1,0
56,38089,0,0
23,70942,0,0
23,66829,1,1
20,65553,0,1
24,48585,0,0
25,86739,0,0
59,74004,0,0
32,17438,1,0
64,108095,1,0
46,38212,1,0
50,65362,0,0
47,87177,1,0
56,31983,0,1
44,29026,0,1
53,65998,0,1
46,70744,0,0
55,72013,0,1
50,66039,1,0
54,64831,0,0
44,100172,0,0
50,49603,1,1
21,92758,1,0
39,82713,0,1
19,113452,0,0
27,28105,1,1
22,115048,1,0
27,82182,0,1
50,67147,0,0
55,90400,0,0
30,61434,1,1
48,41515,0,1
64,104298,0,0
53,73001,1,1
62,116971,0,0
41,73397,1,1
32,76415,0,1
46,31960,0,0
25,108143,0,0
22,96838,1,0
46,60778,1,0
64,45941,1,0
21,111857,0,0
29,110849,0,0
62,118083,0,0
19,55955,0,0
44,93565,0,0
48,116276,1,0
53,71908,0,1
53,79067,1,0
43,70696,1,1
60,33429,0,1
44,109048,1,0
22,91676,0,0
37,29847,1,1
28,62191,0,0
27,49256,0,0
57,43774,0,0
55,24127,1,0
23,43205,1,1
25,115106,0,0
40,96163,1,0
64,73764,0,0
43,116824,1,0
63,53664,0,0
60,71795,0,1
29,47333,0,1
43,51079,0,1
30,99225,0,0
57,39259,0,1
35,41571,0,1
42,66119,0,1
50,23009,1,1
64,76829,0,1
57,53230,0,0
60,71049,0,0
29,116762,0,0
61,51498,1,1
53,43820,1,1
65,55315,0,0
21,110018,0,0
22,47795,1,1
54,100411,1,0
25,54191,0,0
59,69453,0,0
45,27453,0,0
48,65325,0,0
26,64490,1,0
46,89796,0,1
31,64993,0,1
57,60706,0,1
58,57817,0,1
39,79544,0,1
28,106434,0,0
40,70710,1,1
18,65799,0,0
63,75964,0,0
54,68678,0,0
38,86150,0,1
43,112379,0,0
63,75438,0,0
53,92223,1,0
40,76926,0,1
18,18801,1,1
57,56048,0,0
32,55144,0,1
38,109478,0,0
64,25148,0,0
26,97819,0,0
26,34861,0,0
27,115048,0,0
43,76717,0,1
58,37480,0,0
52,33637,1,1
42,59621,1,1
43,75304,0,1
28,62431,0,0
55,114937,0,0
19,103921,0,0
24,71172,1,0
35,40437,0,1
44,23149,0,0
51,29671,1,1
44,118005,1,0
34,38119,1,0
60,61117,1,1
61,114317,1,0
41,31279,0,0
42,83835,0,0
24,114810,0,0
23,19803,0,0
41,97897,1,0
50,75805,0,0
46,33201,0,1
60,43634,0,1
39,29760,0,1
43,25826,1,0
45,101821,0,0
38,60775,0,1
24,89676,0,0
34,21798,0,1
37,81103,1,0
58,92160,0,0
37,92751,1,0
39,88502,1,1
45,66410,1,1
57,55888,0,1
24,64047,1,0
18,110289,0,0
49,117614,1,0
30,60955,1,1
47,16982,1,0
40,48864,1,1
36,94118,0,0
49,100490,0,0
47,54265,0,1
46,61313,1,0
62,59350,0,0
46,30378,0,0
47,84815,0,0
33,42924,0,1
57,97593,1,0
36,22312,0,1
35,45353,1,1
18,115673,0,0
31,101450,1,0
64,31192,0,0
19,32450,0,1
45,20432,1,1
47,72225,0,0
55,111548,0,0
21,113991,0,0
18,93711,0,0
25,80604,0,1
46,25295,0,0
56,21774,0,1
20,27190,0,1
49,46286,0,0
27,91325,0,0
27,109450,1,0
36,112480,0,0
63,87427,1,1
51,102513,0,0
50,79014,0,0
40,110887,0,0
45,90852,0,0
49,70256,0,1
24,113743,0,0
46,73630,1,1
25,106190,0,0
18,77771,1,1
20,66715,1,0
41,22466,0,1
40,32637,0,1
25,83745,0,0
64,51317,0,0
54,64766,0,0
20,18078,1,1
50,42299,1,0
45,116794,1,0
64,18543,0,0
25,109627,0,0
51,66052,0,0
52,109483,0,0
49,37064,0,1
41,87287,0,1
31,95442,1,0
49,98632,1,0
63,29425,0,1
60,66481,1,1
33,92347,0,0
21,98114,0,0
54,87317,1,0
38,101826,1,0
31,65530,0,1
48,96099,0,0
65,40888,1,0
35,42491,0,1
24,47352,0,1
27,36676,0,1
24,80836,1,0
50,52463,0,0
40,63990,1,1
38,101544,0,0
36,78627,0,1
65,35221,1,0
36,109870,0,0
53,100837,0,0
46,87843,0,0
35,66313,1,1
19,44251,0,0
18,61586,0,1
64,114693,0,0
22,89418,0,1
37,68884,0,1
28,67620,1,0
59,25040,0,0
19,86677,0,1
20,60878,0,0
40,20969,1,1
29,28162,0,0
37,80435,0,0
22,89667,1,0
54,20037,0,1
55,75526,0,0
47,102914,0,0
26,29693,1,1
51,107162,0,0
61,74090,1,0
52,17451,0,0
39,80560,0,1
61,20962,0,1
41,115860,1,0
34,111951,0,0
27,104552,0,0
47,31444,0,0
63,55443,0,0
40,31506,0,1
49,53384,0,1
34,112229,0,0
34,39248,0,1
31,61162,1,1
26,57690,1,1
57,84625,0,1
19,83008,0,0
62,75309,0,0
42,58237,0,1
56,50732,0,1
26,23104,0,0
39,98230,1,0
60,105266,0,0
63,49980,0,0
21,89990,0,1
43,54560,0,1
46,24554,1,0
62,106049,0,0
51,60987,1,1
40,45985,0,1
54,105298,0,0
28,63167,1,0
23,55428,0,0
35,82238,0,0
38,77723,1,1
59,32038,0,1
53,37219,0,1
58,19271,0,0
55,42397,0,0
51,89491,0,0
34,44602,1,1
54,69471,0,0
42,77150,0,1
55,59227,0,0
29,112081,0,0
40,38116,0,0
59,21674,0,1
39,32469,1,1
38,20446,0,0
44,35760,0,1
48,16963,0,0
23,91002,0,0
44,42262,1,1
57,20177,0,0
51,26160,0,1
29,117876,0,0
62,22543,0,0
24,97162,1,0
27,54278,0,0
62,44607,0,0
34,100835,0,0
43,32221,0,1
38,18323,0,1
45,67105,1,1
63,91151,0,0
19,81968,1,0
60,38238,0,1
18,78830,1,0
53,88967,0,1
43,23330,0,1
46,59153,1,0
38,23611,0,1
28,28872,0,1
57,64455,1,1
28,49930,0,1
53,87022,0,0
56,77714,1,0
57,117406,1,0
52,103794,1,0
51,63716,0,0
64,81704,0,0
41,15415,1,0
39,91441,0,0
22,85779,1,0
50,97069,0,0
53,107556,0,0
64,103444,0,0
37,86435,1,0
36,114142,0,0
52,119448,1,0
60,24888,1,1
34,60299,1,1
62,73765,1,1
60,77714,1,0
51,30935,1,0
26,88002,0,0
43,95631,0,0
19,91729,0,0
26,16320,0,1
26,61032,0,0
57,92763,0,0
34,32907,1,1
18,53002,0,1
42,59838,0,1
60,53912,1,1
57,15552,0,0
59,35140,0,0
42,100591,1,0
56,63737,0,1
52,48367,0,0
20,95634,0,0
54,39061,0,0
61,111590,1,0
61,95336,0,0
47,57124,1,0
55,60638,0,0
51,106115,0,0
29,16982,1,1
36,50765,1,1
54,97606,0,0
61,111422,0,0
34,69681,1,1
27,78232,0,1
64,77349,0,0
29,115063,1,0
33,78474,0,1
41,44513,0,1
36,37592,0,1
25,38618,1,1
48,66632,0,1
38,30409,1,0
34,24529,0,1
40,39154,0,1
54,47882,0,1
33,59917,0,1
23,97488,0,0
25,30701,0,1
42,90281,1,0
35,104871,1,0
42,83225,0,0
29,67492,1,0
32,17988,0,0
43,50919,0,1
58,63426,0,0
62,67167,0,0
43,24013,0,0
64,54113,0,0
49,18574,0,0
27,113016,0,0
33,22838,1,0
24,108899,1,0
34,46368,0,1
40,47228,1,1
43,64711,0,1
38,61097,1,1
39,70773,0,1
24,43639,0,0
31,29823,0,1
32,38510,0,0
24,53333,0,1
26,19435,0,1
65,53418,0,0
25,72955,0,1
40,74507,1,1
46,66033,0,1
35,101089,1,0
48,87972,0,0
47,117012,0,0
56,62219,0,0
52,49477,1,1
35,104780,0,0
59,57721,0,0
56,82228,0,0
34,30523,0,1
31,47326,0,1
48,57205,0,1
41,15125,1,1
52,81735,1,1
61,119396,1,0
62,31375,0,1
51,17711,0,0
20,47437,0,0
54,43022,1,1
60,24182,0,0
57,108177,0,0
43,110066,1,0
40,103148,0,0
61,86531,0,0
56,55950,0,0
32,118806,0,0
21,27920,1,1
46,37144,0,0
39,99418,0,0
42,17565,0,0
30,103909,0,0
35,68942,0,1
50,85560,0,1
33,39691,0,1
62,48799,0,0
59,81777,1,1
61,49510,0,1
19,119013,1,0
52,102919,0,0
59,92366,0,0
51,43975,1,0
47,68242,0,0
30,61546,0,1
30,107087,0,0
35,38267,0,0
49,92911,0,0
49,102049,0,0
52,84939,0,1
56,19897,0,0
63,15163,1,0
46,116614,0,0
