Income,CreditScore,LoanAmount,Decision
63585,545,15971,0
84044,690,104242,0
62557,691,91850,0
69080,627,69481,0
22693,514,68486,0
115003,666,69840,0
115259,381,84208,0
89163,375,47991,0
45939,826,36088,0
68925,802,8177,1
62941,778,26735,1
41834,671,10100,0
38047,564,47691,0
46105,563,84164,0
95766,409,142479,0
35707,606,29054,0
41976,499,100120,0
64262,525,88611,0
43776,484,145521,0
50080,330,128311,0
86842,398,139977,0
81373,638,126502,0
26776,565,77220,0
112787,649,145448,0
75016,843,52881,1
29474,756,91245,0
78053,387,149190,0
41959,362,34888,0
25530,686,99827,0
114856,758,52460,1
23748,568,116873,0
117504,645,46594,0
118098,377,32588,0
33545,664,60013,0
86199,313,63172,0
54766,435,61615,0
93530,603,76358,0
113557,696,30112,0
81087,378,96514,0
115839,717,21037,1
88840,541,13996,0
74384,350,28066,0
71005,683,95963,0
66576,674,130105,0
59353,505,45865,0
82003,788,131023,0
103211,680,144139,0
72733,610,135555,0
85318,674,141413,0
109474,341,31440,0
43664,832,86163,0
87172,821,93738,1
105616,452,84877,0
113264,611,24314,0
46736,593,95365,0
114209,412,139592,0
20854,411,10110,0
110084,474,105011,0
58623,601,89213,0
27392,815,40252,0
75680,520,56887,0
66717,470,81251,0
107092,617,90375,0
70859,512,120625,0
46309,552,38645,0
107455,423,48664,0
83734,512,79274,0
90467,384,131083,0
72662,815,42261,1
118506,364,102432,0
32688,617,29365,0
45342,645,115127,0
57157,542,53817,0
87863,436,109591,0
72083,546,51610,0
85733,740,148233,0
109045,344,121833,0
54698,388,77494,0
100623,527,30805,0
42671,590,99506,0
45184,721,15468,0
113384,366,16135,0
62107,550,132056,0
106202,340,68135,0
71663,398,69699,0
35708,605,71036,0
111906,755,134729,0
69811,600,26990,0
22811,498,24134,0
76250,787,55464,1
92082,405,89073,0
54754,700,136680,0
115742,776,139366,0
31411,421,121685,0
22911,376,97541,0
87270,611,85709,0
103763,411,90105,0
28680,817,52043,0
104896,496,61536,0
103879,397,8706,0
91295,758,147338,0
108614,529,91422,0
31111,467,128555,0
57504,307,80382,0
21802,471,83255,0
28155,659,91924,0
93656,494,50116,0
59384,568,90464,0
67254,318,74354,0
41918,653,13087,0
105981,348,126770,0
80713,763,106747,0
50306,655,92629,0
36646,457,71583,0
66843,365,48413,0
116601,607,89580,0
110735,636,86530,0
36371,420,135393,0
97371,703,44034,1
22049,395,95875,0
51616,413,146631,0
40932,728,139480,0
49855,839,28878,0
81434,301,96025,0
92694,511,98243,0
63016,632,93647,0
27400,323,87462,0
62642,667,89855,0
35151,805,128300,0
71407,475,130250,0
86690,728,77812,1
24499,741,59851,0
26295,847,54698,0
79040,813,26345,1
32183,660,62797,0
49299,573,56843,0
32874,476,14949,0
52711,563,42542,0
25539,485,96529,0
73351,826,130040,0
81267,578,135268,0
68354,497,88258,0
22557,648,95578,0
58360,720,143073,0
102018,604,12948,0
22200,363,102410,0
88497,589,89391,0
66975,317,46522,0
41357,363,65310,0
97505,629,116350,0
22869,316,111405,0
81135,742,55882,1
70108,440,78415,0
114179,607,80085,0
110272,743,124913,0
58467,795,135985,0
43328,725,20136,0
111412,774,110550,0
106831,544,47148,0
23987,749,76501,0
78871,650,116672,0
42399,460,48967,0
66214,439,24507,0
119522,792,106447,0
106416,830,106104,0
90271,692,121890,0
64064,700,93122,0
90091,349,138414,0
60818,594,131273,0
65525,724,49360,1
39830,311,15167,0
37429,634,67853,0
26893,314,53303,0
99909,327,117988,0
67333,687,71991,0
23436,591,138611,0
94290,549,106922,0
96213,804,95986,1
25895,397,131550,0
39738,636,148791,0
50746,338,8591,0
69377,337,75250,0
68404,599,132410,0
74045,478,97955,0
117888,768,9667,1
59790,581,78993,0
25600,463,78829,0
114660,752,29238,1
113179,396,130636,0
60764,608,105573,0
94543,561,130842,0
65714,592,89403,0
76835,548,16184,0
93744,544,91349,0
76491,550,30482,0
38589,422,20660,0
63484,624,29479,0
102989,800,42230,1
56212,365,8340,0
63525,358,110251,0
67202,797,36829,1
52635,672,143111,0
83208,565,143227,0
53828,535,130045,0
38711,517,131086,0
23420,826,108213,0
116752,740,78933,1
20301,705,119753,0
65236,768,148309,0
86235,409,105355,0
74240,652,136074,0
85726,390,127114,0
30492,713,70860,0
26102,372,26275,0
70336,846,56734,1
105314,597,68261,0
46641,582,130526,0
54584,804,94896,1
52745,497,24498,0
43093,331,82003,0
86105,640,149441,0
71885,633,65071,0
56631,442,18997,0
92991,709,48518,1
24014,343,114885,0
31093,331,135480,0
38070,327,29686,0
55777,722,90736,1
76958,790,80691,1
102074,459,18074,0
30729,506,23091,0
119713,317,11715,0
65017,402,43821,0
86320,531,25199,0
47751,723,139111,0
98069,846,10861,1
74748,538,57008,0
25801,633,62668,0
39190,448,127494,0
69689,707,35691,1
70993,316,28815,0
49592,525,96674,0
30647,559,88464,0
28716,473,92771,0
108891,504,91553,0
107545,714,132602,0
109912,807,89185,1
90316,452,116184,0
22368,402,46026,0
97575,364,125975,0
26655,416,10260,0
90031,455,149729,0
96429,381,128344,0
111083,817,107495,0
107922,366,6467,0
75766,537,142173,0
33403,625,138832,0
52097,366,109725,0
98657,475,148720,0
30966,777,39161,0
119157,554,115803,0
113848,362,92298,0
72921,702,23083,1
69726,491,55723,0
70300,628,117660,0
42677,370,147768,0
75609,362,110071,0
116825,596,92258,0
76661,544,100735,0
51024,818,67071,1
90313,692,99968,0
73006,476,59094,0
115285,503,47415,0
35338,832,93251,0
88027,427,32124,0
112772,494,28403,0
100135,493,7422,0
39508,483,134457,0
23051,546,110894,0
68747,623,149527,0
107142,459,80068,0
107235,365,149613,0
74021,553,47478,0
86412,582,43593,0
78335,359,77296,0
76179,417,46670,0
52093,722,25954,1
89678,335,38341,0
100738,830,32419,1
59734,390,54659,0
92615,600,138294,0
93523,516,61840,0
114476,397,71323,0
37019,755,98901,0
103613,830,107971,0
111794,837,121921,0
106672,327,30162,0
93847,623,81893,0
102750,522,50569,0
99634,379,122937,0
48251,757,32277,0
45945,475,109375,0
110852,821,90956,1
52217,756,62899,1
28308,722,17167,0
25949,399,50350,0
71990,702,32883,1
21150,679,19374,0
109480,830,29551,1
94740,631,99188,0
86617,617,125766,0
114841,836,92834,1
36896,388,11352,0
66175,810,105475,0
27805,341,116566,0
25237,688,62080,0
40056,380,13594,0
65543,701,13475,1
76556,406,134599,0
23343,410,93035,0
33500,576,100983,0
73222,513,80923,0
49375,805,7670,0
29662,420,64263,0
36964,433,40316,0
79638,670,23710,0
93666,556,105510,0
105067,479,10179,0
87215,347,30063,0
89042,318,63009,0
33284,345,76011,0
92789,750,145753,0
104664,355,77501,0
113468,391,38566,0
81389,381,122488,0
29435,378,90849,0
74340,582,66217,0
64078,610,29939,0
98832,459,84854,0
71293,615,146409,0
115981,455,147095,0
98781,767,83406,1
80403,761,108326,0
49124,416,110888,0
115435,663,65916,0
63919,765,19274,1
55247,483,90285,0
114758,465,29398,0
111747,374,86506,0
82752,571,35135,0
76573,802,117096,0
79101,642,132843,0
46646,550,16412,0
43049,429,149266,0
99605,657,118283,0
118116,707,96182,1
117379,794,99301,1
88385,781,42219,1
60158,377,40507,0
85417,813,61591,1
43289,620,92468,0
29823,589,94836,0
80160,596,93765,0
61975,774,142939,0
29540,322,79644,0
36364,471,8943,0
24611,617,106764,0
47663,492,72028,0
71991,417,144990,0
77679,305,31185,0
50977,782,26402,1
114704,431,99860,0
69115,392,28134,0
111007,821,35505,1
108223,593,120250,0
80890,691,6268,0
86387,548,76097,0
38071,716,60197,0
79275,442,147343,0
92369,536,107958,0
31938,586,122859,0
55195,576,12512,0
111680,686,68968,0
24000,681,126534,0
90588,749,65757,1
113610,590,112753,0
117856,468,135282,0
58304,742,101381,0
89449,483,148836,0
102986,344,113915,0
109643,567,71679,0
40764,775,77239,0
106027,552,99386,0
58494,695,146878,0
23373,588,143166,0
32161,511,21158,0
117532,320,119523,0
112658,615,32209,0
47350,737,18763,0
113008,722,47105,1
114297,532,105408,0
45351,422,90776,0
108668,513,108423,0
35305,339,149582,0
95353,631,123747,0
96797,481,72344,0
85953,564,70945,0
77458,832,136717,0
40358,731,66264,0
23267,495,88471,0
102745,808,149998,0
109588,746,125050,0
58513,827,137185,0
46092,501,54213,0
31338,432,140664,0
20412,438,117695,0
27543,792,29552,0
53496,369,66898,0
80692,314,57118,0
109084,511,24744,0
112920,359,27046,0
64425,551,86365,0
58756,745,112908,0
38888,301,69932,0
55735,635,131464,0
67295,318,113229,0
103042,377,28084,0
105999,771,41398,1
37955,327,102219,0
57841,464,141272,0
90640,757,113987,0
85510,475,7039,0
54911,328,94374,0
79031,578,104611,0
108726,582,142706,0
27357,778,69899,0
52479,818,6724,1
81476,604,92590,0
64811,408,138527,0
56208,623,117966,0
40150,505,77628,0
91180,533,45456,0
63286,757,47773,1
88450,486,139133,0
41352,781,15586,0
75069,706,99479,1
34397,808,80012,0
61555,819,95507,1
66959,352,139835,0
20728,697,50209,0
70517,498,63434,0
86234,690,40656,0
59954,797,140078,0
67280,471,22470,0
99459,385,77035,0
36779,485,104608,0
83932,455,81840,0
92936,792,100771,0
44466,820,50332,0
56939,429,125536,0
89896,380,82533,0
55270,683,135194,0
79163,594,113618,0
102637,568,108424,0
71934,834,100596,0
84895,677,56020,0
52307,675,107416,0
74098,387,127610,0
80921,410,137534,0
25486,453,29082,0
28335,762,137937,0
106900,455,41777,0
109112,617,147394,0
117203,537,19538,0
31130,633,62125,0
107508,405,95583,0
80566,781,139249,0
86703,681,32502,0
47192,560,134988,0
21062,592,24249,0
104076,634,8197,0
109780,775,40229,1
41545,524,29166,0
41689,753,144764,0
31174,595,111298,0
108461,762,6775,1
29348,513,37656,0
43714,457,5606,0
58102,571,62281,0
94460,537,12375,0
109930,602,135708,0
26801,820,132325,0
92267,620,5819,0
68136,358,81992,0
43625,657,136855,0
102873,550,12560,0
92592,735,34168,1
97052,445,131625,0
64261,651,104436,0
21542,544,83598,0
41677,600,80924,0
66732,737,10318,1
70343,399,59714,0
59081,779,35544,1
82856,714,25823,1
113105,464,109555,0
108858,601,21978,0
39065,420,139396,0
103460,387,127418,0
108092,516,139006,0
74693,478,10033,0
46962,462,110067,0
48295,469,142158,0
33807,600,23894,0
62348,673,9687,0
46432,502,138959,0
103285,346,139115,0
111792,762,22789,1
77854,707,61784,1
60262,493,11115,0
57080,726,33821,1
21324,616,27879,0
111267,778,122177,0
55909,720,54157,1
109339,568,65262,0
39870,780,45971,0
54578,562,106146,0
92124,725,126535,0
46790,465,97384,0
45289,727,117453,0
75129,696,105277,0
113714,515,31520,0
114246,406,19833,0
35485,397,66475,0
64482,781,13143,1
106188,798,94472,1
24748,529,107132,0
106769,556,92005,0
29435,342,53538,0
23709,541,68795,0
50355,394,108041,0
75771,487,87159,0
77799,684,128796,0
33116,699,82166,0
45470,805,106542,0
62344,466,5553,0
62918,424,113381,0
72224,386,18612,0
59298,788,81673,1
100219,525,69459,0
81629,644,30804,0
86040,817,46154,1
119518,330,115183,0
119835,595,145689,0
48016,713,7693,0
43960,434,35971,0
53591,824,131633,0
102848,303,85078,0
87641,477,79227,0
56395,558,83990,0
42700,364,91034,0
54620,662,90567,0
40559,316,45677,0
113045,499,73402,0
113396,843,103104,0
81642,511,27291,0
96539,734,33497,1
41732,572,120135,0
111362,589,36969,0
50354,782,35245,1
33843,533,58312,0
91726,707,13267,1
37640,445,44812,0
72528,729,139847,0
58413,731,130562,0
72638,844,81924,1
72736,796,30875,1
88866,388,100803,0
39087,710,52589,0
61430,540,8534,0
44504,522,66807,0
27114,767,56670,0
98859,621,80465,0
119657,674,59720,0
30975,411,102619,0
31023,826,8739,0
41447,711,38107,0
110469,568,138934,0
43959,551,87533,0
86203,673,22487,0
49703,749,33353,0
29337,836,13984,0
66427,667,28130,0
81529,554,78794,0
104665,762,45080,1
51921,567,17839,0
53307,425,103874,0
47355,692,46499,0
24835,633,135094,0
40159,667,141428,0
67605,755,87036,1
58088,366,80926,0
98752,365,34778,0
75284,699,110528,0
77043,586,68192,0
55547,485,90376,0
117007,583,133219,0
102844,815,34980,1
47532,536,19065,0
54349,317,130361,0
65445,713,15559,1
25713,308,129514,0
76178,719,78969,1
69407,328,144728,0
90340,647,48210,0
70990,749,36477,1
95672,679,111111,0
85545,665,34529,0
104791,526,23262,0
78141,417,70087,0
43793,711,56686,0
76570,655,79299,0
115084,553,118044,0
57892,842,41409,1
21015,743,24535,0
81813,380,128828,0
47712,345,140182,0
28415,348,114518,0
82292,748,143279,0
43833,706,53637,0
24158,582,79405,0
82680,772,48872,1
40309,715,17185,0
26970,420,111706,0
92474,302,6396,0
106704,615,8460,0
66540,759,107657,0
40384,526,12676,0
38017,378,42312,0
95880,843,139220,0
28702,370,148344,0
20384,496,7655,0
20404,357,60863,0
60943,723,66045,1
67926,768,50517,1
49189,347,79227,0
32763,734,79789,0
38384,484,59322,0
80100,464,106800,0
118142,630,125782,0
29860,629,140294,0
100642,420,56141,0
70612,512,15716,0
43574,806,65644,0
43524,467,130650,0
89172,845,93499,1
30916,726,137454,0
24809,520,140239,0
52201,309,122323,0
73330,419,108849,0
33456,546,86117,0
76397,659,96730,0
58765,520,65972,0
54816,805,79963,1
65106,357,59534,0
73932,759,121093,0
37100,427,29121,0
77091,385,76736,0
41949,403,66581,0
90080,442,31123,0
57744,504,56036,0
65543,337,135062,0
112193,662,83855,0
56187,608,27701,0
27239,351,46178,0
34489,300,110734,0
78017,310,42118,0
81877,513,30387,0
63125,817,62613,1
69922,714,51666,1
114074,307,34554,0
52049,304,124387,0
57131,661,47146,0
62944,411,105037,0
93963,572,149060,0
44285,721,21456,0
57626,564,124681,0
62808,757,127573,0
108464,511,66405,0
73871,377,147106,0
39198,520,5877,0
39758,668,67718,0
35254,646,63100,0
64238,324,14642,0
21252,719,105844,0
59764,653,55483,0
97709,716,70293,1
57441,814,80450,1
112234,514,101629,0
73682,411,118140,0
79494,727,54508,1
101317,515,112815,0
85215,712,136651,0
98587,679,17587,0
26949,531,71181,0
75393,557,97345,0
93553,555,48591,0
26941,702,36901,0
45934,723,98411,0
43386,364,144571,0
81886,489,136305,0
95745,472,64566,0
103251,526,20246,0
114456,687,108425,0
73413,700,118400,0
76800,512,39503,0
117239,352,140349,0
62318,438,71477,0
90173,717,136421,0
90390,442,97798,0
72329,808,78000,1
63088,785,149580,0
59811,736,102565,0
75479,842,115123,0
105392,592,72081,0
107369,583,121434,0
39963,313,33957,0
75123,571,143968,0
112705,324,110634,0
93477,621,140360,0
34388,402,26150,0
25569,339,92877,0
89836,534,115540,0
56586,388,110139,0
32015,399,26091,0
65002,443,136972,0
26254,381,51702,0
37144,528,24725,0
44214,694,33722,0
100719,812,23059,1
91774,496,23161,0
26090,573,95345,0
31637,671,15687,0
42415,379,87503,0
44071,534,104770,0
78243,586,13694,0
61240,844,132260,0
103807,736,104459,0
53434,426,55087,0
89724,716,112941,0
95697,340,61561,0
48732,768,10364,0
31314,596,82008,0
43954,341,140046,0
77108,578,29053,0
107044,758,137282,0
107505,332,110128,0
56668,575,43966,0
43061,389,31070,0
99252,823,114573,0
59749,459,111327,0
36907,757,147318,0
38777,698,44829,0
113229,390,66125,0
71745,765,110111,0
111865,519,110277,0
101818,718,5169,1
43624,678,98943,0
43321,746,97408,0
30488,445,149021,0
42574,532,52313,0
25240,670,83735,0
63221,533,65131,0
30478,666,131195,0
75645,780,112127,0
39262,662,52740,0
72796,810,117339,0
24432,394,73570,0
115257,515,149400,0
84291,842,49047,1
99104,434,124168,0
79399,382,77666,0
99714,690,107173,0
70428,346,60251,0
107731,691,5791,0
20302,684,17333,0
102558,680,73892,0
20055,376,140997,0
28717,558,146836,0
48699,698,59226,0
93686,399,82632,0
87661,800,44468,1
64247,682,7094,0
36748,491,50583,0
24621,644,54021,0
35034,309,20362,0
25126,563,17185,0
25122,567,86678,0
38030,494,123984,0
102838,706,48190,1
104717,595,145836,0
75658,396,21888,0
58638,761,19748,1
87067,386,56013,0
108869,376,120091,0
54674,782,25715,1
55854,445,7906,0
66271,410,98125,0
93688,596,16808,0
58518,725,69945,1
30267,633,72105,0
110825,822,115212,0
21062,837,31419,0
70448,461,131258,0
115462,729,16156,1
26229,368,10062,0
76793,432,39940,0
67915,488,27463,0
24632,578,41188,0
23596,729,76813,0
26168,841,39017,0
27561,460,119375,0
93794,752,7697,1
102152,469,115930,0
46734,356,59086,0
26371,539,93385,0
46069,657,41652,0
99905,500,143326,0
32910,743,66631,0
93479,601,85527,0
97735,405,109084,0
101264,400,124771,0
43275,396,118645,0
92274,328,64019,0
101449,805,125807,0
80004,737,109528,0
82981,678,70233,0
104659,372,5372,0
74553,553,76564,0
68447,815,128297,0
54529,849,133058,0
95703,319,68615,0
96090,834,34445,1
37260,720,90532,0
23812,745,114435,0
48024,435,81974,0
78656,804,126049,0
47285,600,136827,0
112436,332,67716,0
21605,577,74061,0
91158,432,34884,0
92303,826,6796,1
47139,425,149826,0
97149,644,148233,0
76138,316,122747,0
96125,677,72713,0
33918,359,98668,0
105655,766,72586,1
47446,690,127206,0
33046,486,95666,0
44818,797,118796,0
24324,660,43577,0
96323,748,59765,1
29111,480,29841,0
58110,429,30498,0
36389,448,113567,0
61427,771,117642,0
99579,799,72229,1
48746,654,132855,0
107886,510,68914,0
20117,329,116399,0
104471,323,19838,0
33234,521,106224,0
73441,700,91765,0
20846,811,74703,0
30954,387,46845,0
99239,764,43907,1
66514,349,60421,0
108236,402,38330,0
117579,667,60244,0
26469,791,126696,0
50105,567,45564,0
62101,696,108963,0
84323,619,126299,0
111922,819,125972,0
78067,748,67469,1
69376,775,7716,1
65587,539,32254,0
56976,557,47632,0
87584,689,108964,0
98477,642,114623,0
62533,686,26277,0
21828,693,131833,0
21917,569,22503,0
40618,448,105566,0
52254,679,91921,0
67362,327,81180,0
40128,448,114264,0
79383,719,37864,1
85545,579,144850,0
102180,481,101923,0
107958,465,50596,0
29865,316,134739,0
22219,449,24733,0
59809,638,114082,0
25287,344,17372,0
54387,801,116950,0
28512,488,40256,0
21342,360,78353,0
83076,593,89757,0
39216,332,119687,0
113070,598,110700,0
99767,714,63546,1
117829,848,13064,1
46614,730,108073,0
56258,794,46689,1
113789,399,49006,0
62078,322,37195,0
103524,719,5203,1
116573,723,50248,1
32219,786,12460,0
20235,388,123463,0
62929,508,62230,0
87444,570,127268,0
28567,705,140427,0
90792,577,36935,0
85441,505,122739,0
104555,627,7663,0
93698,635,99903,0
25415,337,136110,0
56159,527,15318,0
63925,782,144992,0
25951,433,66243,0
107388,689,115723,0
28007,724,89044,0
61832,809,41902,1
78596,726,102845,0
50523,773,76074,1
108861,660,53949,0
106740,510,109765,0
35524,478,51543,0
39282,357,16398,0
43930,372,78436,0
20077,514,114809,0
40611,372,55396,0
36984,766,115583,0
34060,570,71193,0
102985,798,114461,0
104056,653,25840,0
63303,533,103119,0
79207,618,85061,0
95046,318,68900,0
49287,671,50384,0
113709,483,129679,0
59711,576,34917,0
31954,444,117301,0
93340,380,93155,0
92101,621,75071,0
91520,734,61425,1
107062,342,85116,0
38574,612,66321,0
29184,592,72512,0
39096,368,106973,0
87728,355,123880,0
54016,503,52055,0
31246,719,5937,0
65558,849,22673,1
38381,542,107974,0
56455,500,77957,0
112263,773,17953,1
24018,826,72052,0
31302,376,48042,0
87506,777,124180,0
61157,739,76706,1
74917,562,129765,0
112738,484,138425,0
116646,354,16999,0
103122,607,81474,0
44519,815,68134,0
116809,598,136652,0
107487,529,75086,0
76819,676,50248,0
100910,585,122651,0
91324,437,67249,0
25408,777,12647,0
79379,306,73079,0
45053,718,85094,0
29446,771,58546,0
20922,719,85919,0
118723,575,35033,0
71356,389,90075,0
30789,581,90625,0
117720,847,103820,0
86656,470,36000,0
64028,654,77113,0
84484,503,148701,0
52154,588,142994,0
102870,761,98435,1
22336,472,131956,0
87779,600,104294,0
39029,828,66049,0
79201,439,101155,0
52265,577,12721,0
63872,810,121539,0
66197,645,106013,0
75180,439,116870,0
43710,413,72714,0
49486,806,100166,0
91907,665,116992,0
91895,696,14747,0
84435,410,136050,0
60631,657,129102,0
40103,537,134244,0
84772,302,78640,0
34382,703,52746,0
104291,324,143410,0
23756,808,71704,0
40609,764,134511,0
36478,360,61500,0
59666,807,147395,0
95683,422,73163,0
119097,796,133191,0
91315,354,23919,0
97834,462,58956,0
34153,338,21544,0
96325,382,55936,0
32999,845,24566,0
75318,412,131854,0
20814,724,19880,0
96077,529,148008,0
110474,582,101284,0
22443,586,17198,0
95993,454,13376,0
95916,464,72432,0
93319,481,114791,0
37368,538,68295,0
35328,638,145885,0
76942,811,56313,1
111751,565,111873,0
119131,486,25232,0
47306,339,38609,0
105451,792,121859,0
59915,690,44021,0
57219,559,50108,0
100879,475,135221,0
84644,628,90305,0
80279,499,9821,0
73028,495,125501,0
20126,830,70580,0
72329,361,10236,0
47632,626,31745,0
85310,580,142697,0
75176,526,98353,0
106066,357,9014,0
64327,776,43548,1
88904,675,46033,0
23797,542,44060,0
67882,666,72096,0
33718,799,63235,0
54560,551,81860,0
96589,621,97001,0
42116,675,100285,0
56244,708,30822,1
21645,787,87392,0
67523,642,125123,0
39256,539,39985,0
73173,438,30276,0
57430,421,139059,0
59282,719,13330,1
83374,603,80811,0
88244,414,53119,0
31694,642,119619,0
76264,550,42603,0
95060,306,33940,0
117416,478,13377,0
77545,444,67308,0
59224,715,40961,1
117945,420,9928,0
33224,423,14604,0
60738,449,53029,0
45150,696,98300,0
83731,680,149849,0
69688,300,57068,0
119929,543,117236,0
93509,697,108949,0
28577,550,140333,0
28070,598,42306,0
28666,596,74962,0
77761,799,67432,1
56368,414,137430,0
26783,300,83959,0
61914,781,39537,1
90507,809,32337,1
99026,634,130762,0
87526,764,134162,0
90835,440,68247,0
65765,436,96301,0
39956,466,22576,0
107895,642,40584,0
66240,709,44035,1
57148,364,98733,0
114270,366,140928,0
24757,732,100980,0
39097,349,92163,0
30395,613,17023,0
36241,608,130524,0
47696,414,105187,0
90480,641,67919,0
66163,829,5540,1
39816,794,13837,0
69840,568,108030,0
72853,379,69889,0
44917,755,54054,0
116731,598,14046,0
41566,501,57495,0
95452,802,45579,1
82823,784,64821,1
40806,317,100877,0
95520,777,81668,1
21759,787,14012,0
61949,745,12030,1
112374,639,127047,0
22482,830,148099,0
44442,415,98399,0
53719,373,23565,0
78066,568,106536,0
113501,415,118921,0
22079,463,147710,0
22717,521,96122,0
79676,425,62540,0
47952,475,14225,0
106444,674,101774,0
62460,797,87268,1
110397,384,33353,0
92847,682,53531,0
113607,762,137730,0
109106,750,30150,1
38449,817,149387,0
53536,849,126159,0
84077,415,43649,0
58258,307,25392,0
68302,517,142115,0
48865,703,21867,0
26645,603,107216,0
58000,766,136429,0
46737,387,131874,0
31485,309,35408,0
58565,607,31279,0
45522,733,107868,0
85155,463,60131,0
75168,538,46452,0
72487,616,81855,0
32342,634,68612,0
60806,317,32578,0
68770,370,6908,0
98623,474,103059,0
119785,638,84368,0
95629,547,147658,0
72603,492,75940,0
101974,718,92878,1
46399,624,137697,0
105382,605,102543,0
101244,503,22871,0
96534,422,134742,0
75106,746,117961,0
50678,790,60653,1
96218,732,145180,0
83230,427,120398,0
94055,847,39984,1
76373,346,68478,0
51480,804,29290,1
105230,414,146890,0
88836,715,11984,1
92258,522,71286,0
59986,802,10594,1
44160,395,143243,0
105595,406,101624,0
99111,331,121575,0
84929,792,55570,1
93506,365,122291,0
54911,478,100350,0
107127,742,133742,0
51821,848,124788,0
95039,500,67405,0
80535,348,116606,0
104458,562,67653,0
32175,432,146282,0
74771,643,64380,0
106925,475,106791,0
86358,690,125598,0
37327,310,125996,0
67057,500,124421,0
26150,302,80237,0
24425,513,97150,0
36032,606,85202,0
22198,843,75775,0
80500,626,89266,0
73394,498,71391,0
40079,408,79894,0
56220,590,55817,0
61874,407,74574,0
33859,707,47932,0
70460,351,68404,0
51419,411,25071,0
28705,594,58694,0
62880,488,5733,0
43236,364,66127,0
107955,764,83345,1
105514,557,149758,0
35358,630,74034,0
119713,800,112620,0
114914,509,140789,0
96918,388,9854,0
34596,327,105162,0
53572,537,113787,0
98757,635,19358,0
21279,362,9960,0
83197,799,31576,1
82516,840,96909,1
27083,768,23700,0
37771,350,56166,0
49975,411,52417,0
65648,600,24412,0
68285,389,102760,0
39063,528,64291,0
87642,449,96255,0
110093,437,140303,0
106143,434,12521,0
57599,756,128815,0
71920,793,16349,1
48529,826,37768,0
55954,632,100168,0
47856,661,67985,0
22573,473,12611,0
98344,512,24012,0
