Id,Location,Size,Price
240,New York,2055,1184081
241,New York,2493,638961
242,Denver,768,351921
243,Seattle,3458,1052148
244,Dallas,4613,727852
245,San Diego,3060,1080967
246,Boston,2113,391542
247,San Diego,1219,985935
248,Boston,4236,1200651
249,Miami,2274,642605
250,Denver,3324,1135655
251,San Diego,2194,106513
252,New York,2753,1323620
253,Chicago,3772,473663
254,Boston,3238,1438422
255,Los Angeles,2916,699088
256,New York,4970,1303781
257,Denver,2926,898112
258,Miami,2522,1195305
259,Chicago,1098,1251404
260,Austin,3905,754534
261,Los Angeles,3887,1468965
262,Seattle,4614,848581
263,New York,2048,717013
264,Seattle,3775,597337
265,Chicago,2653,195932
266,Dallas,4579,1359412
267,San Diego,3535,107968
268,Dallas,4319,1265775
269,New York,2283,1030890
270,Los Angeles,3048,125201
271,Chicago,1838,610326
272,Denver,2371,182975
273,Chicago,2457,163436
274,San Diego,3810,1497738
275,San Diego,4933,392982
276,New York,967,884926
277,Los Angeles,4061,821326
278,Austin,3310,497693
279,Dallas,874,209038
280,Austin,3490,1379799
281,Los Angeles,2942,812539
282,San Diego,1608,1054318
283,New York,2318,1244160
284,Los Angeles,4532,1460389
285,Dallas,4711,833647
286,Seattle,2261,915511
287,Chicago,1725,1238434
288,Austin,2556,693979
289,Boston,3801,1469294
290,Los Angeles,1178,378484
291,Chicago,3006,555061
292,Denver,1335,568432
293,Dallas,1263,1454839
294,Miami,2068,961576
295,Austin,1492,753967
296,Seattle,1270,1489009
297,Denver,4241,115397
298,Chicago,2199,1177815
299,Austin,3558,984015
300,Austin,3451,1307939
301,New York,4231,808275
302,Austin,1310,704783
303,Chicago,1684,343513
304,Los Angeles,2035,200109
305,Boston,3236,861813
306,Los Angeles,1155,634488
307,Miami,1666,562305
308,Los Angeles,2145,741442
309,New York,859,1040031
310,New York,4174,1090678
311,San Diego,3849,1187120
312,Los Angeles,1258,351360
313,Los Angeles,969,906785
314,Denver,2515,550493
315,Miami,1259,360518
316,Chicago,1050,1024114
317,New York,1112,991308
318,New York,1950,1017262
319,Chicago,2458,468775
320,Austin,3633,647166
321,New York,4899,304099
322,Dallas,2000,1246086
323,Austin,1646,1241309
324,Seattle,2790,1314174
325,New York,4733,1302008
326,Seattle,4822,1074305
327,San Diego,4146,1013313
328,Denver,3773,563810
329,Dallas,1643,1336476
330,Seattle,1870,933351
331,Los Angeles,2666,1373250
332,Dallas,1559,991820
333,Miami,3937,574356
334,Denver,3848,1456183
335,Dallas,3697,993597
336,Seattle,2207,773152
337,Chicago,820,498662
338,Austin,986,1065972
339,Dallas,2973,1488895
340,Miami,4175,1066799
341,New York,2005,775065
342,Chicago,3901,1200080
343,Austin,2571,1429164
344,San Diego,4626,1042356
345,Dallas,3527,1320355
346,Chicago,958,793940
347,Miami,2292,1491840
348,Denver,2372,864173
349,Dallas,3638,337042
350,Chicago,2513,796165
351,Boston,3199,1438758
352,Boston,2022,1251198
353,Denver,2620,224145
354,Denver,732,446554
355,Austin,3014,1421692
356,Chicago,1809,1184255
357,Chicago,1227,861199
358,Los Angeles,941,761050
359,San Diego,2881,1216785
360,Dallas,888,1358531
361,Miami,2666,1004429
362,Miami,2080,1318824
363,Seattle,2005,641033
364,Chicago,3838,1384518
365,Los Angeles,3078,818891
366,Denver,3502,772686
367,Chicago,1249,1003921
368,Austin,1014,1339958
369,Denver,3796,1321041
370,Seattle,2671,367660
371,San Diego,3652,960472
372,Denver,4973,386086
373,Austin,1979,726700
374,Dallas,2148,298708
375,Miami,936,1089980
376,New York,2285,712728
377,Dallas,2611,629790
378,Chicago,4756,1404554
379,Miami,2829,631841
380,Boston,3580,573506
381,Miami,3793,196707
382,Denver,2604,166660
383,Chicago,4281,1198030
384,Miami,4940,1172587
385,Austin,2704,1306675
386,Chicago,4087,611168
387,Boston,3568,1029158
388,San Diego,2414,657808
389,Chicago,1038,722524
390,New York,3720,135364
391,New York,4649,1493596
392,Seattle,4788,1415963
393,Austin,3608,1344171
394,Los Angeles,4086,1238788
395,San Diego,2535,869712
396,Los Angeles,1748,722948
397,San Diego,2075,203090
398,San Diego,1647,694396
399,Boston,3200,1073839
400,Denver,868,1244761
401,Los Angeles,904,668882
402,Boston,1863,832268
403,San Diego,4896,614972
404,Denver,4129,146901
405,Boston,3872,820198
406,Seattle,3026,1411404
407,Miami,2854,1093731
408,Austin,837,587240
409,San Diego,2833,149388
410,New York,1716,1419251
411,San Diego,3565,602860
412,Denver,1164,630800
413,Miami,3084,811045
414,Seattle,1573,1448187
415,Seattle,4999,1401676
416,Miami,1207,295516
417,San Diego,2860,557879
418,Denver,2852,464530
419,San Diego,770,1003856
420,Chicago,1887,1147373
421,New York,837,763290
422,Seattle,2955,1081687
423,Seattle,4896,576394
424,Boston,1756,804004
425,New York,663,811722
426,Dallas,2223,781041
427,Los Angeles,4305,217021
428,Denver,3907,333080
429,Miami,1597,377625
430,Seattle,4172,920428
431,Dallas,823,1149241
432,Seattle,3479,605355
433,Seattle,4750,1444592
434,Los Angeles,3570,203742
435,Miami,2531,945970
436,San Diego,4237,291921
437,Dallas,1170,1115829
438,New York,1896,229697
439,Boston,2475,153393
440,New York,3099,257355
441,Dallas,3275,289469
442,Austin,3261,1078947
443,San Diego,4892,354615
444,San Diego,4431,683978
445,Seattle,2684,1359246
446,Chicago,4846,788739
447,Austin,3801,1105798
448,Austin,3243,136411
449,New York,2737,148599
450,Miami,4770,1312194
451,Chicago,3585,1273270
452,Denver,811,545744
453,Chicago,3918,628944
454,Denver,4540,166013
455,Denver,3313,1484670
456,Chicago,1707,1262821
457,Chicago,2391,946296
458,Miami,4942,1241263
459,Los Angeles,4259,117653
460,Seattle,1549,689277
461,San Diego,2380,425737
462,Chicago,2031,1102002
463,Miami,3395,465868
464,San Diego,4702,1156306
465,Seattle,964,1213926
466,San Diego,4127,877163
467,Chicago,753,1494570
468,Boston,2715,1421713
469,New York,611,1074096
470,Seattle,1939,943550
471,Denver,1297,1040712
472,San Diego,1984,246139
473,Boston,4778,863862
474,New York,4850,555545
475,Dallas,3675,158549
476,San Diego,3153,436552
477,New York,2627,1379478
478,Chicago,815,1002997
479,Los Angeles,4960,1131105
480,Boston,3735,1063320
481,Chicago,1315,243485
482,Denver,4284,279037
483,Chicago,1576,161051
484,Denver,4661,1260466
485,Chicago,2945,811134
486,New York,4451,138381
487,Dallas,2306,1100882
488,Boston,824,472552
489,Seattle,3614,125060
490,Dallas,3346,492927
491,Seattle,2547,346790
492,Miami,3227,1114981
493,Dallas,2391,754349
494,Dallas,4378,1342091
495,Chicago,3962,1496799
496,Seattle,2860,632246
497,Miami,4727,110179
498,Chicago,2652,878010
499,San Diego,3429,675625
500,New York,4806,505822
501,Seattle,2162,979292
502,New York,3917,683008
503,Los Angeles,883,541645
504,Austin,684,582632
505,San Diego,956,1190344
506,Chicago,3785,1033963
507,Seattle,4043,1052017
508,Austin,3270,1056937
509,Dallas,861,216274
510,Boston,3562,1222152
511,Seattle,4005,897713
512,Boston,2434,1009880
513,Los Angeles,2557,843002
514,Dallas,4369,964784
515,Denver,2489,465964
516,Austin,4687,509340
517,Boston,1855,861966
518,San Diego,4059,1037937
519,New York,4317,1110167
520,Dallas,1740,1324874
521,Miami,2901,808066
522,Dallas,1437,137970
523,Seattle,1781,535289
524,Miami,1882,438956
525,New York,2747,1029190
526,Seattle,872,712181
527,Dallas,3890,1031313
528,Chicago,4968,1078498
529,Dallas,2889,559748
530,Seattle,3928,229677
531,Los Angeles,2639,1164807
532,New York,1131,1338772
533,Los Angeles,2441,1384615
534,New York,3424,111380
535,San Diego,621,282945
536,Austin,4752,566868
537,New York,2741,1341130
538,New York,4817,1320333
539,Seattle,4314,562998
540,Austin,3137,310806
541,Miami,2460,1282671
542,Dallas,1605,1114372
543,Dallas,4000,1242426
544,San Diego,2213,264421
545,Chicago,4488,723914
546,Chicago,982,1073592
547,Los Angeles,4458,455758
548,Austin,3543,1080775
549,New York,1874,432882
550,Chicago,4809,344508
551,Boston,4541,688492
552,New York,2985,1354788
553,Boston,4510,785647
554,Dallas,1621,283636
555,Chicago,3000,901013
556,Miami,1908,732338
557,Dallas,3180,1242938
558,Denver,4272,958107
559,Boston,2391,1456030
560,Dallas,1705,1196079
561,Chicago,766,1409046
562,Seattle,2314,1414029
563,Boston,4872,1119347
564,San Diego,1612,791462
565,Chicago,2785,122169
566,Miami,4566,1472820
567,Boston,1005,1174972
568,Los Angeles,3706,1064139
569,Chicago,2718,676127
570,Dallas,2495,163910
571,Dallas,1824,1411505
572,Miami,1474,309083
573,Dallas,1322,440536
574,Dallas,4666,416914
575,Chicago,3640,1476064
576,Los Angeles,4132,982058
577,Denver,3043,1332693
578,Seattle,2327,1127734
579,Chicago,2612,312852
580,Denver,3694,1324234
581,Chicago,2288,112561
582,Los Angeles,1403,190450
583,Chicago,4735,762363
584,Chicago,1143,898117
585,San Diego,2461,254037
586,Boston,4414,1307004
587,Miami,1049,830983
588,Denver,2932,339635
589,Dallas,926,739455
590,New York,3916,304780
591,Denver,3006,1436035
592,Denver,4466,871068
593,Seattle,648,1146968
594,Boston,4221,982457
595,Denver,1568,896882
596,Boston,990,690531
597,Los Angeles,4329,828093
598,San Diego,4497,696102
599,Boston,850,185765
600,Los Angeles,2365,1123229
601,Dallas,1099,1126763
602,Denver,2342,1212349
603,Boston,4664,1330647
604,Miami,3015,970358
605,San Diego,2671,1222199
606,Austin,3568,1105947
607,San Diego,1951,131147
608,New York,3049,583749
609,New York,3838,417944
610,Boston,1458,519684
611,Chicago,1226,411036
612,New York,2058,1391287
613,Boston,834,347134
614,Los Angeles,2691,453315
615,Seattle,2462,431572
616,San Diego,2727,1407079
617,Chicago,3781,1389179
618,Boston,824,1207661
619,Boston,4497,989909
620,Seattle,1288,1259210
621,Boston,2221,265347
622,Boston,1503,889439
623,Seattle,4176,1397414
624,Seattle,1489,118379
625,New York,3895,301368
626,Los Angeles,4235,660008
627,Miami,1629,250100
628,Boston,1772,608783
629,Seattle,4901,1282131
630,Dallas,3640,1125647
631,Dallas,2926,1257396
632,Austin,4488,161053
633,Seattle,1384,509181
634,Los Angeles,3678,1228505
635,Chicago,1125,205632
636,San Diego,1965,1003518
637,Austin,2480,1436835
638,Chicago,2100,1268193
639,Miami,797,279338
640,Seattle,4485,1403637
641,Boston,787,278921
642,Austin,2683,712427
643,Denver,729,1348365
644,San Diego,4540,1113348
645,Austin,2444,934976
646,Los Angeles,1370,1037391
647,Seattle,2605,1232273
648,Chicago,2178,1238157
649,Seattle,4205,647144
650,Denver,4128,1284374
651,Chicago,917,1309323
652,Chicago,2387,1420666
653,New York,951,331659
654,Denver,1546,469746
655,Boston,4324,161123
656,Seattle,3951,864363
657,Miami,2070,198525
658,Chicago,907,989190
659,Austin,4454,419983
660,Miami,3394,1411201
661,Los Angeles,4084,596339
662,Chicago,4268,1208267
663,Austin,4027,1450080
664,Denver,2798,305151
665,Los Angeles,2527,1497719
666,Dallas,3786,1489901
667,Denver,1948,1039638
668,Seattle,1741,1127078
669,Los Angeles,3880,660163
670,San Diego,4036,1376469
671,Los Angeles,4296,1264886
672,Austin,3788,1360283
673,San Diego,4157,1066665
674,Austin,1399,1257975
675,Miami,3709,1196605
676,San Diego,3046,1001994
677,New York,1039,1248512
678,Dallas,2486,1413364
679,Boston,1431,1291789
680,Austin,891,670362
681,Chicago,3216,556135
682,Miami,4110,628748
683,San Diego,2301,1454551
684,Austin,4876,549457
685,Denver,4759,1122059
686,Miami,4519,981758
687,Dallas,1147,1277909
688,Chicago,3814,325565
689,Chicago,2288,363905
690,Los Angeles,2852,889870
691,Denver,2604,1403610
692,Miami,1731,436400
693,Los Angeles,3188,377235
694,Austin,3104,760325
695,Boston,3380,292289
696,Denver,4026,616260
697,Dallas,2214,1170846
698,Los Angeles,3401,627687
699,Boston,693,905738
700,Miami,1881,984552
701,Los Angeles,2895,381024
702,Austin,3443,479626
703,Boston,2619,564634
704,Dallas,1935,580286
705,Seattle,2843,1021188
706,Denver,4911,1415094
707,Dallas,2154,1035679
708,Seattle,4246,1357767
709,Los Angeles,2839,1499470
710,New York,1278,1329225
711,Dallas,4131,1498364
712,San Diego,884,1182604
713,Boston,1534,346335
714,Los Angeles,729,1403180
715,Chicago,2888,602369
716,Dallas,3444,739145
717,San Diego,4433,363355
718,San Diego,4588,1119368
719,New York,1260,1041358
720,Seattle,1884,1149856
721,Denver,4668,122011
722,Seattle,1162,1394122
723,Miami,3271,1327241
724,Denver,4265,349606
725,San Diego,2800,226831
726,Los Angeles,1831,158859
727,Dallas,2851,924942
728,Denver,773,1007957
729,New York,4333,156043
730,Denver,4847,555494
731,Miami,1607,652651
732,New York,1124,268274
733,Austin,3307,1051860
734,Seattle,666,207288
735,Miami,3389,176296
736,Boston,1918,1340631
737,Chicago,3756,556117
738,New York,3032,564469
739,New York,3984,196601
740,San Diego,1398,1176403
741,Boston,3134,1032652
742,Seattle,2433,508224
743,Miami,3515,1174117
744,San Diego,2435,1408819
745,Dallas,1156,153617
746,Miami,4955,1461617
747,New York,2257,1456877
748,San Diego,3342,1039666
749,Seattle,2833,623076
750,Dallas,2746,281589
751,Seattle,3895,995800
752,Chicago,1003,723130
753,Dallas,3256,234522
754,Boston,2773,1294811
755,Denver,1118,1398997
756,Dallas,3410,798329
757,Austin,4153,245530
758,New York,3124,1425276
759,Boston,1585,743945
760,San Diego,3120,421674
761,Denver,3044,361442
762,Chicago,944,217716
763,Los Angeles,4684,776754
764,Los Angeles,2533,269638
765,Chicago,4281,844919
766,San Diego,3433,752026
767,Boston,1069,1350454
768,Dallas,943,656339
769,New York,1947,205939
770,Los Angeles,793,775643
771,Dallas,2852,192952
772,New York,1148,644328
773,Chicago,3944,886825
774,Austin,3189,744504
775,Seattle,4608,178872
776,Chicago,633,809039
777,Dallas,912,816902
778,Chicago,4730,396554
779,Seattle,2186,162339
780,Denver,1526,1109292
781,Austin,895,1185869
782,Austin,4647,1030443
783,Seattle,4670,325999
784,Seattle,4756,997038
785,Dallas,2824,532983
786,Miami,1422,1318984
787,New York,3965,1249435
788,Chicago,1144,741312
789,Boston,4103,998844
790,New York,1749,935825
791,Denver,630,1165562
792,Los Angeles,4293,690075
793,Austin,1056,1333625
794,Los Angeles,2660,595527
795,Chicago,4321,723194
796,Los Angeles,1181,571861
797,New York,738,317888
798,Austin,4840,282544
799,Austin,2923,481127
800,Chicago,3388,1305788
801,Boston,721,746965
802,Miami,3277,1330859
803,Seattle,2366,1305943
804,Seattle,2798,437919
805,Boston,4660,185125
806,Boston,3257,1435339
807,Seattle,3186,1339025
808,Denver,3038,1392304
809,Chicago,3902,197153
810,Chicago,1991,1245640
811,San Diego,4872,321150
812,Seattle,1501,960092
813,Seattle,4929,1480026
814,Dallas,1769,643082
815,New York,4029,869973
816,Seattle,2717,531043
817,Denver,4121,1326432
818,Chicago,2187,874419
819,Dallas,1578,1439828
820,Miami,873,995626
821,Chicago,1575,865684
822,New York,1489,1429704
823,Austin,3677,1370778
824,Seattle,3916,533596
825,Chicago,1416,486295
826,Austin,3607,1164206
827,Austin,1271,660416
828,New York,1473,305931
829,Chicago,2346,405966
830,Dallas,2916,1135866
831,Seattle,4387,1121450
832,Boston,4129,1485402
833,Dallas,2534,675777
834,Miami,4544,369913
835,Miami,1280,321540
836,Los Angeles,4666,1453582
837,Seattle,3749,603349
838,Miami,4932,388302
839,Dallas,4076,670260
840,San Diego,4463,587020
841,Los Angeles,2491,337236
842,Chicago,1227,829374
843,Seattle,1198,1334549
844,Chicago,4382,419346
845,Boston,3329,1409413
846,Denver,4092,1267211
847,Austin,2490,140018
848,Chicago,2734,415849
849,New York,2546,570037
850,San Diego,2510,626489
851,New York,1892,1407731
852,Austin,1511,967331
853,Austin,3721,1347593
854,Denver,2534,477532
855,Seattle,3817,1300252
856,Denver,1108,313455
857,Austin,4973,802384
858,San Diego,1767,1264927
859,Miami,3168,230097
860,Miami,2950,1230908
861,Boston,2638,1144412
862,New York,4850,553728
863,Boston,3305,1169434
864,Denver,2952,775963
865,Los Angeles,3559,1085223
866,Miami,2394,345193
867,San Diego,1583,1378728
868,Austin,917,880360
869,Denver,4367,805334
870,Austin,4037,791997
871,San Diego,3805,925023
872,Miami,3273,1377197
873,New York,2611,376402
874,Boston,3657,617056
875,Chicago,4718,1264345
876,Denver,2828,977937
877,Los Angeles,2930,1270676
878,San Diego,2847,817996
879,Chicago,1648,1207379
880,Seattle,4065,427921
881,Miami,1950,703439
882,Austin,3623,110348
883,San Diego,3082,248234
884,Chicago,3165,1272825
885,Denver,1738,1075468
886,Miami,2972,702346
887,Austin,2618,521261
888,Austin,1852,942023
889,Miami,2243,389554
890,Austin,3525,1429399
891,New York,4575,1352138
892,New York,4329,886695
893,Chicago,1129,1388694
894,Los Angeles,1878,253338
895,Los Angeles,3044,1406861
896,Dallas,3427,1003767
897,Chicago,1704,823883
898,Dallas,888,441056
899,Dallas,1927,139925
900,Austin,1209,1038615
901,Boston,4701,1244159
902,Seattle,4098,106448
903,Denver,2214,909098
904,Chicago,666,1217682
905,San Diego,1624,1117217
906,Los Angeles,2166,308039
907,Los Angeles,4091,1129208
908,Los Angeles,1276,1186966
909,Miami,4580,552415
910,Chicago,3850,731992
911,Austin,3678,1094120
912,Seattle,3036,1099970
913,Chicago,2771,1283078
914,New York,4719,146529
915,Miami,3522,1297202
916,Chicago,3000,195164
917,San Diego,2771,1385962
918,Denver,2097,1447110
919,New York,2402,242522
920,Dallas,1167,623624
921,New York,3397,1168864
922,Dallas,3992,1039801
923,Denver,2064,649518
924,Los Angeles,2794,565209
925,Los Angeles,3228,1486801
926,San Diego,1046,962346
927,Austin,2398,550586
928,New York,2188,913382
929,San Diego,3119,463953
930,Los Angeles,3619,260573
931,Chicago,3661,1482055
932,Seattle,1252,269319
933,San Diego,4165,276972
934,San Diego,3558,246469
935,Chicago,1326,112918
936,Dallas,3755,1235995
937,Seattle,2301,516593
938,Denver,1256,134369
939,Austin,916,1043031
940,Denver,1534,857859
941,Chicago,2239,1438076
942,Boston,904,567205
943,Miami,3593,382616
944,Seattle,2903,267318
945,Boston,3692,1168915
946,Boston,2279,408432
947,Seattle,2732,368833
948,Denver,2487,1179961
949,Austin,4218,908417
950,Miami,764,1335847
951,Seattle,3325,758129
952,Boston,2447,1459018
953,Austin,3514,607116
954,Chicago,2326,220866
955,Denver,1809,656628
956,Austin,1211,1440226
957,Dallas,3914,1197306
958,Austin,4349,1499112
959,Dallas,4994,434716
960,Dallas,3995,291461
961,Los Angeles,2897,1251037
962,Miami,3308,1297490
963,San Diego,1359,540207
964,Chicago,1119,1496410
965,Austin,4315,409220
966,Los Angeles,2800,821051
967,Seattle,3566,1250661
968,Miami,3940,662116
969,Chicago,4471,1180242
970,Dallas,776,1308643
971,Austin,2332,376482
972,Los Angeles,4048,418086
973,Chicago,4437,814740
974,New York,2125,1117375
975,Seattle,2574,1083527
976,Chicago,1133,175099
977,Boston,4153,687626
978,Seattle,4992,1340066
979,Miami,4624,529287
980,Austin,3351,403677
981,Denver,2642,753196
982,Los Angeles,674,497338
983,Los Angeles,3977,1351167
984,Chicago,2629,591422
985,New York,2315,966190
986,San Diego,930,554756
987,Los Angeles,2436,433616
988,Denver,1418,1053909
989,Miami,3742,1087080
990,Miami,1995,660234
991,New York,2991,360283
992,Miami,3448,114339
993,Seattle,3410,1014183
994,New York,1138,1390235
995,Chicago,2984,285798
996,Seattle,717,439875
997,Chicago,1007,205479
998,Austin,4253,1294272
999,New York,1926,923051
1000,Dallas,3128,1179054
1001,Seattle,2277,503520
1002,San Diego,3254,283599
1003,Denver,1809,659858
1004,Denver,2575,725775
1005,Los Angeles,4184,551405
1006,Seattle,3270,743743
1007,San Diego,1150,154836
1008,Miami,868,505793
1009,Dallas,1386,845320
1010,Denver,858,442513
1011,San Diego,2874,368677
1012,Los Angeles,4861,735876
1013,Dallas,765,577980
1014,Boston,4141,1454221
1015,Dallas,3023,618608
1016,Dallas,1239,198581
1017,Austin,3326,1270152
1018,Seattle,3850,668209
1019,Boston,928,1416950
1020,Boston,2226,1320614
1021,New York,685,1094039
1022,Dallas,2552,308329
1023,Miami,4598,1435216
1024,Denver,2490,1470425
1025,Miami,2814,469875
1026,Dallas,1926,162106
1027,Los Angeles,3540,1486612
1028,Miami,3172,970046
1029,Los Angeles,1260,361665
1030,Denver,3977,1168242
1031,Los Angeles,820,1256997
1032,Dallas,3918,690816
1033,Austin,4142,819905
1034,Boston,1346,186184
1035,Chicago,4329,1499271
1036,Los Angeles,3283,1034035
1037,Boston,1980,904543
1038,Los Angeles,3218,1199581
1039,Chicago,1006,849040
1040,Austin,1053,162724
1041,Austin,2426,1340795
1042,Austin,1264,337659
1043,Miami,3044,369148
1044,Dallas,1489,1048495
1045,Austin,3162,1408390
1046,San Diego,4454,813836
1047,Miami,3848,1279103
1048,Miami,4100,277004
1049,Miami,4355,1345531
1050,Austin,1009,1303990
1051,San Diego,1752,154324
1052,Los Angeles,3148,1069471
1053,Miami,2461,647262
1054,Boston,4307,472342
1055,Boston,4277,350604
1056,Austin,4172,750837
1057,New York,3032,126539
1058,Denver,1288,1149169
1059,New York,3354,1132365
1060,New York,2252,700686
1061,Dallas,4966,957174
1062,New York,1153,966232
1063,Seattle,2554,569998
1064,Los Angeles,3868,801576
1065,Austin,2885,844920
1066,Miami,874,683397
1067,Boston,1501,999256
1068,Dallas,1562,428885
1069,Boston,997,582331
1070,New York,2794,523201
1071,Seattle,1686,172754
1072,Seattle,2558,122379
1073,Dallas,2611,1403595
1074,Chicago,3246,497741
1075,New York,3133,690376
1076,Miami,4079,150522
