year,mileage,engine_size,price
2009,127776,4.9,4081.22
2005,105446,1.7,2000.0
2009,96401,3.2,2000.0
2020,152477,4.2,14622.58
2009,170148,1.5,2000.0
2009,140398,4.2,11943.34
2022,168582,2.1,6997.05
2010,85065,2.1,3849.58
2022,24527,4.8,21440.74
2014,101019,2.3,3500.47
2019,41313,3.3,11354.0
2015,21777,2.8,27889.79
2023,62382,1.3,21466.49
2017,173334,4.8,16329.25
2007,36499,1.9,8810.41
2020,15390,2.1,21913.65
2011,176653,2.5,15321.55
2016,57853,3.0,17610.36
2019,17921,1.6,12199.37
2012,171932,3.5,2000.0
2021,32945,3.1,19371.04
2005,149832,2.2,12744.13
2012,171578,3.8,14389.64
2018,187055,3.1,10750.58
2014,3243,4.4,20298.55
2023,134738,4.4,25792.39
2012,19411,4.9,10758.3
2023,83940,1.3,6335.03
2008,191198,2.6,16006.86
2014,23586,3.0,11190.95
2007,80168,1.9,18031.04
2008,67510,4.7,14106.91
2020,58862,1.4,28426.15
2008,1258,2.7,10058.97
2017,105356,1.7,2000.0
2021,19494,3.7,40646.44
2020,42202,3.8,24338.34
2021,144600,4.5,19848.11
2010,84673,2.6,2000.0
2007,117363,4.1,17980.06
2008,128839,3.2,2455.52
2012,80544,4.2,18359.39
2013,77400,1.3,8063.51
2005,131028,2.9,2000.0
2017,98723,1.6,2000.0
2006,107148,4.2,12052.38
2014,199479,1.6,7826.13
2023,60589,1.0,21793.75
2021,162504,4.7,8737.12
2017,146274,2.9,9952.25
2018,78637,4.9,20499.49
2015,127088,2.8,22004.86
2014,16238,3.4,2000.0
2011,11179,4.0,9673.04
2014,30793,2.1,8276.69
2005,8004,1.5,2000.0
2018,114462,3.6,16327.45
2007,21116,3.0,22440.52
2017,124439,4.3,16602.17
2006,86047,1.2,2000.0
2021,113917,3.2,2000.0
2007,31856,1.7,2000.0
2019,2488,3.5,10996.52
2012,83432,4.0,5538.3
2010,71152,2.1,2000.0
2013,116331,2.9,23522.42
2015,32791,2.7,27803.18
2006,100641,4.0,2000.0
2013,31027,3.4,8081.96
2022,143663,1.5,2000.0
2023,4726,4.9,22525.55
2022,4133,4.6,26211.84
2009,186753,3.3,2000.0
2022,66280,4.1,22816.11
2016,63044,1.1,26389.59
2008,86097,1.8,12339.75
2019,160885,4.1,12642.34
2015,90105,1.4,7117.83
2023,137012,1.2,2000.0
2009,23196,3.5,6425.24
2010,6217,1.1,25773.62
2017,19433,1.7,2329.5
2014,10934,1.3,9989.04
2018,54377,3.1,2000.0
2008,26198,3.7,21288.06
2016,196445,1.7,12527.45
2019,44357,2.9,14602.53
2014,47787,1.1,9135.56
2015,157435,2.1,3700.35
2013,178531,1.7,2000.0
2015,155091,1.7,3797.93
2006,185999,1.9,2000.0
2017,85275,4.2,20983.72
2012,156661,4.8,2000.0
2012,194744,3.8,2000.0
2005,41113,1.3,2293.27
2010,142165,3.5,3322.51
2017,179012,3.9,15513.82
2013,125182,1.4,11227.73
2010,23792,2.2,17336.41
2019,107112,2.7,21444.89
2020,183273,2.2,2000.0
2008,152099,3.1,2000.0
2021,72381,1.5,7729.05
2013,137882,2.8,2000.0
2016,146300,3.9,2000.0
2023,35225,2.8,8395.86
2016,26187,1.8,12729.17
2010,135313,4.2,7741.52
2016,150565,2.6,2000.0
2013,10729,2.7,5600.47
2009,12549,2.4,20157.93
2007,38013,2.2,10117.39
2006,24347,3.4,7868.17
2012,168280,1.8,27018.95
2014,64772,4.1,19150.25
2019,40378,2.9,33531.78
2013,1998,4.5,19404.86
2014,191342,4.8,24814.72
2015,181355,2.5,2000.0
2013,165832,1.6,6331.04
2018,112172,3.0,19878.95
2009,114100,2.1,2000.0
2013,156161,2.7,2000.0
2008,115400,2.5,2000.0
2006,27737,2.8,12593.21
2023,196822,3.0,8620.77
2005,38514,3.5,20925.67
2005,193854,1.0,9430.1
2016,189019,2.0,4849.31
2015,187205,1.7,9724.19
2005,167609,3.8,2000.0
2018,123549,4.3,7251.08
2015,50232,3.9,28695.91
2011,94766,4.9,3146.25
2006,10461,1.3,4246.85
2019,82394,2.9,2000.0
2012,9323,4.6,18495.93
2019,178355,2.3,3147.54
2012,37040,4.2,28469.62
2014,139750,3.2,8434.87
2023,145821,4.9,10355.21
2007,85028,2.5,4424.2
2018,92734,2.7,5639.56
2013,90896,1.7,2935.54
2013,85793,1.6,2000.0
2010,76699,4.4,15431.73
2012,104835,2.6,19991.03
2015,84321,3.5,20898.55
2012,158989,4.0,3478.05
2016,191487,2.8,15540.36
2014,117004,4.8,4716.24
2008,188400,4.8,2000.0
2020,122297,3.7,9812.11
2010,17585,5.0,18532.03
2013,147732,1.0,2000.0
2009,188722,1.0,2000.0
2010,95781,1.3,2000.0
2021,115318,4.8,20842.94
2021,117273,3.4,10973.75
2017,186885,4.7,5794.03
2021,187665,1.5,7357.54
2018,6968,1.1,9932.4
2006,67249,3.2,2000.0
2023,140312,1.7,10228.51
2007,173615,4.4,20717.01
2006,36119,2.7,5338.47
2006,106397,4.1,7619.19
2011,161110,3.1,5761.21
2008,13100,3.1,2000.0
2021,42794,3.7,9560.55
2010,104519,2.3,7111.14
2011,48121,4.8,17686.82
2010,9143,2.6,13097.57
2013,59376,2.6,2000.0
2008,83144,3.8,14683.86
2009,106528,3.5,2000.0
2023,82016,5.0,11323.58
2014,130604,4.4,2000.0
2022,78737,2.1,26848.04
2019,68677,1.4,2000.0
2005,129940,1.4,2000.0
2009,92889,2.4,9243.73
2009,77006,2.9,3777.78
2012,147627,3.5,6099.84
2019,185077,4.4,4777.97
2021,95133,5.0,12404.93
2023,30090,2.6,24483.49
2017,177407,3.2,7690.59
2014,25476,3.4,21599.99
2021,195847,3.2,15144.69
2009,64004,1.4,3122.47
2022,193545,1.5,3763.68
2021,74469,4.6,26718.37
2008,120119,3.7,11905.58
2011,171377,3.7,2000.0
2009,125494,4.3,2000.0
2012,75650,1.3,2000.0
2012,43657,2.7,14154.33
2015,123270,2.0,4143.71
2013,99262,3.6,8405.75
2023,162930,1.9,25328.5
2023,119358,3.8,9521.85
2013,172375,2.6,2000.0
2021,134553,2.8,7799.23
2020,62841,4.3,7081.08
2011,7931,2.4,2000.0
2007,106951,2.0,2000.0
2023,54694,4.4,33640.33
2012,8635,3.7,17719.65
2009,45252,2.6,9819.25
2010,190826,3.0,2000.0
2006,69017,2.4,3895.48
2023,153149,3.2,21508.01
2017,66953,1.6,12063.37
2010,87776,4.6,9577.56
2010,73212,3.2,10631.4
2006,72547,2.5,5225.62
2009,186933,3.3,2000.0
2015,148126,1.6,3909.37
2015,54565,1.3,4326.95
2018,55153,3.2,21306.27
2017,149740,1.3,6620.52
2012,172131,3.6,10108.28
2019,183011,4.2,19353.97
2016,115095,5.0,17148.87
2007,162970,4.1,4439.01
2009,99281,4.9,2000.0
2010,48561,1.1,13161.86
2006,87473,3.2,2000.0
2012,123022,1.7,2000.0
2009,129552,2.0,2000.0
2021,23836,3.9,12389.06
2006,60420,2.0,27615.23
2015,8911,1.7,2000.0
2008,157107,2.5,3545.5
2015,156065,1.3,2000.0
2013,91216,1.6,2000.0
2010,180768,1.6,4439.33
2006,73080,1.9,2000.0
2019,22289,4.5,30541.1
2009,31346,2.2,9371.78
2016,189188,2.1,2000.0
2017,25644,1.5,12907.9
2021,28279,1.1,17029.67
2008,95446,1.6,2000.0
2014,48638,3.9,30985.98
2005,113917,4.9,2000.0
2015,34341,4.0,12057.48
2020,119660,4.4,2000.0
2015,118481,4.1,17443.24
2013,154975,2.2,8919.45
2006,100957,3.9,2000.0
2011,197148,4.0,2000.0
2023,34979,2.0,32203.78
2022,125576,4.7,10896.73
2011,106626,5.0,6837.09
2013,65109,3.2,12957.88
2016,109239,2.3,2000.0
2007,193015,2.4,3244.14
2020,152999,3.3,12071.76
2011,69356,1.0,2000.0
2009,156473,2.2,8141.77
2011,182942,1.2,2000.0
2023,162773,3.5,29439.89
2021,73226,3.4,2293.66
2020,103658,3.4,13564.41
2023,135298,1.6,3422.47
2022,90808,4.8,12459.88
2023,107533,3.1,18040.87
2008,197421,3.2,4205.72
2005,118525,3.2,2000.0
2008,158075,3.1,2000.0
2008,97571,4.8,2600.67
2013,189599,3.4,22988.72
2012,185790,2.9,2000.0
2006,88601,4.1,7350.71
2010,68160,2.0,2000.0
2015,5505,1.8,4158.82
2008,144453,2.8,2000.0
2018,7549,1.1,7963.43
2013,51149,2.2,2000.0
2006,141275,2.7,2000.0
2005,189664,3.3,2000.0
2008,187899,3.2,2000.0
2016,143000,2.5,29496.07
2009,13457,2.4,3994.17
2013,125293,1.0,4961.81
2008,122465,4.5,4467.35
2020,168183,1.9,2223.06
2006,24587,2.4,2000.0
2020,59354,1.1,2777.74
2020,101911,4.8,17863.86
2015,25312,3.0,18797.95
2005,66045,1.1,16068.98
2019,107764,2.0,22349.02
2008,137166,4.5,2000.0
2022,77994,2.5,2715.13
2021,38513,3.8,22998.77
2011,70446,3.5,3695.9
2022,6572,2.9,14372.07
2017,168140,4.3,2000.0
2014,140153,1.2,11839.7
2005,84872,4.6,7799.62
2006,158985,3.9,2000.0
2021,40378,4.5,23743.88
2007,182968,1.1,2000.0
2021,62189,1.3,20674.79
2016,26084,1.8,9911.84
2016,97240,3.4,2000.0
2014,60681,1.4,2000.0
2011,199641,4.7,9408.96
2014,22418,4.0,6661.14
2022,173799,4.2,7311.65
2010,74860,3.3,16844.85
2011,163304,3.5,2000.0
2021,197809,1.9,6679.5
2016,82168,4.6,7992.14
2021,139075,3.6,4449.07
2022,157543,2.7,15647.08
2018,62468,4.5,22567.53
2015,185500,4.5,9124.56
2006,155877,1.0,2000.0
2005,68211,4.7,4581.26
2015,75012,2.5,6882.83
2006,19259,2.7,8335.28
2020,171134,1.3,5880.04
2007,49179,4.5,2000.0
2005,174930,3.2,2000.0
2012,197117,4.6,2000.0
2023,80099,4.1,15151.55
2005,148096,4.6,2000.0
2009,61980,4.8,5573.6
2005,85170,4.5,2000.0
2015,69283,1.8,2000.0
2013,51871,1.3,17593.29
2009,20287,3.5,18661.53
2006,25887,1.6,2000.0
2017,128493,4.5,4994.88
2022,124370,4.8,27380.89
2016,17802,1.5,26515.53
2018,73135,1.9,19117.92
2009,9650,3.5,2317.97
2014,150915,3.9,3217.3
2006,185128,3.0,2000.0
2008,161304,2.5,11462.16
2016,171152,2.2,7959.89
2015,105646,3.7,14867.05
2008,43527,4.0,3074.5
2015,42297,2.2,9349.52
2013,159340,2.3,27295.55
2014,29185,2.8,10050.92
2010,117769,2.8,11590.44
2019,131418,4.4,2000.0
2014,180340,2.7,8313.85
2010,43418,4.9,15726.17
2005,9612,2.2,2000.0
2008,173886,3.8,5198.96
2018,85002,4.0,2000.0
2012,132703,3.5,2000.0
2015,198607,2.5,2000.0
2019,57211,2.0,21769.84
2023,146524,3.4,15506.44
2012,78105,3.6,2000.0
2017,171972,2.0,2000.0
2022,153554,2.3,12322.51
2021,35472,4.4,7082.45
2010,87460,4.2,2000.0
2019,118123,1.7,2000.0
2017,172242,4.7,25717.41
2022,198385,3.5,15961.31
2015,80379,3.0,15772.72
2017,166987,1.8,12353.22
2005,95554,3.9,2000.0
2022,8057,4.7,7495.07
2009,18883,1.3,2000.0
2010,180910,3.1,13506.28
2005,60014,4.5,2513.41
2011,152522,4.8,8782.14
2008,156577,1.3,2000.0
2013,192529,4.2,6107.04
2019,156962,2.1,2000.0
2010,183057,3.2,10934.22
2021,108269,4.1,2765.24
2022,35013,3.2,2000.0
2008,165025,1.4,2000.0
2013,133536,3.4,17769.03
2018,74111,1.5,2000.0
2007,112839,2.4,2000.0
2005,46825,3.2,6689.73
2015,160638,5.0,44695.33
2005,94035,3.9,2000.0
2016,1521,2.2,2000.0
2013,17363,4.5,9670.52
2009,80938,1.9,15935.39
2019,122159,2.5,2000.0
2022,142534,3.6,27649.55
2013,73109,2.6,28503.93
2017,182177,3.9,2000.0
2017,54698,3.6,30151.29
2017,158175,3.7,10548.1
2014,119511,2.7,9939.45
2014,147579,1.2,6249.78
2011,96783,4.5,12616.44
2009,194173,1.3,2000.0
2011,98829,2.9,16623.52
2014,116774,2.2,2000.0
2014,179398,2.2,7862.6
2017,141419,1.9,2000.0
2019,6099,2.1,10595.72
2010,75104,4.8,18145.98
2016,4406,4.9,16645.02
2023,159109,3.3,17010.36
2015,102439,3.1,32436.6
2010,188250,1.2,9300.72
2005,135948,4.2,2000.0
2006,90692,1.7,4500.45
2019,161943,1.6,2000.0
2008,96442,2.7,7318.72
2009,102829,2.4,7688.22
2019,112631,1.4,2882.98
2015,44895,1.6,12297.34
2014,43760,5.0,19455.85
2021,46306,3.9,4621.98
2006,75179,3.4,2261.19
2014,147659,2.2,2000.0
2007,76554,2.7,2000.0
2023,135285,3.5,11777.46
2009,141116,4.1,18663.02
2007,131015,4.8,20666.46
2012,44425,1.5,2000.0
2009,152448,1.8,2758.25
2016,22590,3.3,12208.14
2018,43403,4.8,20523.26
2011,26628,2.8,15343.73
2015,89421,3.5,13118.56
2012,105763,2.2,11063.28
2009,133264,4.2,22914.74
2012,152505,3.4,18887.25
2016,84629,2.5,22900.73
2019,124062,3.2,14882.64
2023,30617,3.8,14783.71
2020,107454,1.9,7670.94
2018,162754,2.4,15093.95
2011,10250,2.0,16332.39
2012,32836,4.8,28396.86
2011,112319,1.2,2000.0
2022,67173,1.2,8465.07
2010,127939,2.4,9889.02
2023,106761,3.2,2000.0
2008,6251,2.3,10834.57
2007,101429,4.4,2000.0
2021,56246,1.7,7935.46
2023,164078,2.5,10544.18
2019,86966,3.0,4222.33
2010,171857,1.8,6692.12
2016,137536,2.2,2000.0
2023,67344,4.8,45555.66
2010,141353,3.1,11481.91
2015,50106,4.5,20351.21
2014,121720,2.1,2000.0
2020,94840,3.4,6171.8
2022,105293,4.1,9455.98
2018,176112,2.7,7541.98
2008,8998,3.5,35303.3
2016,145589,4.5,14038.91
2012,106083,1.6,15212.31
2011,185354,2.4,6566.89
2013,42866,4.3,25883.53
2021,113384,1.9,2000.0
2014,22969,3.2,16469.98
2007,100980,2.8,11203.37
2012,146855,3.7,2000.0
2018,118259,3.7,9023.25
2011,31107,3.3,4709.52
2020,176703,4.8,11968.89
2022,134831,1.7,32018.86
2015,14789,4.3,18357.53
2010,13214,3.0,20931.36
2018,70657,3.6,11518.05
2017,29482,2.1,7290.36
2008,163544,1.4,2000.0
2015,74536,4.1,2000.0
2022,48187,2.0,25436.68
2005,31087,2.6,16731.53
2016,941,1.2,2000.0
2022,119340,3.6,10050.97
2011,132393,3.7,11793.18
2016,194539,4.6,2370.06
2005,45972,4.6,21592.34
2008,199676,3.8,4517.55
2022,86658,2.3,21229.05
2019,39361,2.5,13314.55
2007,41354,2.5,19328.64
2011,66327,1.5,2514.36
2010,192049,4.8,2000.0
2019,47191,4.3,4830.09
2019,55828,1.6,9412.24
2010,10136,4.8,14542.4
2012,146819,4.4,15492.74
2012,66279,4.7,2000.0
2005,72060,2.1,2000.0
2017,39342,2.3,10089.32
2017,196118,2.9,2000.0
2015,81851,1.9,2000.0
2008,176404,2.9,2000.0
2011,32961,1.0,26699.78
2016,106198,4.5,9596.2
2017,69810,1.6,3724.49
2016,29838,3.0,28976.17
2020,14332,4.7,25696.35
2010,63001,4.3,9216.81
2018,90329,4.1,2000.0
2023,167422,3.4,19817.47
2020,119771,2.7,5658.42
2008,80954,2.8,2000.0
2009,48473,1.3,2000.0
2013,171969,1.3,2000.0
2007,11682,4.4,9113.36
2014,152799,2.6,2976.83
2021,187741,1.2,19911.69
2023,43775,3.7,25781.9
2014,56941,3.7,18288.0
2016,12115,1.9,15305.07
2011,50937,2.6,4423.11
2022,45132,3.3,23328.19
2023,193110,3.4,13486.77
2019,12025,3.0,34667.49
2011,95439,2.5,4178.48
2016,58526,1.3,12260.48
2011,147979,1.1,2000.0
2014,68832,2.8,2520.93
2014,56108,1.8,2000.0
2009,151935,4.8,2000.0
2022,136757,3.6,7813.61
2013,6647,3.3,27298.22
2020,30145,2.6,23790.38
2011,171634,2.3,10713.54
2014,103894,1.7,2000.0
2009,151839,1.2,10279.77
2011,98702,3.5,14048.39
2009,116839,4.1,2000.0
2019,5430,4.4,12577.83
2023,134952,3.9,41165.45
2014,65662,4.6,9923.58
2012,116775,4.9,2197.56
2013,60487,4.8,14703.08
2015,39793,3.4,19418.8
2006,113584,1.9,2000.0
2007,110549,1.4,3003.54
2017,57590,5.0,25464.74
2015,71461,2.2,24712.75
2014,52470,1.1,22665.85
2019,198689,2.6,7825.97
2010,63616,4.0,18119.94
2005,100361,4.6,12491.29
2018,169743,2.9,2737.87
2022,136407,2.2,4404.36
2015,68525,4.1,11480.77
2012,105879,3.0,9730.62
2007,93709,1.3,2000.0
2018,71257,4.6,12352.96
2006,187302,3.6,2000.0
2020,2728,1.1,2000.0
2010,83511,1.0,3859.57
2005,22167,1.4,23822.94
2018,167001,4.3,21702.04
2014,73711,2.9,2149.32
2010,168469,2.3,3848.26
2013,126218,2.0,23172.34
2011,193320,3.0,2000.0
2006,178608,1.3,2000.0
2015,72437,3.5,15464.3
2018,76426,2.5,3584.03
2009,76851,4.4,11724.89
2013,80962,4.0,3441.45
2011,162388,1.1,4144.93
2018,35065,1.7,2000.0
2020,120138,2.9,16459.55
2020,80286,3.6,18381.42
2011,23674,3.9,25812.07
2014,119632,4.3,17153.27
2010,26085,1.2,2000.0
2021,38086,1.1,23978.66
2005,114700,3.4,3040.84
2006,63493,3.9,2000.0
2018,184258,4.1,14768.1
2008,48248,1.6,15617.16
2013,26156,4.9,2103.18
2010,100355,1.9,8261.78
2021,134948,2.0,2399.94
2015,186354,1.6,31833.03
2008,71963,1.2,8381.3
2013,176849,4.2,2000.0
2020,48119,1.0,19165.49
2007,198431,2.9,2000.0
2008,101044,1.4,4717.0
2007,100092,1.2,2000.0
2017,116640,4.7,19436.72
2023,146713,4.3,19159.78
2005,76432,2.6,6270.01
2010,189367,2.8,2285.48
2007,78451,4.5,7592.45
2007,85340,4.2,17499.75
2020,19411,3.8,16526.95
2014,134173,3.1,5239.52
2021,28536,3.4,9570.38
2011,3588,2.6,2000.0
2017,145781,3.1,3214.39
2015,87657,3.2,2000.0
2014,132489,4.5,2000.0
2011,20293,1.9,19698.26
2010,53897,2.0,4454.16
2005,44649,1.8,2000.0
2021,35540,3.3,27951.46
2016,62251,3.8,2000.0
2008,119863,2.0,2000.0
2007,186499,3.7,2000.0
2010,191244,3.5,5599.99
2020,35017,2.3,9755.64
2017,114383,1.9,2000.0
2013,20242,4.5,19730.8
2015,194501,3.3,17028.37
2017,116313,3.8,12878.72
2023,199357,4.7,27923.63
2007,97544,1.8,2000.0
2016,100151,2.4,10384.02
2023,112457,2.7,11953.93
2012,8770,1.9,2000.0
2018,132208,4.4,15356.72
2013,11602,1.3,4897.75
2021,101437,2.0,2000.0
2010,10466,1.8,2000.0
2008,141485,4.8,2000.0
2008,177147,3.5,2000.0
2023,132229,3.9,22847.21
2016,138524,1.4,5396.98
2006,26225,1.8,11609.25
2021,40043,4.2,16624.78
2019,145550,3.3,3007.05
2014,87333,1.2,17430.79
2007,168212,3.3,2874.01
2008,136683,2.9,12447.92
2005,161238,1.6,10804.59
2005,149779,3.4,2000.0
2022,131305,1.7,17644.48
2008,189681,4.2,2000.0
2019,171756,3.5,24266.8
2014,65567,4.5,17148.4
2021,159086,2.7,7271.89
2016,91483,3.0,29226.86
2016,8951,4.0,17800.93
2020,199811,3.2,10411.79
2009,67330,3.3,2000.0
2020,62831,3.2,6685.38
2021,197369,3.0,20249.83
2019,28936,4.2,26429.65
2017,194774,2.9,8622.75
2012,15574,4.6,24491.45
2006,98585,4.2,14278.28
2012,135143,3.8,5663.01
2014,152081,4.6,2000.0
2011,159703,3.1,10388.75
2014,22362,4.3,17403.06
2008,161772,2.0,2000.0
2015,47105,1.3,16371.2
2013,162304,3.7,9631.55
2008,41775,2.2,11047.05
2007,184783,3.5,2000.0
2015,17854,1.3,31568.66
2007,128362,4.8,2000.0
2022,68823,3.1,24154.07
2023,46782,1.0,40816.75
2018,22090,2.9,10471.67
2015,27161,4.2,2000.0
2006,147966,4.5,2000.0
2006,106265,2.8,2000.0
2006,46300,1.5,13162.82
2014,90666,4.6,2000.0
2019,44665,4.9,29386.09
2016,170624,1.3,2000.0
2015,196360,1.3,2000.0
2021,189722,3.3,18326.35
2022,93254,3.1,2000.0
2018,54645,3.4,18945.41
2021,114946,2.3,21912.73
2019,170428,1.2,2000.0
2016,42184,3.3,9214.69
2020,50817,1.6,6184.28
2010,34633,2.4,16986.6
2006,48720,3.3,9973.05
2006,66301,1.8,2000.0
2020,155712,3.2,16420.89
2006,51857,3.9,35488.17
2012,5765,1.3,22501.0
2011,80872,3.5,12893.84
2005,30761,3.0,14047.59
2008,37742,1.4,7157.51
2015,132455,3.8,8232.87
2011,194307,2.2,2000.0
2022,15458,1.7,22363.51
2008,133507,2.1,20556.75
2021,159808,3.2,7214.93
2015,29992,3.3,22653.22
2015,57566,1.7,2000.0
2015,171764,4.7,14363.3
2019,114358,2.3,8768.63
2018,154514,2.1,2838.25
2021,23700,1.7,2143.23
2006,103932,1.5,2607.09
2022,27763,4.9,7546.68
2020,178628,3.7,15566.79
2016,198975,4.1,24554.73
2014,135937,2.6,14131.88
2020,172914,2.7,13436.31
2007,170999,4.9,5864.99
2012,49602,1.8,11909.1
2006,121727,2.3,25901.74
2005,162148,1.8,2000.0
2018,19734,2.1,14494.42
2008,2829,3.7,2862.34
2008,1915,2.2,2000.0
2013,39980,4.5,10071.61
2007,9440,1.2,15802.51
2009,135891,2.4,16610.46
2005,73415,4.4,8246.41
2023,90352,3.5,15847.95
2005,32225,4.1,8444.82
2014,141406,2.3,10088.72
2016,106860,2.5,15595.97
2014,95367,4.6,23611.6
2006,69656,4.0,2000.0
2020,104780,2.5,24010.8
2012,2961,1.9,13403.65
2018,78385,1.4,13647.07
2019,32545,4.4,13077.75
2020,51569,3.8,16982.4
2015,132688,3.4,7098.13
2016,123915,4.1,2000.0
2006,74447,4.7,2000.0
2008,184906,4.0,2755.82
2007,25549,2.7,2000.0
2013,72361,1.7,5951.56
2022,18230,3.9,23579.14
2023,50618,2.0,20594.8
2011,114676,4.1,2000.0
2008,8882,2.4,4041.64
2010,81844,1.6,2000.0
2023,117200,2.0,41544.36
2005,175880,2.1,2000.0
2020,115933,2.5,16141.44
2015,22500,2.0,18527.66
2008,81410,1.9,2000.0
2022,140405,2.6,15296.07
2009,53383,4.5,2000.0
2010,66513,1.3,5790.54
2006,157882,2.2,10280.79
2016,156189,3.2,5528.39
2013,72258,4.5,2000.0
2016,13217,2.1,6204.29
2017,172842,2.4,9279.41
2021,86427,4.2,19782.95
2009,45272,2.5,22557.27
2017,83053,4.4,11154.62
2017,61724,2.8,5413.87
2014,146290,3.3,2000.0
2019,37633,3.2,28370.22
